,0,projector,dataset,encoder,classifier
0,UMAP-spidercolorectal-Uni-LG,UMAP,spidercolorectal,Uni,LG
1,UMAP-spidercolorectal-Uni-MLP,UMAP,spidercolorectal,Uni,MLP
2,UMAP-spidercolorectal-Uni-XGBoost,UMAP,spidercolorectal,Uni,XGBoost
3,UMAP-spidercolorectal-Uni2-LG,UMAP,spidercolorectal,Uni2,LG
4,UMAP-spidercolorectal-Uni2-MLP,UMAP,spidercolorectal,Uni2,MLP
5,UMAP-spidercolorectal-Uni2-XGBoost,UMAP,spidercolorectal,Uni2,XGBoost
6,UMAP-spidercolorectal-HIBOU-LG,UMAP,spidercolorectal,HIBOU,LG
7,UMAP-spidercolorectal-HIBOU-MLP,UMAP,spidercolorectal,HIBOU,MLP
8,UMAP-spidercolorectal-HIBOU-XGBoost,UMAP,spidercolorectal,HIBOU,XGBoost
9,UMAP-spidercolorectal-DinoV2-LG,UMAP,spidercolorectal,DinoV2,LG
10,UMAP-spidercolorectal-DinoV2-MLP,UMAP,spidercolorectal,DinoV2,MLP
11,UMAP-spidercolorectal-DinoV2-XGBoost,UMAP,spidercolorectal,DinoV2,XGBoost
12,UMAP-spiderskin-Uni-LG,UMAP,spiderskin,Uni,LG
13,UMAP-spiderskin-Uni-MLP,UMAP,spiderskin,Uni,MLP
14,UMAP-spiderskin-Uni-XGBoost,UMAP,spiderskin,Uni,XGBoost
15,UMAP-spiderskin-Uni2-LG,UMAP,spiderskin,Uni2,LG
16,UMAP-spiderskin-Uni2-MLP,UMAP,spiderskin,Uni2,MLP
17,UMAP-spiderskin-Uni2-XGBoost,UMAP,spiderskin,Uni2,XGBoost
18,UMAP-spiderskin-HIBOU-LG,UMAP,spiderskin,HIBOU,LG
19,UMAP-spiderskin-HIBOU-MLP,UMAP,spiderskin,HIBOU,MLP
20,UMAP-spiderskin-HIBOU-XGBoost,UMAP,spiderskin,HIBOU,XGBoost
21,UMAP-spiderskin-DinoV2-LG,UMAP,spiderskin,DinoV2,LG
22,UMAP-spiderskin-DinoV2-MLP,UMAP,spiderskin,DinoV2,MLP
23,UMAP-spiderskin-DinoV2-XGBoost,UMAP,spiderskin,DinoV2,XGBoost
24,UMAP-spiderbreast-Uni-LG,UMAP,spiderbreast,Uni,LG
25,UMAP-spiderbreast-Uni-MLP,UMAP,spiderbreast,Uni,MLP
26,UMAP-spiderbreast-Uni-XGBoost,UMAP,spiderbreast,Uni,XGBoost
27,UMAP-spiderbreast-Uni2-LG,UMAP,spiderbreast,Uni2,LG
28,UMAP-spiderbreast-Uni2-MLP,UMAP,spiderbreast,Uni2,MLP
29,UMAP-spiderbreast-Uni2-XGBoost,UMAP,spiderbreast,Uni2,XGBoost
30,UMAP-spiderbreast-HIBOU-LG,UMAP,spiderbreast,HIBOU,LG
31,UMAP-spiderbreast-HIBOU-MLP,UMAP,spiderbreast,HIBOU,MLP
32,UMAP-spiderbreast-HIBOU-XGBoost,UMAP,spiderbreast,HIBOU,XGBoost
33,UMAP-spiderbreast-DinoV2-LG,UMAP,spiderbreast,DinoV2,LG
34,UMAP-spiderbreast-DinoV2-MLP,UMAP,spiderbreast,DinoV2,MLP
35,UMAP-spiderbreast-DinoV2-XGBoost,UMAP,spiderbreast,DinoV2,XGBoost
36,UMAP-spiderthorax-Uni-LG,UMAP,spiderthorax,Uni,LG
37,UMAP-spiderthorax-Uni-MLP,UMAP,spiderthorax,Uni,MLP
38,UMAP-spiderthorax-Uni-XGBoost,UMAP,spiderthorax,Uni,XGBoost
39,UMAP-spiderthorax-Uni2-LG,UMAP,spiderthorax,Uni2,LG
40,UMAP-spiderthorax-Uni2-MLP,UMAP,spiderthorax,Uni2,MLP
41,UMAP-spiderthorax-Uni2-XGBoost,UMAP,spiderthorax,Uni2,XGBoost
42,UMAP-spiderthorax-HIBOU-LG,UMAP,spiderthorax,HIBOU,LG
43,UMAP-spiderthorax-HIBOU-MLP,UMAP,spiderthorax,HIBOU,MLP
44,UMAP-spiderthorax-HIBOU-XGBoost,UMAP,spiderthorax,HIBOU,XGBoost
45,UMAP-spiderthorax-DinoV2-LG,UMAP,spiderthorax,DinoV2,LG
46,UMAP-spiderthorax-DinoV2-MLP,UMAP,spiderthorax,DinoV2,MLP
47,UMAP-spiderthorax-DinoV2-XGBoost,UMAP,spiderthorax,DinoV2,XGBoost
48,UMAP-sr386-Uni-LG,UMAP,sr386,Uni,LG
49,UMAP-sr386-Uni-MLP,UMAP,sr386,Uni,MLP
50,UMAP-sr386-Uni-XGBoost,UMAP,sr386,Uni,XGBoost
51,UMAP-sr386-Uni2-LG,UMAP,sr386,Uni2,LG
52,UMAP-sr386-Uni2-MLP,UMAP,sr386,Uni2,MLP
53,UMAP-sr386-Uni2-XGBoost,UMAP,sr386,Uni2,XGBoost
54,UMAP-sr386-HIBOU-LG,UMAP,sr386,HIBOU,LG
55,UMAP-sr386-HIBOU-MLP,UMAP,sr386,HIBOU,MLP
56,UMAP-sr386-HIBOU-XGBoost,UMAP,sr386,HIBOU,XGBoost
57,UMAP-sr386-DinoV2-LG,UMAP,sr386,DinoV2,LG
58,UMAP-sr386-DinoV2-MLP,UMAP,sr386,DinoV2,MLP
59,UMAP-sr386-DinoV2-XGBoost,UMAP,sr386,DinoV2,XGBoost
60,UMAP-kather100k-Uni-LG,UMAP,kather100k,Uni,LG
61,UMAP-kather100k-Uni-MLP,UMAP,kather100k,Uni,MLP
62,UMAP-kather100k-Uni-XGBoost,UMAP,kather100k,Uni,XGBoost
63,UMAP-kather100k-Uni2-LG,UMAP,kather100k,Uni2,LG
64,UMAP-kather100k-Uni2-MLP,UMAP,kather100k,Uni2,MLP
65,UMAP-kather100k-Uni2-XGBoost,UMAP,kather100k,Uni2,XGBoost
66,UMAP-kather100k-HIBOU-LG,UMAP,kather100k,HIBOU,LG
67,UMAP-kather100k-HIBOU-MLP,UMAP,kather100k,HIBOU,MLP
68,UMAP-kather100k-HIBOU-XGBoost,UMAP,kather100k,HIBOU,XGBoost
69,UMAP-kather100k-DinoV2-LG,UMAP,kather100k,DinoV2,LG
70,UMAP-kather100k-DinoV2-MLP,UMAP,kather100k,DinoV2,MLP
71,UMAP-kather100k-DinoV2-XGBoost,UMAP,kather100k,DinoV2,XGBoost
72,PCA-spidercolorectal-Uni-LG,PCA,spidercolorectal,Uni,LG
73,PCA-spidercolorectal-Uni-MLP,PCA,spidercolorectal,Uni,MLP
74,PCA-spidercolorectal-Uni-XGBoost,PCA,spidercolorectal,Uni,XGBoost
75,PCA-spidercolorectal-Uni2-LG,PCA,spidercolorectal,Uni2,LG
76,PCA-spidercolorectal-Uni2-MLP,PCA,spidercolorectal,Uni2,MLP
77,PCA-spidercolorectal-Uni2-XGBoost,PCA,spidercolorectal,Uni2,XGBoost
78,PCA-spidercolorectal-HIBOU-LG,PCA,spidercolorectal,HIBOU,LG
79,PCA-spidercolorectal-HIBOU-MLP,PCA,spidercolorectal,HIBOU,MLP
80,PCA-spidercolorectal-HIBOU-XGBoost,PCA,spidercolorectal,HIBOU,XGBoost
81,PCA-spidercolorectal-DinoV2-LG,PCA,spidercolorectal,DinoV2,LG
82,PCA-spidercolorectal-DinoV2-MLP,PCA,spidercolorectal,DinoV2,MLP
83,PCA-spidercolorectal-DinoV2-XGBoost,PCA,spidercolorectal,DinoV2,XGBoost
84,PCA-spiderskin-Uni-LG,PCA,spiderskin,Uni,LG
85,PCA-spiderskin-Uni-MLP,PCA,spiderskin,Uni,MLP
86,PCA-spiderskin-Uni-XGBoost,PCA,spiderskin,Uni,XGBoost
87,PCA-spiderskin-Uni2-LG,PCA,spiderskin,Uni2,LG
88,PCA-spiderskin-Uni2-MLP,PCA,spiderskin,Uni2,MLP
89,PCA-spiderskin-Uni2-XGBoost,PCA,spiderskin,Uni2,XGBoost
90,PCA-spiderskin-HIBOU-LG,PCA,spiderskin,HIBOU,LG
91,PCA-spiderskin-HIBOU-MLP,PCA,spiderskin,HIBOU,MLP
92,PCA-spiderskin-HIBOU-XGBoost,PCA,spiderskin,HIBOU,XGBoost
93,PCA-spiderskin-DinoV2-LG,PCA,spiderskin,DinoV2,LG
94,PCA-spiderskin-DinoV2-MLP,PCA,spiderskin,DinoV2,MLP
95,PCA-spiderskin-DinoV2-XGBoost,PCA,spiderskin,DinoV2,XGBoost
96,PCA-spiderbreast-Uni-LG,PCA,spiderbreast,Uni,LG
97,PCA-spiderbreast-Uni-MLP,PCA,spiderbreast,Uni,MLP
98,PCA-spiderbreast-Uni-XGBoost,PCA,spiderbreast,Uni,XGBoost
99,PCA-spiderbreast-Uni2-LG,PCA,spiderbreast,Uni2,LG
100,PCA-spiderbreast-Uni2-MLP,PCA,spiderbreast,Uni2,MLP
101,PCA-spiderbreast-Uni2-XGBoost,PCA,spiderbreast,Uni2,XGBoost
102,PCA-spiderbreast-HIBOU-LG,PCA,spiderbreast,HIBOU,LG
103,PCA-spiderbreast-HIBOU-MLP,PCA,spiderbreast,HIBOU,MLP
104,PCA-spiderbreast-HIBOU-XGBoost,PCA,spiderbreast,HIBOU,XGBoost
105,PCA-spiderbreast-DinoV2-LG,PCA,spiderbreast,DinoV2,LG
106,PCA-spiderbreast-DinoV2-MLP,PCA,spiderbreast,DinoV2,MLP
107,PCA-spiderbreast-DinoV2-XGBoost,PCA,spiderbreast,DinoV2,XGBoost
108,PCA-spiderthorax-Uni-LG,PCA,spiderthorax,Uni,LG
109,PCA-spiderthorax-Uni-MLP,PCA,spiderthorax,Uni,MLP
110,PCA-spiderthorax-Uni-XGBoost,PCA,spiderthorax,Uni,XGBoost
111,PCA-spiderthorax-Uni2-LG,PCA,spiderthorax,Uni2,LG
112,PCA-spiderthorax-Uni2-MLP,PCA,spiderthorax,Uni2,MLP
113,PCA-spiderthorax-Uni2-XGBoost,PCA,spiderthorax,Uni2,XGBoost
114,PCA-spiderthorax-HIBOU-LG,PCA,spiderthorax,HIBOU,LG
115,PCA-spiderthorax-HIBOU-MLP,PCA,spiderthorax,HIBOU,MLP
116,PCA-spiderthorax-HIBOU-XGBoost,PCA,spiderthorax,HIBOU,XGBoost
117,PCA-spiderthorax-DinoV2-LG,PCA,spiderthorax,DinoV2,LG
118,PCA-spiderthorax-DinoV2-MLP,PCA,spiderthorax,DinoV2,MLP
119,PCA-spiderthorax-DinoV2-XGBoost,PCA,spiderthorax,DinoV2,XGBoost
120,PCA-sr386-Uni-LG,PCA,sr386,Uni,LG
121,PCA-sr386-Uni-MLP,PCA,sr386,Uni,MLP
122,PCA-sr386-Uni-XGBoost,PCA,sr386,Uni,XGBoost
123,PCA-sr386-Uni2-LG,PCA,sr386,Uni2,LG
124,PCA-sr386-Uni2-MLP,PCA,sr386,Uni2,MLP
125,PCA-sr386-Uni2-XGBoost,PCA,sr386,Uni2,XGBoost
126,PCA-sr386-HIBOU-LG,PCA,sr386,HIBOU,LG
127,PCA-sr386-HIBOU-MLP,PCA,sr386,HIBOU,MLP
128,PCA-sr386-HIBOU-XGBoost,PCA,sr386,HIBOU,XGBoost
129,PCA-sr386-DinoV2-LG,PCA,sr386,DinoV2,LG
130,PCA-sr386-DinoV2-MLP,PCA,sr386,DinoV2,MLP
131,PCA-sr386-DinoV2-XGBoost,PCA,sr386,DinoV2,XGBoost
132,PCA-kather100k-Uni-LG,PCA,kather100k,Uni,LG
133,PCA-kather100k-Uni-MLP,PCA,kather100k,Uni,MLP
134,PCA-kather100k-Uni-XGBoost,PCA,kather100k,Uni,XGBoost
135,PCA-kather100k-Uni2-LG,PCA,kather100k,Uni2,LG
136,PCA-kather100k-Uni2-MLP,PCA,kather100k,Uni2,MLP
137,PCA-kather100k-Uni2-XGBoost,PCA,kather100k,Uni2,XGBoost
138,PCA-kather100k-HIBOU-LG,PCA,kather100k,HIBOU,LG
139,PCA-kather100k-HIBOU-MLP,PCA,kather100k,HIBOU,MLP
140,PCA-kather100k-HIBOU-XGBoost,PCA,kather100k,HIBOU,XGBoost
141,PCA-kather100k-DinoV2-LG,PCA,kather100k,DinoV2,LG
142,PCA-kather100k-DinoV2-MLP,PCA,kather100k,DinoV2,MLP
143,PCA-kather100k-DinoV2-XGBoost,PCA,kather100k,DinoV2,XGBoost
144,Rand-spidercolorectal-Uni-LG,Rand,spidercolorectal,Uni,LG
145,Rand-spidercolorectal-Uni-MLP,Rand,spidercolorectal,Uni,MLP
146,Rand-spidercolorectal-Uni-XGBoost,Rand,spidercolorectal,Uni,XGBoost
147,Rand-spidercolorectal-Uni2-LG,Rand,spidercolorectal,Uni2,LG
148,Rand-spidercolorectal-Uni2-MLP,Rand,spidercolorectal,Uni2,MLP
149,Rand-spidercolorectal-Uni2-XGBoost,Rand,spidercolorectal,Uni2,XGBoost
