,0,1,2,3
"(1, 300, np.float64(0.1), 170)",0.0,0.1625,34171057.3125,31405437.5
"(1, 300, np.float64(0.1), 180)",0.0,0.16666666666666666,33159339.833333332,31846375.5
"(1, 300, np.float64(0.1), 190)",0.0,0.1,29946015.604166668,27417562.5
"(1, 300, np.float64(0.1), 200)",0.0,0.025,24939796.020833332,22232958.5
"(1, 300, np.float64(0.1), 210)",0.0,0.008333333333333333,19030180.135416668,18057187.0
"(1, 300, np.float64(0.2), 170)",0.0,0.1625,34678685.34375,32818750.0
"(1, 300, np.float64(0.2), 180)",0.0,0.16666666666666666,33513391.9375,31474125.5
"(1, 300, np.float64(0.2), 190)",0.0,0.1,28098163.677083332,26991750.0
"(1, 300, np.float64(0.2), 200)",0.0,0.025,23973013.833333332,21405500.0
"(1, 300, np.float64(0.2), 210)",0.0,0.008333333333333333,19803918.791666668,18514562.5
"(1, 310, np.float64(0.1), 170)",0.0,0.1625,33613929.71875,34193437.5
"(1, 310, np.float64(0.1), 180)",0.0,0.16875,32819534.260416668,30415729.0
"(1, 310, np.float64(0.1), 190)",0.0,0.1,29484908.375,26920146.0
"(1, 310, np.float64(0.1), 200)",0.0,0.025,24844384.125,21985604.0
"(1, 310, np.float64(0.1), 210)",0.0,0.008333333333333333,19624958.375,18698771.5
"(1, 310, np.float64(0.2), 170)",0.0,0.1625,33443952.260416668,32543792.0
"(1, 310, np.float64(0.2), 180)",0.0,0.16875,32575564.15625,30975729.0
"(1, 310, np.float64(0.2), 190)",0.0,0.1,29386930.15625,26932521.0
"(1, 310, np.float64(0.2), 200)",0.0,0.025,25099207.458333332,22687041.5
"(1, 310, np.float64(0.2), 210)",0.0,0.008333333333333333,18676105.489583332,17415208.0
"(1, 320, np.float64(0.1), 170)",0.0,0.1625,35478473.010416664,34887584.0
"(1, 320, np.float64(0.1), 180)",0.0,0.16875,32653463.145833332,30415083.5
"(1, 320, np.float64(0.1), 190)",0.0,0.1,30225528.6875,28616396.0
"(1, 320, np.float64(0.1), 200)",0.0,0.025,23990503.083333332,21616229.5
"(1, 320, np.float64(0.1), 210)",0.0,0.008333333333333333,19365967.041666668,18300896.0
"(1, 320, np.float64(0.2), 170)",0.0,0.1625,34335094.15625,34301187.5
"(1, 320, np.float64(0.2), 180)",0.0,0.16875,33320700.5625,31394750.5
"(1, 320, np.float64(0.2), 190)",0.0,0.1,30031293.854166668,28890125.0
"(1, 320, np.float64(0.2), 200)",0.0,0.025,24190800.770833332,23852854.0
"(1, 320, np.float64(0.2), 210)",0.0,0.008333333333333333,19254259.989583332,17938541.5
"(3, 300, np.float64(0.1), 170)",0.0,0.15625,27789946.583333332,26664542.0
"(3, 300, np.float64(0.1), 180)",0.0,0.12708333333333333,27492184.416666668,26367750.0
"(3, 300, np.float64(0.1), 190)",0.0,0.04791666666666667,24585639.75,23468354.0
"(3, 300, np.float64(0.1), 200)",0.0,0.016666666666666666,21779036.510416668,21131999.5
"(3, 300, np.float64(0.1), 210)",0.0,0.008333333333333333,18628087.25,17811520.5
"(3, 300, np.float64(0.2), 170)",0.0,0.15625,28023847.229166668,28027437.0
"(3, 300, np.float64(0.2), 180)",0.0,0.12708333333333333,27279900.645833332,26284416.5
"(3, 300, np.float64(0.2), 190)",0.0,0.04791666666666667,25044677.927083332,24334187.5
"(3, 300, np.float64(0.2), 200)",0.0,0.016666666666666666,22416300.791666668,21355896.0
"(3, 300, np.float64(0.2), 210)",0.0,0.008333333333333333,19649161.447916668,18944500.0
"(3, 310, np.float64(0.1), 170)",0.0,0.16041666666666668,28127546.0625,26896104.5
"(3, 310, np.float64(0.1), 180)",0.0,0.12708333333333333,28088417.03125,27151104.0
"(3, 310, np.float64(0.1), 190)",0.0,0.04791666666666667,25206618.104166668,24609125.0
"(3, 310, np.float64(0.1), 200)",0.0,0.016666666666666666,21511449.239583332,20912958.0
"(3, 310, np.float64(0.1), 210)",0.0,0.008333333333333333,19234264.739583332,18580958.5
"(3, 310, np.float64(0.2), 170)",0.0,0.16041666666666668,28406458.833333332,27002896.0
"(3, 310, np.float64(0.2), 180)",0.0,0.12708333333333333,28745288.1875,28436854.0
"(3, 310, np.float64(0.2), 190)",0.0,0.04791666666666667,25389812.9375,23717000.0
"(3, 310, np.float64(0.2), 200)",0.0,0.016666666666666666,22806249.65625,22441271.0
"(3, 310, np.float64(0.2), 210)",0.0,0.008333333333333333,19460930.5625,19420708.5
"(3, 320, np.float64(0.1), 170)",0.0,0.16041666666666668,28641004.822916668,27259500.0
"(3, 320, np.float64(0.1), 180)",0.0,0.12708333333333333,28319086.4375,26379916.5
"(3, 320, np.float64(0.1), 190)",0.0,0.04791666666666667,25652102.458333332,24130750.0
"(3, 320, np.float64(0.1), 200)",0.0,0.016666666666666666,22076511.75,20693353.5
"(3, 320, np.float64(0.1), 210)",0.0,0.008333333333333333,20141714.84375,19056229.0
"(3, 320, np.float64(0.2), 170)",0.0,0.16041666666666668,27059468.239583332,26188708.0
"(3, 320, np.float64(0.2), 180)",0.0,0.12708333333333333,25390546.385416668,24524312.0
"(3, 320, np.float64(0.2), 190)",0.0,0.04791666666666667,23915383.239583332,22710771.0
"(3, 320, np.float64(0.2), 200)",0.0,0.016666666666666666,20484946.572916668,18778229.5
"(3, 320, np.float64(0.2), 210)",0.0,0.008333333333333333,18048710.5,17148333.5
