,0,1,2,3
"(1, 20, np.float64(0.1))",1.0,0.0125,80518588.11458333,79398125.0
"(1, 20, np.float64(0.2))",1.0,0.0125,79569727.83333333,77747917.0
"(1, 30, np.float64(0.1))",1.0,0.020833333333333332,80573221.36458333,78121396.0
"(1, 30, np.float64(0.2))",1.0,0.020833333333333332,79436931.86458333,77024958.5
"(1, 40, np.float64(0.1))",1.0,0.029166666666666667,79276225.23958333,78757937.5
"(1, 40, np.float64(0.2))",1.0,0.029166666666666667,79415439.75,78727541.5
"(1, 50, np.float64(0.1))",1.0,0.0375,79896054.29166667,78876437.5
"(1, 50, np.float64(0.2))",1.0,0.0375,78720832.89583333,79101375.5
"(1, 60, np.float64(0.1))",1.0,0.03958333333333333,78354571.20833333,76776395.5
"(1, 60, np.float64(0.2))",1.0,0.03958333333333333,78462048.1875,77187521.0
"(1, 70, np.float64(0.1))",1.0,0.03958333333333333,78778676.625,76246083.5
"(1, 70, np.float64(0.2))",1.0,0.03958333333333333,78462726.92708333,76202833.5
"(1, 80, np.float64(0.1))",1.0,0.04375,78222898.4375,76599458.0
"(1, 80, np.float64(0.2))",1.0,0.04375,78086380.61458333,76355708.0
"(1, 90, np.float64(0.1))",1.0,0.04375,77739323.38541667,75267479.5
"(1, 90, np.float64(0.2))",1.0,0.04375,78065765.66666667,74505563.0
"(1, 100, np.float64(0.1))",1.0,0.04583333333333333,78570823.30208333,74882687.5
"(1, 100, np.float64(0.2))",1.0,0.04583333333333333,77310957.4375,73943959.0
"(1, 110, np.float64(0.1))",1.0,0.04791666666666667,78345683.5625,75441229.0
"(1, 110, np.float64(0.2))",1.0,0.04791666666666667,76846432.71875,72754916.5
"(1, 120, np.float64(0.1))",1.0,0.05,80083903.20833333,78582625.0
"(1, 120, np.float64(0.2))",1.0,0.05,78411895.42708333,76381396.0
"(3, 20, np.float64(0.1))",1.0,0.004166666666666667,78144662.84375,76851645.5
"(3, 20, np.float64(0.2))",1.0,0.004166666666666667,77830093.79166667,74445229.0
"(3, 30, np.float64(0.1))",1.0,0.014583333333333334,77737729.5625,76481438.0
"(3, 30, np.float64(0.2))",1.0,0.014583333333333334,77076530.5,74474854.0
"(3, 40, np.float64(0.1))",1.0,0.01875,77217668.05208333,75101520.5
"(3, 40, np.float64(0.2))",1.0,0.01875,76383240.875,74426229.0
"(3, 50, np.float64(0.1))",1.0,0.01875,77825940.55208333,75750625.0
"(3, 50, np.float64(0.2))",1.0,0.01875,76729108.5,73525583.5
"(3, 60, np.float64(0.1))",1.0,0.020833333333333332,77676151.5,74247896.0
"(3, 60, np.float64(0.2))",1.0,0.020833333333333332,76671904.92708333,74187250.0
"(3, 70, np.float64(0.1))",1.0,0.029166666666666667,77721583.34375,74469833.0
"(3, 70, np.float64(0.2))",1.0,0.029166666666666667,76306366.27083333,75213000.0
"(3, 80, np.float64(0.1))",1.0,0.03333333333333333,77671792.52083333,74282979.0
"(3, 80, np.float64(0.2))",1.0,0.03333333333333333,76339288.6875,74582041.5
"(3, 90, np.float64(0.1))",1.0,0.03333333333333333,77059711.82291667,75215666.5
"(3, 90, np.float64(0.2))",1.0,0.03333333333333333,77264595.44791667,74152125.0
"(3, 100, np.float64(0.1))",1.0,0.0375,76515941.39583333,73301125.0
"(3, 100, np.float64(0.2))",1.0,0.0375,76487898.0,74951792.0
"(3, 110, np.float64(0.1))",1.0,0.041666666666666664,62738907.135416664,58990750.0
"(3, 110, np.float64(0.2))",1.0,0.041666666666666664,62290584.541666664,61105770.5
"(3, 120, np.float64(0.1))",1.0,0.04375,61943005.71875,59935021.0
"(3, 120, np.float64(0.2))",1.0,0.04375,62171073.802083336,59808729.0
