,palette,loc,height,set,blobCount,closeEnough,count4,closeCount4,time,points,path
0,custom,davids,high,A,11,True,False,False,106156125,"[0.0, 1.0, 1.0, 1.0, 506.9250437688002, 508.26862976186123, 513.3497832862112, 529.8311051646552, 802.6512318560285, 885.641010793877, 895.0139663714751]",custom_davids_high_A_0.jpg
1,custom,davids,high,B,5,True,False,False,77987583,"[1.0, 1.0, 2.23606797749979, 2.23606797749979, 306.14049062481104]",custom_davids_high_B_0.jpg
2,custom,davids,high,C,2,True,False,False,58979291,"[1.4142135623730951, 2.23606797749979]",custom_davids_high_C_0.jpg
3,custom,davids,high,D,4,True,True,True,57561958,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]",custom_davids_high_D_0.jpg
4,custom,davids,medium,A,4,True,True,True,68757875,"[1.0, 1.0, 1.0, 1.0]",custom_davids_medium_A_0.jpg
5,custom,davids,medium,B,8,True,False,False,63832250,"[0.0, 0.0, 2.23606797749979, 2.23606797749979, 191.4627901186024, 265.2941763401526, 301.7614952242913, 753.4009556670339]",custom_davids_medium_B_0.jpg
6,custom,davids,medium,C,2,True,False,False,66591667,"[1.0, 1.4142135623730951]",custom_davids_medium_C_0.jpg
7,custom,davids,medium,D,3,False,False,False,52132041,"[1.4142135623730951, 2.23606797749979, 1031.0310373601758]",custom_davids_medium_D_0.jpg
8,custom,davids,short,A,4,True,True,True,65234917,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]",custom_davids_short_A_0.jpg
9,custom,davids,short,B,9,True,False,False,71650833,"[1.0, 1.0, 1.4142135623730951, 3.0, 235.03191272676142, 294.00680264238787, 318.7789202566569, 334.43235489408016, 356.6791275081849]",custom_davids_short_B_0.jpg
10,custom,davids,short,C,1,True,False,False,51296666,[1.0],custom_davids_short_C_0.jpg
11,custom,davids,short,D,3,True,False,False,79085042,"[0.0, 1.0, 1.0]",custom_davids_short_D_0.jpg
12,custom,jack_cole,high,A,4,True,True,True,45594500,"[0.0, 1.0, 1.4142135623730951, 2.23606797749979]",custom_jack_cole_high_A_0.jpg
13,custom,jack_cole,high,B,4,True,True,True,45025917,"[1.0, 1.0, 1.0, 1.4142135623730951]",custom_jack_cole_high_B_0.jpg
14,custom,jack_cole,high,C,3,False,False,False,40862917,"[1.4142135623730951, 3.0, 203.22647465327935]",custom_jack_cole_high_C_0.jpg
15,custom,jack_cole,high,D,5,True,False,False,43982375,"[1.4142135623730951, 2.0, 2.23606797749979, 2.23606797749979, 224.32119828495925]",custom_jack_cole_high_D_0.jpg
16,custom,jack_cole,medium,A,4,True,True,True,52293583,"[1.0, 1.0, 1.4142135623730951, 2.0]",custom_jack_cole_medium_A_0.jpg
17,custom,jack_cole,medium,B,5,True,False,False,45610584,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951, 232.44139046219803]",custom_jack_cole_medium_B_0.jpg
18,custom,jack_cole,medium,C,1,True,False,False,43259042,[1.4142135623730951],custom_jack_cole_medium_C_0.jpg
19,custom,jack_cole,medium,D,4,True,True,True,44210292,"[2.0, 2.0, 2.23606797749979, 3.0]",custom_jack_cole_medium_D_0.jpg
20,custom,jack_cole,short,A,6,True,False,False,49419708,"[1.0, 2.23606797749979, 3.1622776601683795, 3.605551275463989, 294.838939083697, 425.60662588827256]",custom_jack_cole_short_A_0.jpg
21,custom,jack_cole,short,B,4,True,True,True,44478167,"[0.0, 1.0, 1.4142135623730951, 2.0]",custom_jack_cole_short_B_0.jpg
22,custom,jack_cole,short,C,2,True,False,False,41295833,"[1.0, 2.8284271247461903]",custom_jack_cole_short_C_0.jpg
23,custom,jack_cole,short,D,5,True,False,False,47667875,"[0.0, 1.4142135623730951, 2.0, 2.23606797749979, 357.73314076277586]",custom_jack_cole_short_D_0.jpg
24,custom,john_honey,high,A,4,True,True,True,72381875,"[0.0, 1.0, 3.0, 3.1622776601683795]",custom_john_honey_high_A_0.jpg
25,custom,john_honey,high,B,4,False,True,False,70323833,"[1.0, 1.0, 2.0, 378.4507894033252]",custom_john_honey_high_B_0.jpg
26,custom,john_honey,high,C,2,True,False,False,70151792,"[1.0, 1.4142135623730951]",custom_john_honey_high_C_0.jpg
27,custom,john_honey,high,D,3,True,False,False,68268792,"[1.0, 1.0, 1.4142135623730951]",custom_john_honey_high_D_0.jpg
