,0,1,2,3
"(1, 300, np.float64(0.1), 170)",0.0,0.1625,34700729.208333336,34320645.5
"(1, 300, np.float64(0.1), 180)",0.0,0.16666666666666666,33402968.802083332,30736791.5
"(1, 300, np.float64(0.1), 190)",0.0,0.1,30223037.333333332,27698750.5
"(1, 300, np.float64(0.1), 200)",0.0,0.025,25065188.8125,22911333.0
"(1, 300, np.float64(0.1), 210)",0.0,0.008333333333333333,20157922.708333332,19364292.0
"(1, 300, np.float64(0.2), 170)",0.0,0.1625,34323396.364583336,33123125.0
"(1, 300, np.float64(0.2), 180)",0.0,0.16666666666666666,34046576.802083336,32245396.0
"(1, 300, np.float64(0.2), 190)",0.0,0.1,30231544.28125,27964396.0
"(1, 300, np.float64(0.2), 200)",0.0,0.025,25138904.0625,22285937.5
"(1, 300, np.float64(0.2), 210)",0.0,0.008333333333333333,20218365.010416668,19584188.0
"(1, 310, np.float64(0.1), 170)",0.0,0.1625,34647479.15625,34190583.5
"(1, 310, np.float64(0.1), 180)",0.0,0.16875,33628105.447916664,31513896.0
"(1, 310, np.float64(0.1), 190)",0.0,0.1,30639544.71875,28092833.0
"(1, 310, np.float64(0.1), 200)",0.0,0.025,25031308.5625,22885479.0
"(1, 310, np.float64(0.1), 210)",0.0,0.008333333333333333,18910695.25,17338375.0
"(1, 310, np.float64(0.2), 170)",0.0,0.1625,34205156.260416664,34132229.0
"(1, 310, np.float64(0.2), 180)",0.0,0.16875,32849469.1875,31614687.5
"(1, 310, np.float64(0.2), 190)",0.0,0.1,29471337.21875,26811229.0
"(1, 310, np.float64(0.2), 200)",0.0,0.025,24402190.072916668,22419562.5
"(1, 310, np.float64(0.2), 210)",0.0,0.008333333333333333,18994344.125,18052812.5
"(1, 320, np.float64(0.1), 170)",0.0,0.1625,34177815.947916664,32205875.0
"(1, 320, np.float64(0.1), 180)",0.0,0.16875,33302502.645833332,31171687.5
"(1, 320, np.float64(0.1), 190)",0.0,0.1,29795232.197916668,27596854.5
"(1, 320, np.float64(0.1), 200)",0.0,0.025,25051758.71875,22896062.5
"(1, 320, np.float64(0.1), 210)",0.0,0.008333333333333333,20385596.385416668,19496000.0
"(1, 320, np.float64(0.2), 170)",0.0,0.1625,34634486.59375,31753041.5
"(1, 320, np.float64(0.2), 180)",0.0,0.16875,33325686.125,32289624.5
"(1, 320, np.float64(0.2), 190)",0.0,0.1,29889648.052083332,28217354.5
"(1, 320, np.float64(0.2), 200)",0.0,0.025,25591173.145833332,23394812.5
"(1, 320, np.float64(0.2), 210)",0.0,0.008333333333333333,20119026.520833332,20076854.0
"(3, 300, np.float64(0.1), 170)",0.0,0.15625,27419637.135416668,26720604.5
"(3, 300, np.float64(0.1), 180)",0.0,0.12708333333333333,28224181.458333332,27373583.5
"(3, 300, np.float64(0.1), 190)",0.0,0.04791666666666667,24743219.166666668,24039437.5
"(3, 300, np.float64(0.1), 200)",0.0,0.016666666666666666,21274894.96875,21042083.5
"(3, 300, np.float64(0.1), 210)",0.0,0.008333333333333333,19275171.802083332,17594792.0
"(3, 300, np.float64(0.2), 170)",0.0,0.15625,28683712.6875,28467479.0
"(3, 300, np.float64(0.2), 180)",0.0,0.12708333333333333,27400972.28125,25278062.5
"(3, 300, np.float64(0.2), 190)",0.0,0.04791666666666667,25378201.0,24050521.0
"(3, 300, np.float64(0.2), 200)",0.0,0.016666666666666666,22117195.770833332,21608771.0
"(3, 300, np.float64(0.2), 210)",0.0,0.008333333333333333,20938003.885416668,19991708.0
"(3, 310, np.float64(0.1), 170)",0.0,0.16041666666666668,28786217.895833332,28464583.0
"(3, 310, np.float64(0.1), 180)",0.0,0.12708333333333333,28741530.84375,26993479.5
"(3, 310, np.float64(0.1), 190)",0.0,0.04791666666666667,24787717.4375,22832583.5
"(3, 310, np.float64(0.1), 200)",0.0,0.016666666666666666,22230771.729166668,21612292.0
"(3, 310, np.float64(0.1), 210)",0.0,0.008333333333333333,19753728.729166668,19093542.0
"(3, 310, np.float64(0.2), 170)",0.0,0.16041666666666668,28063405.833333332,27212625.0
"(3, 310, np.float64(0.2), 180)",0.0,0.12708333333333333,28151156.645833332,27582875.0
"(3, 310, np.float64(0.2), 190)",0.0,0.04791666666666667,24946496.510416668,23268063.0
"(3, 310, np.float64(0.2), 200)",0.0,0.016666666666666666,22360537.34375,22186187.5
"(3, 310, np.float64(0.2), 210)",0.0,0.008333333333333333,19711827.635416668,18900416.5
"(3, 320, np.float64(0.1), 170)",0.0,0.16041666666666668,28012689.71875,25982229.0
"(3, 320, np.float64(0.1), 180)",0.0,0.12708333333333333,27693492.614583332,25808333.0
"(3, 320, np.float64(0.1), 190)",0.0,0.04791666666666667,25769396.291666668,24166479.5
"(3, 320, np.float64(0.1), 200)",0.0,0.016666666666666666,22013325.5625,20702312.5
"(3, 320, np.float64(0.1), 210)",0.0,0.008333333333333333,20039852.4375,19646124.5
"(3, 320, np.float64(0.2), 170)",0.0,0.16041666666666668,26176768.614583332,24197542.0
"(3, 320, np.float64(0.2), 180)",0.0,0.12708333333333333,24799881.53125,24144583.5
"(3, 320, np.float64(0.2), 190)",0.0,0.04791666666666667,21788608.083333332,20936541.5
"(3, 320, np.float64(0.2), 200)",0.0,0.016666666666666666,18809984.333333332,16413625.0
"(3, 320, np.float64(0.2), 210)",0.0,0.008333333333333333,17159705.71875,15536958.5
