,0,1,2,3
"(1, 20, np.float64(0.1))",1.0,0.00625,81872984.32291667,81785312.0
"(1, 20, np.float64(0.2))",1.0,0.00625,81075867.1875,82627520.5
"(1, 30, np.float64(0.1))",1.0,0.0125,80582570.78125,80962166.5
"(1, 30, np.float64(0.2))",1.0,0.0125,79890604.97916667,81093896.0
"(1, 40, np.float64(0.1))",1.0,0.022916666666666665,80289487.75,80011916.0
"(1, 40, np.float64(0.2))",1.0,0.022916666666666665,79483342.40625,79291916.5
"(1, 50, np.float64(0.1))",1.0,0.03333333333333333,79013319.47916667,79681104.0
"(1, 50, np.float64(0.2))",1.0,0.03333333333333333,78902799.47916667,78444458.0
"(1, 60, np.float64(0.1))",1.0,0.035416666666666666,80295131.4375,82238875.5
"(1, 60, np.float64(0.2))",1.0,0.035416666666666666,78696845.47916667,78871146.0
"(1, 70, np.float64(0.1))",1.0,0.035416666666666666,79386119.32291667,79688666.5
"(1, 70, np.float64(0.2))",1.0,0.035416666666666666,78834980.90625,80321354.0
"(1, 80, np.float64(0.1))",1.0,0.035416666666666666,79582071.53125,79034270.5
"(1, 80, np.float64(0.2))",1.0,0.035416666666666666,78610627.21875,80615458.5
"(1, 90, np.float64(0.1))",1.0,0.03958333333333333,79585736.05208333,79506520.5
"(1, 90, np.float64(0.2))",1.0,0.03958333333333333,77928105.0625,79301708.5
"(1, 100, np.float64(0.1))",1.0,0.03958333333333333,79144453.51041667,79165937.5
"(1, 100, np.float64(0.2))",1.0,0.03958333333333333,78521721.30208333,79212729.0
"(1, 110, np.float64(0.1))",1.0,0.03958333333333333,78752906.69791667,80716354.5
"(1, 110, np.float64(0.2))",1.0,0.03958333333333333,78509244.82291667,78842771.0
"(1, 120, np.float64(0.1))",1.0,0.03958333333333333,80139019.08333333,78719687.5
"(1, 120, np.float64(0.2))",1.0,0.03958333333333333,79487540.40625,78232000.0
"(3, 20, np.float64(0.1))",1.0,0.0020833333333333333,76314729.96875,76523792.0
"(3, 20, np.float64(0.2))",1.0,0.0020833333333333333,75451400.19791667,74146437.5
"(3, 30, np.float64(0.1))",1.0,0.008333333333333333,75628917.08333333,73551833.0
"(3, 30, np.float64(0.2))",1.0,0.008333333333333333,74590704.86458333,73883604.0
"(3, 40, np.float64(0.1))",1.0,0.0125,75561476.97916667,75044604.0
"(3, 40, np.float64(0.2))",1.0,0.0125,73870577.22916667,72247562.5
"(3, 50, np.float64(0.1))",1.0,0.020833333333333332,75265594.21875,76296292.0
"(3, 50, np.float64(0.2))",1.0,0.020833333333333332,74331244.40625,74428000.0
"(3, 60, np.float64(0.1))",1.0,0.022916666666666665,74613353.26041667,74073354.0
"(3, 60, np.float64(0.2))",1.0,0.022916666666666665,74340521.34375,73414166.5
"(3, 70, np.float64(0.1))",1.0,0.027083333333333334,74677263.90625,73954771.0
"(3, 70, np.float64(0.2))",1.0,0.027083333333333334,73785998.63541667,73293771.0
"(3, 80, np.float64(0.1))",1.0,0.03333333333333333,75358084.59375,74709520.5
"(3, 80, np.float64(0.2))",1.0,0.03333333333333333,74160787.72916667,74710062.5
"(3, 90, np.float64(0.1))",1.0,0.03333333333333333,73703562.5,72329958.0
"(3, 90, np.float64(0.2))",1.0,0.03333333333333333,73781488.28125,75543208.5
"(3, 100, np.float64(0.1))",1.0,0.03333333333333333,74470950.94791667,74492833.0
"(3, 100, np.float64(0.2))",1.0,0.03333333333333333,73950364.59375,74515354.0
"(3, 110, np.float64(0.1))",1.0,0.035416666666666666,57468339.364583336,57420270.5
"(3, 110, np.float64(0.2))",1.0,0.035416666666666666,56752488.260416664,54915750.0
"(3, 120, np.float64(0.1))",1.0,0.035416666666666666,57483325.041666664,55976708.5
"(3, 120, np.float64(0.2))",1.0,0.035416666666666666,56605912.791666664,55734479.5
