,palette,loc,height,set,blobCount,closeEnough,count4,closeCount4,time,points,path
0,custom,davids,high,A,9,False,False,False,51143667,"[0.0, 1.0, 1.0, 482.8881858153086, 513.3497832862112, 531.2522941126937, 802.6512318560285, 885.641010793877, 895.0139663714751]",custom_davids_high_A_0.jpg
1,custom,davids,high,B,5,False,False,False,30790917,"[1.0, 1.4142135623730951, 2.23606797749979, 305.65994176535463, 306.14049062481104]",custom_davids_high_B_0.jpg
2,custom,davids,high,C,4,True,True,True,33059833,"[0.0, 1.4142135623730951, 2.8284271247461903, 3.1622776601683795]",custom_davids_high_C_0.jpg
3,custom,davids,high,D,4,True,True,True,38170625,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]",custom_davids_high_D_0.jpg
4,custom,davids,medium,A,3,True,False,False,41331834,"[1.0, 1.0, 1.0]",custom_davids_medium_A_0.jpg
5,custom,davids,medium,B,7,False,False,False,45543667,"[0.0, 0.0, 1.4142135623730951, 265.2941763401526, 287.6056327682057, 302.1009764962702, 753.4009556670339]",custom_davids_medium_B_0.jpg
6,custom,davids,medium,C,4,True,True,True,29056000,"[1.0, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]",custom_davids_medium_C_0.jpg
7,custom,davids,medium,D,4,False,True,False,26152833,"[1.4142135623730951, 2.23606797749979, 2.23606797749979, 1031.0310373601758]",custom_davids_medium_D_0.jpg
8,custom,davids,short,A,3,True,False,False,31799333,"[1.0, 2.23606797749979, 2.23606797749979]",custom_davids_short_A_0.jpg
9,custom,davids,short,B,8,False,False,False,36547542,"[1.0, 1.4142135623730951, 235.03191272676142, 294.00680264238787, 318.7789202566569, 325.22146300636433, 334.43235489408016, 356.6791275081849]",custom_davids_short_B_0.jpg
10,custom,davids,short,C,2,True,False,False,28769750,"[1.0, 3.1622776601683795]",custom_davids_short_C_0.jpg
11,custom,davids,short,D,3,True,False,False,32483334,"[0.0, 1.0, 1.4142135623730951]",custom_davids_short_D_0.jpg
12,custom,jack_cole,high,A,2,True,False,False,17156042,"[1.4142135623730951, 2.0]",custom_jack_cole_high_A_0.jpg
13,custom,jack_cole,high,B,2,False,False,False,17342375,"[1.0, 297.4104907362886]",custom_jack_cole_high_B_0.jpg
14,custom,jack_cole,high,C,2,False,False,False,20406958,"[5.385164807134504, 203.22647465327935]",custom_jack_cole_high_C_0.jpg
15,custom,jack_cole,high,D,1,False,False,False,18019000,[224.32119828495925],custom_jack_cole_high_D_0.jpg
16,custom,jack_cole,medium,A,2,True,False,False,18427625,"[1.0, 2.23606797749979]",custom_jack_cole_medium_A_0.jpg
17,custom,jack_cole,medium,B,2,True,False,False,18176625,"[1.0, 1.0]",custom_jack_cole_medium_B_0.jpg
18,custom,jack_cole,medium,C,2,True,False,False,21222458,"[1.0, 1.4142135623730951]",custom_jack_cole_medium_C_0.jpg
19,custom,jack_cole,medium,D,4,True,True,True,20471917,"[2.0, 2.0, 2.23606797749979, 3.0]",custom_jack_cole_medium_D_0.jpg
20,custom,jack_cole,short,A,3,True,False,False,18695125,"[2.23606797749979, 3.1622776601683795, 3.605551275463989]",custom_jack_cole_short_A_0.jpg
21,custom,jack_cole,short,B,3,True,False,False,21028334,"[0.0, 1.0, 2.0]",custom_jack_cole_short_B_0.jpg
22,custom,jack_cole,short,C,4,True,True,True,21116542,"[1.0, 1.0, 2.0, 2.23606797749979]",custom_jack_cole_short_C_0.jpg
