,0,1,2,3,4
../data/images_copy/custom/davids/high/A/custom_davids_high_A_0.jpg,4,True,True,41292833,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 1.5811388300841898]"
../data/images_copy/custom/davids/high/B/custom_davids_high_B_0.jpg,3,True,False,40100334,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898]"
../data/images_copy/custom/davids/high/C/custom_davids_high_C_0.jpg,2,True,False,31860333,"[0.7071067811865476, 2.1213203435596424]"
../data/images_copy/custom/davids/high/D/custom_davids_high_D_0.jpg,4,True,True,25853417,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 2.1213203435596424]"
../data/images_copy/custom/davids/medium/A/custom_davids_medium_A_0.jpg,4,True,True,44281375,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 1.5811388300841898]"
../data/images_copy/custom/davids/medium/B/custom_davids_medium_B_0.jpg,5,True,False,32911625,"[0.7071067811865476, 0.7071067811865476, 2.5495097567963922, 2.9154759474226504, 303.4410980734152]"
../data/images_copy/custom/davids/medium/C/custom_davids_medium_C_0.jpg,2,True,False,38521125,"[0.7071067811865476, 1.5811388300841898]"
../data/images_copy/custom/davids/medium/D/custom_davids_medium_D_0.jpg,4,True,True,38342584,"[1.5811388300841898, 1.5811388300841898, 1.5811388300841898, 2.1213203435596424]"
../data/images_copy/custom/davids/short/A/custom_davids_short_A_0.jpg,4,True,True,37137000,"[0.7071067811865476, 1.5811388300841898, 1.5811388300841898, 2.9154759474226504]"
../data/images_copy/custom/davids/short/B/custom_davids_short_B_0.jpg,5,True,False,36983292,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 3.5355339059327378, 282.06470888787203]"
../data/images_copy/custom/davids/short/C/custom_davids_short_C_0.jpg,2,True,False,41239750,"[1.5811388300841898, 2.5495097567963922]"
../data/images_copy/custom/davids/short/D/custom_davids_short_D_0.jpg,4,True,True,34739416,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 2.1213203435596424]"
../data/images_copy/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg,4,True,True,30831959,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 1.5811388300841898]"
../data/images_copy/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg,4,True,True,27995708,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 1.5811388300841898]"
../data/images_copy/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg,2,True,False,42935000,"[1.5811388300841898, 2.5495097567963922]"
../data/images_copy/custom/jack_cole/high/D/custom_jack_cole_high_D_0.jpg,4,True,True,25904417,"[0.7071067811865476, 1.5811388300841898, 1.5811388300841898, 1.5811388300841898]"
../data/images_copy/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg,4,True,True,44221875,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 1.5811388300841898]"
../data/images_copy/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg,4,True,True,27009125,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 1.5811388300841898]"
../data/images_copy/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg,3,True,False,27063834,"[0.7071067811865476, 1.5811388300841898, 2.9154759474226504]"
../data/images_copy/custom/jack_cole/medium/D/custom_jack_cole_medium_D_0.jpg,4,True,True,31327625,"[2.5495097567963922, 2.5495097567963922, 2.5495097567963922, 2.5495097567963922]"
../data/images_copy/custom/jack_cole/short/A/custom_jack_cole_short_A_0.jpg,4,True,True,28829875,"[2.5495097567963922, 2.5495097567963922, 3.5355339059327378, 4.301162633521313]"
../data/images_copy/custom/jack_cole/short/B/custom_jack_cole_short_B_0.jpg,3,True,False,28675833,"[1.5811388300841898, 1.5811388300841898, 2.1213203435596424]"
../data/images_copy/custom/jack_cole/short/C/custom_jack_cole_short_C_0.jpg,3,True,False,27092334,"[1.5811388300841898, 1.5811388300841898, 2.5495097567963922]"
