,0,1,2,3,4
data/images_copy/custom/davids/high/A/custom_davids_high_A_0.jpg,4,True,True,20637125,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 1.5811388300841898]"
data/images_copy/custom/davids/high/B/custom_davids_high_B_0.jpg,3,True,False,20301417,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898]"
data/images_copy/custom/davids/high/C/custom_davids_high_C_0.jpg,2,True,False,22500459,"[0.7071067811865476, 2.1213203435596424]"
data/images_copy/custom/davids/high/D/custom_davids_high_D_0.jpg,4,True,True,14948958,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 2.1213203435596424]"
data/images_copy/custom/davids/medium/A/custom_davids_medium_A_0.jpg,4,True,True,27053750,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 1.5811388300841898]"
data/images_copy/custom/davids/medium/B/custom_davids_medium_B_0.jpg,5,True,False,25638500,"[0.7071067811865476, 0.7071067811865476, 2.5495097567963922, 2.9154759474226504, 303.4410980734152]"
data/images_copy/custom/davids/medium/C/custom_davids_medium_C_0.jpg,2,True,False,24182208,"[0.7071067811865476, 1.5811388300841898]"
data/images_copy/custom/davids/medium/D/custom_davids_medium_D_0.jpg,4,True,True,22510333,"[1.5811388300841898, 1.5811388300841898, 1.5811388300841898, 2.1213203435596424]"
data/images_copy/custom/davids/short/A/custom_davids_short_A_0.jpg,4,True,True,10877625,"[0.7071067811865476, 1.5811388300841898, 1.5811388300841898, 2.9154759474226504]"
data/images_copy/custom/davids/short/B/custom_davids_short_B_0.jpg,5,True,False,13194292,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 3.5355339059327378, 357.20932238674845]"
data/images_copy/custom/davids/short/C/custom_davids_short_C_0.jpg,2,True,False,17640167,"[1.5811388300841898, 2.5495097567963922]"
data/images_copy/custom/davids/short/D/custom_davids_short_D_0.jpg,4,True,True,13601792,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 2.1213203435596424]"
data/images_copy/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg,4,True,True,12502500,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 1.5811388300841898]"
data/images_copy/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg,4,True,True,25997542,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 1.5811388300841898]"
data/images_copy/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg,2,True,False,10834833,"[1.5811388300841898, 2.5495097567963922]"
data/images_copy/custom/jack_cole/high/D/custom_jack_cole_high_D_0.jpg,4,True,True,10152500,"[0.7071067811865476, 1.5811388300841898, 1.5811388300841898, 1.5811388300841898]"
data/images_copy/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg,4,True,True,15267708,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 1.5811388300841898]"
data/images_copy/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg,4,True,True,18589125,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 1.5811388300841898]"
