,0,1,2,3,4
data/images_copy/custom/davids/high/A/custom_davids_high_A_0.jpg,4,True,True,55267834,"[0.5, 0.7071067811865476, 0.7071067811865476, 1.5]"
data/images_copy/custom/davids/high/B/custom_davids_high_B_0.jpg,3,False,False,61833041,"[2.5, 2.5, 307.3312545121306]"
data/images_copy/custom/davids/high/C/custom_davids_high_C_0.jpg,3,True,False,53085667,"[0.7071067811865476, 1.118033988749895, 2.1213203435596424]"
data/images_copy/custom/davids/high/D/custom_davids_high_D_0.jpg,4,True,True,48370625,"[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.4142135623730951]"
data/images_copy/custom/davids/medium/A/custom_davids_medium_A_0.jpg,3,True,False,47387541,"[0.0, 1.0, 1.118033988749895]"
data/images_copy/custom/davids/medium/B/custom_davids_medium_B_0.jpg,5,True,False,53767708,"[1.118033988749895, 1.4142135623730951, 2.0615528128088303, 2.1213203435596424, 303.4410980734152]"
data/images_copy/custom/davids/medium/C/custom_davids_medium_C_0.jpg,4,True,True,56595000,"[0.5, 0.7071067811865476, 1.4142135623730951, 2.23606797749979]"
data/images_copy/custom/davids/medium/D/custom_davids_medium_D_0.jpg,4,True,True,57133375,"[0.5, 1.5, 2.5, 2.8284271247461903]"
data/images_copy/custom/davids/short/A/custom_davids_short_A_0.jpg,4,True,True,50036667,"[1.0, 1.5811388300841898, 2.5, 2.8284271247461903]"
data/images_copy/custom/davids/short/B/custom_davids_short_B_0.jpg,5,True,False,53785500,"[1.118033988749895, 1.8027756377319946, 1.8027756377319946, 3.8078865529319543, 316.6721490753489]"
data/images_copy/custom/davids/short/C/custom_davids_short_C_0.jpg,4,True,True,47491833,"[0.5, 1.4142135623730951, 1.5811388300841898, 2.5495097567963922]"
data/images_copy/custom/davids/short/D/custom_davids_short_D_0.jpg,4,True,True,48445250,"[0.7071067811865476, 0.7071067811865476, 1.118033988749895, 1.8027756377319946]"
data/images_copy/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg,4,True,True,44219083,"[1.118033988749895, 1.118033988749895, 1.118033988749895, 2.5]"
data/images_copy/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg,2,True,False,39922500,"[0.7071067811865476, 1.5811388300841898]"
data/images_copy/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg,4,True,True,44848916,"[1.4142135623730951, 2.0, 2.5495097567963922, 3.0]"
data/images_copy/custom/jack_cole/high/D/custom_jack_cole_high_D_0.jpg,4,True,True,40574416,"[0.5, 1.8027756377319946, 2.5, 2.5495097567963922]"
data/images_copy/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg,4,True,True,51654208,"[1.4142135623730951, 1.5, 1.5, 1.8027756377319946]"
data/images_copy/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg,4,True,True,44013333,"[0.5, 1.0, 1.118033988749895, 1.8027756377319946]"
data/images_copy/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg,3,True,False,49248417,"[1.8027756377319946, 1.8027756377319946, 3.5355339059327378]"
data/images_copy/custom/jack_cole/medium/D/custom_jack_cole_medium_D_0.jpg,4,True,True,50142792,"[1.5811388300841898, 1.8027756377319946, 2.0, 2.5]"
data/images_copy/custom/jack_cole/short/A/custom_jack_cole_short_A_0.jpg,4,True,True,55701084,"[1.4142135623730951, 3.1622776601683795, 3.5355339059327378, 4.272001872658765]"
data/images_copy/custom/jack_cole/short/B/custom_jack_cole_short_B_0.jpg,4,True,True,43192500,"[1.118033988749895, 1.5811388300841898, 2.1213203435596424, 2.5]"
data/images_copy/custom/jack_cole/short/C/custom_jack_cole_short_C_0.jpg,3,True,False,47834500,"[0.5, 1.118033988749895, 1.5811388300841898]"
data/images_copy/custom/jack_cole/short/D/custom_jack_cole_short_D_0.jpg,4,True,True,44082833,"[0.5, 1.0, 1.5, 2.1213203435596424]"
data/images_copy/custom/john_honey/high/A/custom_john_honey_high_A_0.jpg,4,True,True,50516250,"[0.9013878188659973, 1.4142135623730951, 2.5, 3.5]"
data/images_copy/custom/john_honey/high/B/custom_john_honey_high_B_0.jpg,4,True,True,49407000,"[0.7071067811865476, 1.5811388300841898, 1.5811388300841898, 1.8027756377319946]"
data/images_copy/custom/john_honey/high/C/custom_john_honey_high_C_0.jpg,4,True,True,52109917,"[0.5, 1.118033988749895, 1.8027756377319946, 2.23606797749979]"
data/images_copy/custom/john_honey/high/D/custom_john_honey_high_D_0.jpg,4,True,True,52703125,"[0.0, 0.7071067811865476, 1.0, 1.118033988749895]"
data/images_copy/custom/john_honey/medium/A/custom_john_honey_medium_A_0.jpg,4,True,True,57990417,"[0.5, 0.5, 1.118033988749895, 1.118033988749895]"
data/images_copy/custom/john_honey/medium/B/custom_john_honey_medium_B_0.jpg,4,True,True,50494834,"[0.5, 0.7071067811865476, 0.7071067811865476, 2.0615528128088303]"
data/images_copy/custom/john_honey/medium/C/custom_john_honey_medium_C_0.jpg,4,True,True,60867541,"[0.5, 1.118033988749895, 2.1213203435596424, 2.5]"
data/images_copy/custom/john_honey/medium/D/custom_john_honey_medium_D_0.jpg,4,True,True,59110792,"[0.0, 1.118033988749895, 1.118033988749895, 1.4142135623730951]"
data/images_copy/custom/john_honey/short/A/custom_john_honey_short_A_0.jpg,4,True,True,51964917,"[0.5, 1.118033988749895, 2.0615528128088303, 3.0413812651491097]"
data/images_copy/custom/john_honey/short/B/custom_john_honey_short_B_0.jpg,4,True,True,53489375,"[1.118033988749895, 1.118033988749895, 2.0615528128088303, 2.0615528128088303]"
data/images_copy/custom/john_honey/short/C/custom_john_honey_short_C_0.jpg,4,True,True,57475375,"[1.118033988749895, 1.5, 2.23606797749979, 3.1622776601683795]"
data/images_copy/custom/john_honey/short/D/custom_john_honey_short_D_0.jpg,4,True,True,54937250,"[0.7071067811865476, 1.0, 1.4142135623730951, 2.8284271247461903]"
data/images_copy/custom/michaels/high/A/custom_michaels_high_A_0.jpg,2,True,False,52184833,"[1.118033988749895, 3.1622776601683795]"
data/images_copy/custom/michaels/high/B/custom_michaels_high_B_0.jpg,4,True,True,44322375,"[0.7071067811865476, 1.118033988749895, 1.118033988749895, 1.8027756377319946]"
data/images_copy/custom/michaels/high/C/custom_michaels_high_C_0.jpg,2,True,False,41747083,"[1.118033988749895, 2.692582403567252]"
data/images_copy/custom/michaels/high/D/custom_michaels_high_D_0.jpg,4,True,True,48995250,"[0.0, 0.5, 0.7071067811865476, 1.4142135623730951]"
data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_0.jpg,4,True,True,55075041,"[1.0, 1.118033988749895, 2.23606797749979, 3.0413812651491097]"
data/images_copy/custom/michaels/medium/B/custom_michaels_medium_B_0.jpg,4,True,True,52492417,"[0.7071067811865476, 1.118033988749895, 1.118033988749895, 1.118033988749895]"
data/images_copy/custom/michaels/medium/C/custom_michaels_medium_C_0.jpg,4,True,True,53228167,"[0.5, 1.5811388300841898, 2.5495097567963922, 2.8284271247461903]"
data/images_copy/custom/michaels/medium/D/custom_michaels_medium_D_0.jpg,4,True,True,56661709,"[0.7071067811865476, 1.5811388300841898, 1.5811388300841898, 2.0615528128088303]"
data/images_copy/custom/michaels/short/A/custom_michaels_short_A_0.jpg,5,True,False,46695375,"[0.5, 1.118033988749895, 2.0, 2.692582403567252, 403.00930510349264]"
data/images_copy/custom/michaels/short/B/custom_michaels_short_B_0.jpg,4,True,True,43633292,"[0.7071067811865476, 0.7071067811865476, 1.5, 2.9154759474226504]"
data/images_copy/custom/michaels/short/C/custom_michaels_short_C_0.jpg,4,True,True,50066125,"[0.7071067811865476, 1.118033988749895, 1.8027756377319946, 2.5495097567963922]"
data/images_copy/custom/michaels/short/D/custom_michaels_short_D_0.jpg,4,True,True,42047792,"[1.118033988749895, 1.5811388300841898, 2.23606797749979, 2.5495097567963922]"
