,0,1,2,3
"(np.float64(1.0), 100, 300, np.float64(0.7), 10)",houghCircleAlt,0.07291666666666667,137492255.1875,136677812.5
"(np.float64(1.0), 100, 300, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.11666666666666667,137384949.60416666,135296104.0
"(np.float64(1.0), 100, 300, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.16666666666666666,138059233.90625,137946729.0
"(np.float64(1.0), 100, 350, np.float64(0.7), 10)",houghCircleAlt,0.07708333333333334,134614650.96875,133252146.0
"(np.float64(1.0), 100, 350, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.11875,133564457.05208333,132290146.0
"(np.float64(1.0), 100, 350, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.1625,133296595.46875,132184687.5
"(np.float64(1.0), 150, 300, np.float64(0.7), 10)",houghCircleAlt,0.0875,189441791.28125,189361479.5
"(np.float64(1.0), 150, 300, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.13333333333333333,189380163.5625,188060312.5
"(np.float64(1.0), 150, 300, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.16666666666666666,188816299.47916666,187431749.5
"(np.float64(1.0), 150, 350, np.float64(0.7), 10)",houghCircleAlt,0.08125,186772279.03125,185831062.5
"(np.float64(1.0), 150, 350, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.12708333333333333,186664256.5,183639750.0
"(np.float64(1.0), 150, 350, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.16458333333333333,186774732.60416666,186102833.0
"(np.float64(1.0), 200, 300, np.float64(0.7), 10)",houghCircleAlt,0.1125,257189631.9375,255689041.5
"(np.float64(1.0), 200, 300, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.14375,255039009.13541666,251508416.5
"(np.float64(1.0), 200, 300, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.175,255023658.42708334,253257542.0
"(np.float64(1.0), 200, 350, np.float64(0.7), 10)",houghCircleAlt,0.11458333333333333,251087430.16666666,248140417.0
"(np.float64(1.0), 200, 350, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.14791666666666667,251493248.76041666,247951917.0
"(np.float64(1.0), 200, 350, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.175,251740493.05208334,246020833.0
"(np.float64(1.0), 250, 300, np.float64(0.7), 10)",houghCircleAlt,0.11875,313767746.59375,309743521.0
"(np.float64(1.0), 250, 300, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.14583333333333334,311395090.3125,305953729.5
"(np.float64(1.0), 250, 300, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.16458333333333333,300095887.125,296539812.5
"(np.float64(1.0), 250, 350, np.float64(0.7), 10)",houghCircleAlt,0.12083333333333333,298786920.1354167,293126354.0
"(np.float64(1.0), 250, 350, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.14583333333333334,293598641.0729167,292000375.0
"(np.float64(1.0), 250, 350, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.16458333333333333,291787568.96875,287514000.5
"(np.float64(1.5), 100, 300, np.float64(0.7), 10)",houghCircleAlt,0.07916666666666666,66603699.65625,67224625.0
"(np.float64(1.5), 100, 300, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.11875,66642418.822916664,68401646.0
"(np.float64(1.5), 100, 300, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.16041666666666668,63197028.958333336,65087083.0
"(np.float64(1.5), 100, 350, np.float64(0.7), 10)",houghCircleAlt,0.075,60863450.114583336,61768812.5
"(np.float64(1.5), 100, 350, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.11458333333333333,60221460.552083336,61776125.0
"(np.float64(1.5), 100, 350, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.16458333333333333,60798962.28125,62328271.0
"(np.float64(1.5), 150, 300, np.float64(0.7), 10)",houghCircleAlt,0.09583333333333334,73554105.01041667,74644937.5
"(np.float64(1.5), 150, 300, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.13333333333333333,73800043.92708333,75105000.0
"(np.float64(1.5), 150, 300, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.16458333333333333,74549278.5625,75705895.5
"(np.float64(1.5), 150, 350, np.float64(0.7), 10)",houghCircleAlt,0.08333333333333333,71074016.46875,71015250.0
"(np.float64(1.5), 150, 350, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.12916666666666668,72177089.82291667,72497604.0
"(np.float64(1.5), 150, 350, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.16458333333333333,72429201.8125,73469854.0
"(np.float64(1.5), 200, 300, np.float64(0.7), 10)",houghCircleAlt,0.10208333333333333,87880112.07291667,88582333.0
"(np.float64(1.5), 200, 300, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.14791666666666667,87711259.53125,88962666.0
"(np.float64(1.5), 200, 300, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.17083333333333334,87468204.90625,88318667.0
"(np.float64(1.5), 200, 350, np.float64(0.7), 10)",houghCircleAlt,0.09166666666666666,84659950.98958333,85998749.5
"(np.float64(1.5), 200, 350, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.14166666666666666,84798368.09375,86322437.5
"(np.float64(1.5), 200, 350, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.16875,85447396.26041667,86818667.0
"(np.float64(1.5), 250, 300, np.float64(0.7), 10)",houghCircleAlt,0.11666666666666667,98933987.78125,98609916.5
"(np.float64(1.5), 250, 300, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.14583333333333334,98049968.3125,98960458.5
"(np.float64(1.5), 250, 300, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.1625,90565507.82291667,88994792.0
"(np.float64(1.5), 250, 350, np.float64(0.7), 10)",houghCircleAlt,0.10833333333333334,88917602.0625,87519083.5
"(np.float64(1.5), 250, 350, np.float64(0.7999999999999999), 10)",houghCircleAlt,0.14166666666666666,88604904.53125,85857646.0
"(np.float64(1.5), 250, 350, np.float64(0.8999999999999999), 10)",houghCircleAlt,0.15833333333333333,88585032.98958333,86115979.0
