,0,1,2,3
"(np.float64(1.0), 100, 100, 30, 10)",houghCircle,0.13541666666666666,23128639.729166668,23437937.5
"(np.float64(1.0), 100, 100, 40, 10)",houghCircle,0.1375,21761461.291666668,21647770.5
"(np.float64(1.0), 100, 150, 30, 10)",houghCircle,0.15,20482645.385416668,19719938.0
"(np.float64(1.0), 100, 150, 40, 10)",houghCircle,0.12916666666666668,21184956.59375,20918271.0
"(np.float64(1.0), 100, 200, 30, 10)",houghCircle,0.15,19136017.364583332,18421833.5
"(np.float64(1.0), 100, 200, 40, 10)",houghCircle,0.13333333333333333,19277556.010416668,18897625.0
"(np.float64(1.0), 100, 250, 30, 10)",houghCircle,0.14375,21469610.708333332,20317333.5
"(np.float64(1.0), 100, 250, 40, 10)",houghCircle,0.13333333333333333,17172773.864583332,16091125.0
"(np.float64(1.0), 150, 100, 30, 10)",houghCircle,0.13541666666666666,22969282.145833332,22227187.5
"(np.float64(1.0), 150, 100, 40, 10)",houghCircle,0.1375,22093318.208333332,22221083.5
"(np.float64(1.0), 150, 150, 30, 10)",houghCircle,0.15,20428272.5625,19828083.0
"(np.float64(1.0), 150, 150, 40, 10)",houghCircle,0.12916666666666668,19994059.489583332,19450666.5
"(np.float64(1.0), 150, 200, 30, 10)",houghCircle,0.15,19253774.354166668,18565937.5
"(np.float64(1.0), 150, 200, 40, 10)",houghCircle,0.13333333333333333,18772975.302083332,18300542.0
"(np.float64(1.0), 150, 250, 30, 10)",houghCircle,0.14375,19738369.791666668,18797396.0
"(np.float64(1.0), 150, 250, 40, 10)",houghCircle,0.13333333333333333,19451586.8125,18156979.5
"(np.float64(1.0), 200, 100, 30, 10)",houghCircle,0.13958333333333334,22263060.78125,22572062.5
"(np.float64(1.0), 200, 100, 40, 10)",houghCircle,0.14166666666666666,22182837.260416668,21999000.0
"(np.float64(1.0), 200, 150, 30, 10)",houghCircle,0.15416666666666667,20824275.989583332,20488875.0
"(np.float64(1.0), 200, 150, 40, 10)",houghCircle,0.13333333333333333,20776533.895833332,20574333.0
"(np.float64(1.0), 200, 200, 30, 10)",houghCircle,0.15416666666666667,18994012.572916668,17891083.5
"(np.float64(1.0), 200, 200, 40, 10)",houghCircle,0.13333333333333333,18700864.645833332,17867729.0
"(np.float64(1.0), 200, 250, 30, 10)",houghCircle,0.14583333333333334,18808536.020833332,18475249.5
"(np.float64(1.0), 200, 250, 40, 10)",houghCircle,0.13333333333333333,19063667.5625,18718562.5
"(np.float64(1.0), 250, 100, 30, 10)",houghCircle,0.14375,22872068.15625,22089667.0
"(np.float64(1.0), 250, 100, 40, 10)",houghCircle,0.14791666666666667,22511155.041666668,22157541.5
"(np.float64(1.0), 250, 150, 30, 10)",houghCircle,0.15625,20031419.197916668,19394583.5
"(np.float64(1.0), 250, 150, 40, 10)",houghCircle,0.1375,21504509.552083332,20396104.0
"(np.float64(1.0), 250, 200, 30, 10)",houghCircle,0.15625,18605626.75,18618583.5
"(np.float64(1.0), 250, 200, 40, 10)",houghCircle,0.13541666666666666,19669832.895833332,19117291.5
"(np.float64(1.0), 250, 250, 30, 10)",houghCircle,0.14791666666666667,19572546.072916668,18649625.0
"(np.float64(1.0), 250, 250, 40, 10)",houghCircle,0.13541666666666666,18133115.458333332,16992666.5
"(np.float64(1.5), 100, 100, 30, 10)",houghCircle,0.13541666666666666,22073183.625,22243208.5
"(np.float64(1.5), 100, 100, 40, 10)",houghCircle,0.1375,22754189.625,23351666.5
"(np.float64(1.5), 100, 150, 30, 10)",houghCircle,0.15,19893469.177083332,18986771.0
"(np.float64(1.5), 100, 150, 40, 10)",houghCircle,0.12916666666666668,21022139.354166668,20685979.0
"(np.float64(1.5), 100, 200, 30, 10)",houghCircle,0.15,19659645.854166668,19767292.0
"(np.float64(1.5), 100, 200, 40, 10)",houghCircle,0.13333333333333333,19727209.645833332,19771250.0
"(np.float64(1.5), 100, 250, 30, 10)",houghCircle,0.14375,19221316.822916668,19043937.0
"(np.float64(1.5), 100, 250, 40, 10)",houghCircle,0.13333333333333333,19576945.708333332,18275249.5
"(np.float64(1.5), 150, 100, 30, 10)",houghCircle,0.13541666666666666,22703000,22305667.0
"(np.float64(1.5), 150, 100, 40, 10)",houghCircle,0.1375,22941451.010416668,22821709.0
"(np.float64(1.5), 150, 150, 30, 10)",houghCircle,0.15,20785766.989583332,19952021.0
"(np.float64(1.5), 150, 150, 40, 10)",houghCircle,0.12916666666666668,20696531.25,20207291.5
"(np.float64(1.5), 150, 200, 30, 10)",houghCircle,0.15,20023956.96875,18059604.0
"(np.float64(1.5), 150, 200, 40, 10)",houghCircle,0.13333333333333333,19788831.59375,18297125.0
"(np.float64(1.5), 150, 250, 30, 10)",houghCircle,0.14375,18888761.25,18652770.5
"(np.float64(1.5), 150, 250, 40, 10)",houghCircle,0.13333333333333333,19941390.6875,18489521.0
"(np.float64(1.5), 200, 100, 30, 10)",houghCircle,0.13958333333333334,23194568.177083332,23309209.0
"(np.float64(1.5), 200, 100, 40, 10)",houghCircle,0.14166666666666666,21846770.760416668,22389104.0
"(np.float64(1.5), 200, 150, 30, 10)",houghCircle,0.15416666666666667,20491753.072916668,20325042.0
"(np.float64(1.5), 200, 150, 40, 10)",houghCircle,0.13333333333333333,20299394.166666668,19991375.5
"(np.float64(1.5), 200, 200, 30, 10)",houghCircle,0.15416666666666667,19874926.59375,18711625.0
"(np.float64(1.5), 200, 200, 40, 10)",houghCircle,0.13333333333333333,20076489.15625,19035249.5
"(np.float64(1.5), 200, 250, 30, 10)",houghCircle,0.14583333333333334,19651143.677083332,17953333.0
"(np.float64(1.5), 200, 250, 40, 10)",houghCircle,0.13333333333333333,18687004.28125,18378687.5
"(np.float64(1.5), 250, 100, 30, 10)",houghCircle,0.14375,22993821.572916668,23209375.0
"(np.float64(1.5), 250, 100, 40, 10)",houghCircle,0.14791666666666667,22436795.125,21877645.5
"(np.float64(1.5), 250, 150, 30, 10)",houghCircle,0.15625,20468983.09375,19887208.0
"(np.float64(1.5), 250, 150, 40, 10)",houghCircle,0.1375,20840969.583333332,20477895.5
"(np.float64(1.5), 250, 200, 30, 10)",houghCircle,0.15625,16760809.864583334,15619771.0
"(np.float64(1.5), 250, 200, 40, 10)",houghCircle,0.13541666666666666,16383089.791666666,15595020.5
"(np.float64(1.5), 250, 250, 30, 10)",houghCircle,0.14791666666666667,15954530.40625,15226729.0
"(np.float64(1.5), 250, 250, 40, 10)",houghCircle,0.13541666666666666,15202705.71875,14836875.0
