,key,path,found_perm,true_perm,correct,overlap
0,a,../puck/data/images_copy/custom/michaels/high/A/custom_michaels_high_A_3.jpg,afd,afd,True,3
1,a,../puck/data/images_copy/custom/michaels/high/A/custom_michaels_high_A_2.jpg,afd,afd,True,3
2,a,../puck/data/images_copy/custom/michaels/high/A/custom_michaels_high_A_0.jpg,abd,afd,False,2
3,a,../puck/data/images_copy/custom/michaels/high/A/custom_michaels_high_A_1.jpg,efd,afd,False,2
4,a,../puck/data/images_copy/custom/michaels/high/A/custom_michaels_high_A_4.jpg,afd,afd,True,3
5,a,../puck/data/images_copy/custom/michaels/short/A/custom_michaels_short_A_3.jpg,afd,afd,True,3
6,a,../puck/data/images_copy/custom/michaels/short/A/custom_michaels_short_A_2.jpg,afd,afd,True,3
7,a,../puck/data/images_copy/custom/michaels/short/A/custom_michaels_short_A_0.jpg,afd,afd,True,3
8,a,../puck/data/images_copy/custom/michaels/short/A/custom_michaels_short_A_1.jpg,afd,afd,True,3
9,a,../puck/data/images_copy/custom/michaels/short/A/custom_michaels_short_A_4.jpg,afd,afd,True,3
10,a,../puck/data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_4.jpg,afd,afd,True,3
11,a,../puck/data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_1.jpg,afd,afd,True,3
12,a,../puck/data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_0.jpg,afd,afd,True,3
13,a,../puck/data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_2.jpg,afd,afd,True,3
14,a,../puck/data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_3.jpg,afd,afd,True,3
15,a,../puck/data/images_copy/custom/davids/high/A/custom_davids_high_A_4.jpg,afd,afd,True,3
16,a,../puck/data/images_copy/custom/davids/high/A/custom_davids_high_A_2.jpg,afd,afd,True,3
17,a,../puck/data/images_copy/custom/davids/high/A/custom_davids_high_A_3.jpg,afd,afd,True,3
18,a,../puck/data/images_copy/custom/davids/high/A/custom_davids_high_A_1.jpg,afd,afd,True,3
19,a,../puck/data/images_copy/custom/davids/high/A/custom_davids_high_A_0.jpg,afd,afd,True,3
20,a,../puck/data/images_copy/custom/davids/short/A/custom_davids_short_A_4.jpg,abd,afd,False,2
21,a,../puck/data/images_copy/custom/davids/short/A/custom_davids_short_A_2.jpg,afd,afd,True,3
22,a,../puck/data/images_copy/custom/davids/short/A/custom_davids_short_A_3.jpg,ehd,afd,False,1
