,key,path,found_perm,true_perm,correct,overlap,luv_coords
0,a,../data/images_copy/custom/michaels/high/A/custom_michaels_high_A_3.jpg,afd,afd,True,3,"[array([ 77, 162, 157], dtype=uint8), array([ 86, 155, 131], dtype=uint8), array([89, 85, 53], dtype=uint8)]"
1,a,../data/images_copy/custom/michaels/high/A/custom_michaels_high_A_2.jpg,afd,afd,True,3,"[array([ 93, 166, 159], dtype=uint8), array([104, 161, 127], dtype=uint8), array([105,  82,  51], dtype=uint8)]"
2,a,../data/images_copy/custom/michaels/high/A/custom_michaels_high_A_0.jpg,afh,afd,False,2,"[array([108, 173, 160], dtype=uint8), array([134, 139, 121], dtype=uint8), array([148,  83,  54], dtype=uint8)]"
3,a,../data/images_copy/custom/michaels/high/A/custom_michaels_high_A_1.jpg,efd,afd,False,2,"[array([164, 131, 153], dtype=uint8), array([138, 146, 121], dtype=uint8), array([130,  82,  42], dtype=uint8)]"
4,a,../data/images_copy/custom/michaels/high/A/custom_michaels_high_A_4.jpg,afd,afd,True,3,"[array([ 75, 164, 156], dtype=uint8), array([ 77, 148, 130], dtype=uint8), array([84, 86, 53], dtype=uint8)]"
5,a,../data/images_copy/custom/michaels/short/A/custom_michaels_short_A_3.jpg,afd,afd,True,3,"[array([ 61, 143, 152], dtype=uint8), array([ 74, 149, 133], dtype=uint8), array([89, 85, 60], dtype=uint8)]"
6,a,../data/images_copy/custom/michaels/short/A/custom_michaels_short_A_2.jpg,abd,afd,False,2,"[array([ 64, 152, 154], dtype=uint8), array([ 68, 143, 133], dtype=uint8), array([72, 88, 67], dtype=uint8)]"
7,a,../data/images_copy/custom/michaels/short/A/custom_michaels_short_A_0.jpg,afd,afd,True,3,"[array([ 85, 155, 156], dtype=uint8), array([ 79, 146, 130], dtype=uint8), array([78, 87, 66], dtype=uint8)]"
8,a,../data/images_copy/custom/michaels/short/A/custom_michaels_short_A_1.jpg,afd,afd,True,3,"[array([ 77, 160, 157], dtype=uint8), array([ 86, 145, 127], dtype=uint8), array([83, 86, 63], dtype=uint8)]"
9,a,../data/images_copy/custom/michaels/short/A/custom_michaels_short_A_4.jpg,aad,afd,False,2,"[array([ 60, 148, 153], dtype=uint8), array([ 59, 142, 139], dtype=uint8), array([70, 88, 67], dtype=uint8)]"
10,a,../data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_4.jpg,afd,afd,True,3,"[array([104, 153, 155], dtype=uint8), array([ 97, 146, 124], dtype=uint8), array([101,  84,  65], dtype=uint8)]"
11,a,../data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_1.jpg,afd,afd,True,3,"[array([105, 154, 156], dtype=uint8), array([127, 142, 125], dtype=uint8), array([102,  84,  66], dtype=uint8)]"
12,a,../data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_0.jpg,afd,afd,True,3,"[array([ 85, 166, 158], dtype=uint8), array([ 94, 148, 125], dtype=uint8), array([82, 86, 63], dtype=uint8)]"
13,a,../data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_2.jpg,afd,afd,True,3,"[array([ 94, 169, 156], dtype=uint8), array([ 93, 148, 120], dtype=uint8), array([93, 85, 65], dtype=uint8)]"
14,a,../data/images_copy/custom/michaels/medium/A/custom_michaels_medium_A_3.jpg,afd,afd,True,3,"[array([ 69, 150, 154], dtype=uint8), array([ 96, 155, 127], dtype=uint8), array([115,  82,  60], dtype=uint8)]"
15,a,../data/images_copy/custom/davids/high/A/custom_davids_high_A_4.jpg,afd,afd,True,3,"[array([ 79, 163, 158], dtype=uint8), array([ 83, 154, 133], dtype=uint8), array([80, 87, 56], dtype=uint8)]"
16,a,../data/images_copy/custom/davids/high/A/custom_davids_high_A_2.jpg,afd,afd,True,3,"[array([ 79, 163, 158], dtype=uint8), array([ 83, 154, 133], dtype=uint8), array([80, 87, 56], dtype=uint8)]"
17,a,../data/images_copy/custom/davids/high/A/custom_davids_high_A_3.jpg,afd,afd,True,3,"[array([ 83, 161, 156], dtype=uint8), array([ 99, 157, 125], dtype=uint8), array([111,  82,  45], dtype=uint8)]"
18,a,../data/images_copy/custom/davids/high/A/custom_davids_high_A_1.jpg,afd,afd,True,3,"[array([ 83, 161, 156], dtype=uint8), array([ 99, 157, 125], dtype=uint8), array([111,  82,  45], dtype=uint8)]"
19,a,../data/images_copy/custom/davids/high/A/custom_davids_high_A_0.jpg,afd,afd,True,3,"[array([ 83, 161, 156], dtype=uint8), array([ 99, 157, 125], dtype=uint8), array([111,  82,  45], dtype=uint8)]"
20,a,../data/images_copy/custom/davids/short/A/custom_davids_short_A_4.jpg,afd,afd,True,3,"[array([ 88, 142, 148], dtype=uint8), array([ 99, 136, 118], dtype=uint8), array([111,  85,  62], dtype=uint8)]"
21,a,../data/images_copy/custom/davids/short/A/custom_davids_short_A_2.jpg,afd,afd,True,3,"[array([ 87, 145, 150], dtype=uint8), array([ 86, 147, 125], dtype=uint8), array([75, 88, 67], dtype=uint8)]"
22,a,../data/images_copy/custom/davids/short/A/custom_davids_short_A_3.jpg,ehh,afd,False,0,"[array([144, 136, 147], dtype=uint8), array([150, 128, 115], dtype=uint8), array([134,  83,  57], dtype=uint8)]"
23,a,../data/images_copy/custom/davids/short/A/custom_davids_short_A_1.jpg,afd,afd,True,3,"[array([ 61, 149, 153], dtype=uint8), array([ 87, 147, 126], dtype=uint8), array([110,  84,  59], dtype=uint8)]"
24,a,../data/images_copy/custom/davids/short/A/custom_davids_short_A_0.jpg,afd,afd,True,3,"[array([ 55, 142, 150], dtype=uint8), array([ 79, 146, 124], dtype=uint8), array([91, 85, 59], dtype=uint8)]"
25,a,../data/images_copy/custom/davids/medium/A/custom_davids_medium_A_2.jpg,efd,afd,False,2,"[array([133, 131, 146], dtype=uint8), array([ 92, 144, 122], dtype=uint8), array([86, 86, 63], dtype=uint8)]"
26,a,../data/images_copy/custom/davids/medium/A/custom_davids_medium_A_3.jpg,efd,afd,False,2,"[array([153, 133, 147], dtype=uint8), array([124, 139, 118], dtype=uint8), array([114,  83,  61], dtype=uint8)]"
27,a,../data/images_copy/custom/davids/medium/A/custom_davids_medium_A_1.jpg,afd,afd,True,3,"[array([ 70, 158, 155], dtype=uint8), array([ 75, 147, 130], dtype=uint8), array([74, 88, 60], dtype=uint8)]"
28,a,../data/images_copy/custom/davids/medium/A/custom_davids_medium_A_0.jpg,abd,afd,False,2,"[array([ 68, 158, 155], dtype=uint8), array([ 65, 141, 131], dtype=uint8), array([67, 89, 62], dtype=uint8)]"
29,a,../data/images_copy/custom/davids/medium/A/custom_davids_medium_A_4.jpg,ffh,afd,False,1,"[array([109, 147, 150], dtype=uint8), array([135, 133, 121], dtype=uint8), array([147,  85,  59], dtype=uint8)]"
30,a,../data/images_copy/custom/john_honey/high/A/custom_john_honey_high_A_3.jpg,afd,afd,True,3,"[array([ 83, 169, 159], dtype=uint8), array([100, 161, 130], dtype=uint8), array([117,  82,  61], dtype=uint8)]"
31,a,../data/images_copy/custom/john_honey/high/A/custom_john_honey_high_A_2.jpg,afd,afd,True,3,"[array([ 88, 174, 160], dtype=uint8), array([106, 168, 135], dtype=uint8), array([110,  83,  62], dtype=uint8)]"
32,a,../data/images_copy/custom/john_honey/high/A/custom_john_honey_high_A_0.jpg,afh,afd,False,2,"[array([ 99, 178, 161], dtype=uint8), array([102, 146, 125], dtype=uint8), array([117,  84,  74], dtype=uint8)]"
33,a,../data/images_copy/custom/john_honey/high/A/custom_john_honey_high_A_1.jpg,efh,afd,False,1,"[array([147, 134, 151], dtype=uint8), array([114, 152, 124], dtype=uint8), array([122,  84,  67], dtype=uint8)]"
34,a,../data/images_copy/custom/john_honey/high/A/custom_john_honey_high_A_4.jpg,afh,afd,False,2,"[array([ 83, 166, 159], dtype=uint8), array([ 90, 155, 132], dtype=uint8), array([118,  82,  69], dtype=uint8)]"
35,a,../data/images_copy/custom/john_honey/short/A/custom_john_honey_short_A_1.jpg,afd,afd,True,3,"[array([ 81, 151, 154], dtype=uint8), array([ 91, 157, 137], dtype=uint8), array([96, 85, 69], dtype=uint8)]"
36,a,../data/images_copy/custom/john_honey/short/A/custom_john_honey_short_A_0.jpg,afd,afd,True,3,"[array([ 85, 162, 158], dtype=uint8), array([ 96, 147, 129], dtype=uint8), array([84, 86, 76], dtype=uint8)]"
37,a,../data/images_copy/custom/john_honey/short/A/custom_john_honey_short_A_2.jpg,afd,afd,True,3,"[array([ 60, 150, 153], dtype=uint8), array([ 94, 161, 134], dtype=uint8), array([97, 85, 72], dtype=uint8)]"
38,a,../data/images_copy/custom/john_honey/short/A/custom_john_honey_short_A_3.jpg,aad,afd,False,2,"[array([ 74, 158, 157], dtype=uint8), array([ 85, 157, 140], dtype=uint8), array([74, 88, 79], dtype=uint8)]"
39,a,../data/images_copy/custom/john_honey/short/A/custom_john_honey_short_A_4.jpg,afd,afd,True,3,"[array([ 68, 154, 156], dtype=uint8), array([ 96, 158, 134], dtype=uint8), array([85, 86, 74], dtype=uint8)]"
40,a,../data/images_copy/custom/john_honey/medium/A/custom_john_honey_medium_A_4.jpg,afd,afd,True,3,"[array([ 85, 169, 159], dtype=uint8), array([ 93, 161, 136], dtype=uint8), array([87, 86, 78], dtype=uint8)]"
41,a,../data/images_copy/custom/john_honey/medium/A/custom_john_honey_medium_A_2.jpg,afd,afd,True,3,"[array([ 72, 157, 156], dtype=uint8), array([ 99, 164, 133], dtype=uint8), array([97, 85, 78], dtype=uint8)]"
42,a,../data/images_copy/custom/john_honey/medium/A/custom_john_honey_medium_A_3.jpg,afd,afd,True,3,"[array([ 85, 167, 159], dtype=uint8), array([ 93, 157, 133], dtype=uint8), array([94, 85, 79], dtype=uint8)]"
43,a,../data/images_copy/custom/john_honey/medium/A/custom_john_honey_medium_A_1.jpg,afd,afd,True,3,"[array([ 90, 172, 160], dtype=uint8), array([102, 161, 132], dtype=uint8), array([89, 85, 74], dtype=uint8)]"
44,a,../data/images_copy/custom/john_honey/medium/A/custom_john_honey_medium_A_0.jpg,afd,afd,True,3,"[array([ 91, 171, 160], dtype=uint8), array([102, 160, 133], dtype=uint8), array([90, 85, 74], dtype=uint8)]"
45,a,../data/images_copy/custom/jack_cole/high/A/custom_jack_cole_high_A_4.jpg,afd,afd,True,3,"[array([ 83, 161, 160], dtype=uint8), array([ 86, 149, 129], dtype=uint8), array([104,  83,  50], dtype=uint8)]"
46,a,../data/images_copy/custom/jack_cole/high/A/custom_jack_cole_high_A_1.jpg,afd,afd,True,3,"[array([ 83, 165, 159], dtype=uint8), array([ 85, 155, 133], dtype=uint8), array([92, 85, 57], dtype=uint8)]"
47,a,../data/images_copy/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg,afd,afd,True,3,"[array([ 77, 144, 156], dtype=uint8), array([ 89, 150, 130], dtype=uint8), array([87, 85, 60], dtype=uint8)]"
48,a,../data/images_copy/custom/jack_cole/high/A/custom_jack_cole_high_A_2.jpg,afd,afd,True,3,"[array([ 77, 160, 158], dtype=uint8), array([ 79, 149, 133], dtype=uint8), array([84, 86, 63], dtype=uint8)]"
49,a,../data/images_copy/custom/jack_cole/high/A/custom_jack_cole_high_A_3.jpg,afd,afd,True,3,"[array([ 79, 153, 155], dtype=uint8), array([ 86, 153, 133], dtype=uint8), array([79, 87, 66], dtype=uint8)]"
50,a,../data/images_copy/custom/jack_cole/short/A/custom_jack_cole_short_A_4.jpg,afd,afd,True,3,"[array([ 93, 141, 150], dtype=uint8), array([100, 134, 122], dtype=uint8), array([109,  83,  64], dtype=uint8)]"
51,a,../data/images_copy/custom/jack_cole/short/A/custom_jack_cole_short_A_1.jpg,afd,afd,True,3,"[array([ 80, 154, 157], dtype=uint8), array([ 80, 145, 131], dtype=uint8), array([111,  82,  66], dtype=uint8)]"
52,a,../data/images_copy/custom/jack_cole/short/A/custom_jack_cole_short_A_0.jpg,afd,afd,True,3,"[array([ 78, 146, 154], dtype=uint8), array([ 79, 148, 132], dtype=uint8), array([82, 86, 67], dtype=uint8)]"
53,a,../data/images_copy/custom/jack_cole/short/A/custom_jack_cole_short_A_2.jpg,afd,afd,True,3,"[array([ 81, 145, 154], dtype=uint8), array([108, 145, 127], dtype=uint8), array([109,  83,  72], dtype=uint8)]"
54,a,../data/images_copy/custom/jack_cole/short/A/custom_jack_cole_short_A_3.jpg,afd,afd,True,3,"[array([ 93, 148, 154], dtype=uint8), array([113, 139, 124], dtype=uint8), array([104,  83,  76], dtype=uint8)]"
55,a,../data/images_copy/custom/jack_cole/medium/A/custom_jack_cole_medium_A_3.jpg,afd,afd,True,3,"[array([ 62, 147, 152], dtype=uint8), array([ 85, 142, 125], dtype=uint8), array([101,  83,  60], dtype=uint8)]"
56,a,../data/images_copy/custom/jack_cole/medium/A/custom_jack_cole_medium_A_2.jpg,afd,afd,True,3,"[array([ 67, 143, 152], dtype=uint8), array([ 88, 148, 128], dtype=uint8), array([97, 84, 62], dtype=uint8)]"
57,a,../data/images_copy/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg,afd,afd,True,3,"[array([ 75, 151, 155], dtype=uint8), array([ 96, 139, 122], dtype=uint8), array([109,  83,  71], dtype=uint8)]"
58,a,../data/images_copy/custom/jack_cole/medium/A/custom_jack_cole_medium_A_1.jpg,afd,afd,True,3,"[array([ 82, 151, 155], dtype=uint8), array([ 97, 145, 125], dtype=uint8), array([96, 84, 65], dtype=uint8)]"
59,a,../data/images_copy/custom/jack_cole/medium/A/custom_jack_cole_medium_A_4.jpg,afd,afd,True,3,"[array([ 72, 152, 156], dtype=uint8), array([ 87, 146, 129], dtype=uint8), array([90, 85, 62], dtype=uint8)]"
60,b,../data/images_copy/custom/michaels/high/B/custom_michaels_high_B_2.jpg,ahc,ahc,True,3,"[array([ 82, 161, 158], dtype=uint8), array([146,  74, 103], dtype=uint8), array([116,  72, 147], dtype=uint8)]"
61,b,../data/images_copy/custom/michaels/high/B/custom_michaels_high_B_3.jpg,ehc,ahc,False,2,"[array([160, 139, 147], dtype=uint8), array([153,  75,  95], dtype=uint8), array([134,  73, 140], dtype=uint8)]"
62,b,../data/images_copy/custom/michaels/high/B/custom_michaels_high_B_1.jpg,ahc,ahc,True,3,"[array([ 77, 161, 157], dtype=uint8), array([143,  72, 103], dtype=uint8), array([125,  71, 143], dtype=uint8)]"
63,b,../data/images_copy/custom/michaels/high/B/custom_michaels_high_B_0.jpg,ahc,ahc,True,3,"[array([ 89, 167, 158], dtype=uint8), array([157,  73,  98], dtype=uint8), array([132,  70, 146], dtype=uint8)]"
