,key,path,found_perm,true_perm,correct,overlap,luv_coords
0,a,../puck/data/images_copy/dark/michaels/high/A/dark_michaels_high_A_1.jpg,afd,afd,True,3,"[array([111,  81,  38], dtype=uint8), array([124, 106, 170], dtype=uint8), array([ 83, 162, 157], dtype=uint8)]"
1,a,../puck/data/images_copy/dark/michaels/high/A/dark_michaels_high_A_0.jpg,afd,afd,True,3,"[array([108,  81,  51], dtype=uint8), array([113, 107, 171], dtype=uint8), array([ 69, 157, 155], dtype=uint8)]"
2,a,../puck/data/images_copy/dark/michaels/high/A/dark_michaels_high_A_2.jpg,ahd,afd,False,2,"[array([99, 83, 46], dtype=uint8), array([109, 110, 170], dtype=uint8), array([ 69, 158, 155], dtype=uint8)]"
3,a,../puck/data/images_copy/dark/michaels/high/A/dark_michaels_high_A_3.jpg,afd,afd,True,3,"[array([114,  81,  39], dtype=uint8), array([127, 109, 170], dtype=uint8), array([107, 152, 150], dtype=uint8)]"
4,a,../puck/data/images_copy/dark/michaels/high/A/dark_michaels_high_A_4.jpg,afd,afd,True,3,"[array([98, 83, 54], dtype=uint8), array([114, 106, 171], dtype=uint8), array([ 82, 159, 156], dtype=uint8)]"
5,a,../puck/data/images_copy/dark/michaels/short/A/dark_michaels_short_A_4.jpg,afb,afd,False,2,"[array([109,  82,  51], dtype=uint8), array([118, 106, 167], dtype=uint8), array([ 56, 148, 151], dtype=uint8)]"
6,a,../puck/data/images_copy/dark/michaels/short/A/dark_michaels_short_A_3.jpg,afb,afd,False,2,"[array([103,  82,  61], dtype=uint8), array([121, 106, 170], dtype=uint8), array([ 56, 149, 152], dtype=uint8)]"
7,a,../puck/data/images_copy/dark/michaels/short/A/dark_michaels_short_A_2.jpg,afb,afd,False,2,"[array([103,  83,  56], dtype=uint8), array([119, 109, 168], dtype=uint8), array([ 52, 146, 151], dtype=uint8)]"
8,a,../puck/data/images_copy/dark/michaels/short/A/dark_michaels_short_A_0.jpg,afd,afd,True,3,"[array([104,  82,  58], dtype=uint8), array([111, 108, 173], dtype=uint8), array([ 65, 157, 154], dtype=uint8)]"
9,a,../puck/data/images_copy/dark/michaels/short/A/dark_michaels_short_A_1.jpg,afb,afd,False,2,"[array([116,  81,  51], dtype=uint8), array([126, 110, 167], dtype=uint8), array([ 56, 148, 152], dtype=uint8)]"
