,0,1,,,"(11, 350, np.float64(0.8))","(11, 350, np.float64(0.8))"
0,,"(11, 300, np.float64(0.8))",,,"(11, 360, np.float64(0.8))","(11, 360, np.float64(0.8))"
1,,"(11, 310, np.float64(0.8))",,,"(11, 370, np.float64(0.8))","(11, 370, np.float64(0.8))"
2,,"(11, 320, np.float64(0.8))",,,"(11, 380, np.float64(0.8))","(11, 380, np.float64(0.8))"
3,,"(11, 330, np.float64(0.8))",,,"(11, 390, np.float64(0.8))","(11, 390, np.float64(0.8))"
4,,"(11, 340, np.float64(0.8))",,,"(11, 400, np.float64(0.8))","(11, 400, np.float64(0.8))"
5,,"(11, 350, np.float64(0.8))",,,"(5, 350, np.float64(0.8))","(5, 350, np.float64(0.8))"
6,,"(11, 360, np.float64(0.8))",,,"(5, 360, np.float64(0.8))","(5, 360, np.float64(0.8))"
7,,"(11, 370, np.float64(0.8))",,,"(5, 370, np.float64(0.8))","(5, 370, np.float64(0.8))"
8,,"(11, 380, np.float64(0.8))",,,"(5, 380, np.float64(0.7000000000000001))","(5, 380, np.float64(0.7000000000000001))"
9,,"(11, 390, np.float64(0.8))",,,"(5, 380, np.float64(0.8))","(5, 380, np.float64(0.8))"
10,,"(11, 400, np.float64(0.8))",,,"(5, 390, np.float64(0.7000000000000001))","(5, 390, np.float64(0.7000000000000001))"
11,,"(5, 340, np.float64(0.7000000000000001))",,,"(5, 390, np.float64(0.8))","(5, 390, np.float64(0.8))"
12,,"(5, 340, np.float64(0.8))",,,"(5, 400, np.float64(0.7000000000000001))","(5, 400, np.float64(0.7000000000000001))"
13,,"(5, 350, np.float64(0.7000000000000001))",,,"(5, 400, np.float64(0.8))","(5, 400, np.float64(0.8))"
14,,"(5, 350, np.float64(0.8))",,,"(7, 300, np.float64(0.8))","(7, 300, np.float64(0.8))"
15,,"(5, 360, np.float64(0.7000000000000001))",,,"(7, 310, np.float64(0.8))","(7, 310, np.float64(0.8))"
16,"(11, 350, np.float64(0.8))","(5, 360, np.float64(0.8))",,,"(7, 320, np.float64(0.8))","(7, 320, np.float64(0.8))"
17,"(11, 360, np.float64(0.8))","(5, 370, np.float64(0.7000000000000001))",,,"(7, 330, np.float64(0.8))","(7, 330, np.float64(0.8))"
18,"(11, 370, np.float64(0.8))","(5, 370, np.float64(0.8))",,,"(7, 340, np.float64(0.8))","(7, 340, np.float64(0.8))"
19,"(11, 380, np.float64(0.8))","(5, 380, np.float64(0.7000000000000001))",,,"(7, 350, np.float64(0.8))","(7, 350, np.float64(0.8))"
20,"(11, 390, np.float64(0.8))","(5, 380, np.float64(0.8))",,,"(7, 360, np.float64(0.8))","(7, 360, np.float64(0.8))"
21,"(11, 400, np.float64(0.8))","(5, 390, np.float64(0.7000000000000001))",,,"(7, 370, np.float64(0.8))","(7, 370, np.float64(0.8))"
22,"(5, 300, np.float64(0.8))","(5, 390, np.float64(0.8))",,,"(7, 380, np.float64(0.8))","(7, 380, np.float64(0.8))"
23,"(5, 310, np.float64(0.8))","(5, 400, np.float64(0.7000000000000001))",,,"(7, 390, np.float64(0.8))","(7, 390, np.float64(0.8))"
24,"(5, 320, np.float64(0.8))","(5, 400, np.float64(0.8))",,,"(7, 400, np.float64(0.8))","(7, 400, np.float64(0.8))"
25,"(5, 330, np.float64(0.8))","(7, 300, np.float64(0.8))",,,"(9, 300, np.float64(0.8))","(9, 300, np.float64(0.8))"
26,"(5, 340, np.float64(0.8))","(7, 310, np.float64(0.8))",,,"(9, 310, np.float64(0.8))","(9, 310, np.float64(0.8))"
27,"(5, 350, np.float64(0.8))","(7, 320, np.float64(0.8))",,,"(9, 320, np.float64(0.8))","(9, 320, np.float64(0.8))"
28,"(5, 360, np.float64(0.8))","(7, 330, np.float64(0.8))",,,"(9, 330, np.float64(0.8))","(9, 330, np.float64(0.8))"
