,0,1,2,3
"(1, 300, np.float64(0.1), 120)",0.0,0.5270833333333333,58345852.62291667,57245002.0
"(1, 300, np.float64(0.1), 130)",0.0,0.61875,67123471.68333334,66000430.0
"(1, 300, np.float64(0.1), 140)",0.0,0.6854166666666667,61205053.81041667,59728671.5
"(1, 300, np.float64(0.1), 150)",0.0,0.73125,50604863.69583333,48218037.0
"(1, 300, np.float64(0.1), 160)",0.0,0.775,38926859.795833334,38053143.0
"(1, 300, np.float64(0.1), 170)",0.0,0.80625,33815744.06666667,32964554.5
"(1, 300, np.float64(0.1), 180)",0.0,0.8020833333333334,31989063.889583334,31301282.0
"(1, 300, np.float64(0.1), 190)",0.0,0.4895833333333333,27156002.375,24883440.0
"(1, 300, np.float64(0.1), 200)",0.0,0.15,22526159.94375,20291595.0
"(1, 300, np.float64(0.1), 210)",0.0,0.035416666666666666,19348424.764583334,17674521.0
"(1, 300, np.float64(0.2), 120)",0.0,0.5270833333333333,58768534.39791667,59248014.5
"(1, 300, np.float64(0.2), 130)",0.0,0.61875,63662842.53541667,63276893.0
"(1, 300, np.float64(0.2), 140)",0.0,0.6854166666666667,60333218.15833333,58966091.0
"(1, 300, np.float64(0.2), 150)",0.0,0.73125,50442209.87916667,49729575.0
"(1, 300, np.float64(0.2), 160)",0.0,0.775,39511709.072916664,38432150.5
"(1, 300, np.float64(0.2), 170)",0.0,0.80625,31158796.335416667,29868211.0
"(1, 300, np.float64(0.2), 180)",0.0,0.8020833333333334,30488412.535416666,28821626.0
"(1, 300, np.float64(0.2), 190)",0.0,0.4895833333333333,27919575.435416665,25863727.5
"(1, 300, np.float64(0.2), 200)",0.0,0.15,22995064.5875,21094469.5
"(1, 300, np.float64(0.2), 210)",0.0,0.035416666666666666,18886290.0625,17056877.5
"(1, 300, np.float64(0.30000000000000004), 120)",0.0,0.5270833333333333,56817258.891666666,56044334.5
"(1, 300, np.float64(0.30000000000000004), 130)",0.0,0.61875,65816419.764583334,64841066.5
"(1, 300, np.float64(0.30000000000000004), 140)",0.0,0.6854166666666667,62006710.327083334,60852763.5
"(1, 300, np.float64(0.30000000000000004), 150)",0.0,0.73125,50127881.139583334,48571887.0
"(1, 300, np.float64(0.30000000000000004), 160)",0.0,0.775,39514303.025,38320048.5
"(1, 300, np.float64(0.30000000000000004), 170)",0.0,0.8041666666666667,32874477.020833332,32185598.0
"(1, 300, np.float64(0.30000000000000004), 180)",0.0,0.8020833333333334,30594296.983333334,29094827.5
"(1, 300, np.float64(0.30000000000000004), 190)",0.0,0.4895833333333333,29556361.33125,27033950.0
"(1, 300, np.float64(0.30000000000000004), 200)",0.0,0.15,23358838.252083335,21557695.5
"(1, 300, np.float64(0.30000000000000004), 210)",0.0,0.035416666666666666,18156969.139583334,16446398.5
"(1, 300, np.float64(0.4), 120)",0.0,0.5270833333333333,57516095.635416664,57147550.5
"(1, 300, np.float64(0.4), 130)",0.0,0.61875,64598034.69166667,63507166.5
"(1, 300, np.float64(0.4), 140)",0.0,0.6854166666666667,61858075.51875,61432181.5
"(1, 300, np.float64(0.4), 150)",0.0,0.73125,49403799.770833336,48058980.0
"(1, 300, np.float64(0.4), 160)",0.0,0.775,39069976.2,37957945.5
"(1, 300, np.float64(0.4), 170)",0.0,0.8,32356277.591666665,31405354.0
"(1, 300, np.float64(0.4), 180)",0.0,0.8020833333333334,30373494.88125,29137062.0
"(1, 300, np.float64(0.4), 190)",0.0,0.4895833333333333,26672330.214583334,24356666.5
"(1, 300, np.float64(0.4), 200)",0.0,0.15,24041403.114583332,22058533.0
"(1, 300, np.float64(0.4), 210)",0.0,0.035416666666666666,18348377.80625,16483417.0
"(1, 300, np.float64(0.5), 120)",0.0,0.5270833333333333,56788135.2625,55531531.0
"(1, 300, np.float64(0.5), 130)",0.0,0.61875,64534741.485416666,64064101.5
"(1, 300, np.float64(0.5), 140)",0.0,0.6854166666666667,58788165.96875,58235170.5
"(1, 300, np.float64(0.5), 150)",0.0,0.73125,49440937.24375,48486143.0
"(1, 300, np.float64(0.5), 160)",0.0,0.775,39807021.59166667,38456067.0
"(1, 300, np.float64(0.5), 170)",0.0,0.7979166666666667,33045406.94375,32498799.5
"(1, 300, np.float64(0.5), 180)",0.0,0.8,32347295.829166666,30895320.0
"(1, 300, np.float64(0.5), 190)",0.0,0.4895833333333333,27013819.55625,24900320.5
"(1, 300, np.float64(0.5), 200)",0.0,0.15,23427190.841666665,21525222.5
"(1, 300, np.float64(0.5), 210)",0.0,0.035416666666666666,19406525.3,17664452.5
"(1, 300, np.float64(0.6), 120)",0.0,0.53125,56070770.65416667,54303935.0
"(1, 300, np.float64(0.6), 130)",0.0,0.6229166666666667,65212842.03541667,64527076.0
"(1, 300, np.float64(0.6), 140)",0.0,0.6854166666666667,60199156.422916666,59569280.0
"(1, 300, np.float64(0.6), 150)",0.0,0.7333333333333333,52159667.03958333,51360745.5
"(1, 300, np.float64(0.6), 160)",0.0,0.775,39693861.666666664,38887717.0
"(1, 300, np.float64(0.6), 170)",0.0,0.7979166666666667,32553501.125,32038190.0
"(1, 300, np.float64(0.6), 180)",0.0,0.8,30271472.522916667,28925743.0
"(1, 300, np.float64(0.6), 190)",0.0,0.4895833333333333,27665812.214583334,25527883.5
"(1, 300, np.float64(0.6), 200)",0.0,0.15208333333333332,22109311.30625,20181846.5
"(1, 300, np.float64(0.6), 210)",0.0,0.035416666666666666,17794966.38125,16000694.0
"(1, 300, np.float64(0.7000000000000001), 120)",0.0,0.5395833333333333,57059929.16041667,55519434.5
"(1, 300, np.float64(0.7000000000000001), 130)",0.0,0.6375,63200375.59375,62232941.0
"(1, 300, np.float64(0.7000000000000001), 140)",0.0,0.7020833333333333,58365953.5,57519800.0
"(1, 300, np.float64(0.7000000000000001), 150)",0.0,0.7479166666666667,50554131.33125,49546154.0
"(1, 300, np.float64(0.7000000000000001), 160)",0.0,0.7875,38972978.68333333,37849120.0
"(1, 300, np.float64(0.7000000000000001), 170)",0.0,0.8083333333333333,31848170.866666667,30994634.5
"(1, 300, np.float64(0.7000000000000001), 180)",0.0,0.8020833333333334,30638005.154166665,29686151.5
"(1, 300, np.float64(0.7000000000000001), 190)",0.0,0.49375,29065320.879166666,27107367.0
"(1, 300, np.float64(0.7000000000000001), 200)",0.0,0.16041666666666668,23523620.429166667,21637712.0
"(1, 300, np.float64(0.7000000000000001), 210)",0.0,0.0375,18753641.76875,17219717.5
"(1, 300, np.float64(0.8), 120)",0.0,0.5416666666666666,56523878.5625,54716815.0
"(1, 300, np.float64(0.8), 130)",0.0,0.6541666666666667,64223904.479166664,63547583.0
"(1, 300, np.float64(0.8), 140)",0.0,0.7208333333333333,60586124.360416666,60002712.5
"(1, 300, np.float64(0.8), 150)",0.0,0.7666666666666667,49485226.6625,48413157.0
"(1, 300, np.float64(0.8), 160)",0.0,0.8083333333333333,39404094.00416667,38790578.0
"(1, 300, np.float64(0.8), 170)",0.0,0.85,32607956.952083334,31910760.0
