,0,1,2,3
"(7, 390, np.float64(0.8))",3,0.23125,107933426.5,107443785.5
"(7, 400, np.float64(0.8))",3,0.23125,109208285.1,108745290.5
"(9, 370, np.float64(0.8))",3,0.23125,113559824.7,113047865
"(9, 380, np.float64(0.8))",3,0.23125,113556334,112824640
"(9, 390, np.float64(0.8))",3,0.23125,113588658.9,113390928
"(9, 400, np.float64(0.8))",3,0.23125,114663294.2,114630436.5
"(7, 380, np.float64(0.8))",3,0.229166667,108879539.5,108486558
"(9, 360, np.float64(0.8))",3,0.229166667,112816240.4,112362381.5
"(11, 320, np.float64(0.8))",3,0.227083333,90738396.99,90679023.5
"(11, 330, np.float64(0.8))",3,0.227083333,91808206.17,91473750
"(11, 340, np.float64(0.8))",3,0.227083333,91167242.9,91395407
"(11, 350, np.float64(0.8))",3,0.227083333,91035144.75,90952670
"(11, 360, np.float64(0.8))",3,0.227083333,91938359.97,91944111.5
"(11, 370, np.float64(0.8))",3,0.227083333,91769476.05,91359606
"(11, 380, np.float64(0.8))",3,0.227083333,91326299.29,91051708
"(11, 390, np.float64(0.8))",3,0.227083333,91267273.18,90602569.5
"(11, 400, np.float64(0.8))",3,0.227083333,82370952.69,82051886
"(7, 320, np.float64(0.8))",3,0.225,109964581.6,109382121
"(7, 330, np.float64(0.8))",3,0.225,109334129,109560790
"(7, 340, np.float64(0.8))",3,0.225,109064777.7,108577546
"(7, 350, np.float64(0.8))",3,0.225,109096631.3,108618027.5
"(7, 360, np.float64(0.8))",3,0.225,107659232.6,107445235.5
"(7, 370, np.float64(0.8))",3,0.225,107649006.2,107314668
"(9, 320, np.float64(0.8))",3,0.225,114109426.7,113543309.5
"(9, 330, np.float64(0.8))",3,0.225,113702959,113376167.5
"(9, 340, np.float64(0.8))",3,0.225,112839553.2,111946738.5
"(9, 350, np.float64(0.8))",3,0.225,113044109.4,112803927
"(7, 300, np.float64(0.8))",3,0.222916667,109012279.7,108440295
