,0,1,2,3
"(9, 400, np.float64(0.8))",3,0.35625,114017313.5,113759764.5
"(7, 390, np.float64(0.8))",3,0.354166667,109749304.9,109367726.5
"(7, 400, np.float64(0.8))",3,0.354166667,109646403,109472264
"(9, 380, np.float64(0.8))",3,0.354166667,115102325.6,114712632.5
"(9, 390, np.float64(0.8))",3,0.354166667,114880417.5,114558101
"(9, 370, np.float64(0.8))",3,0.352083333,115342636.2,115078272.5
"(7, 380, np.float64(0.8))",3,0.35,109947271.7,109725756.5
"(7, 370, np.float64(0.8))",3,0.347916667,108907612.6,108881867.5
"(9, 360, np.float64(0.8))",3,0.347916667,115208095.4,114669280
"(5, 390, np.float64(0.8))",3,0.345833333,35846252.48,35440925.5
"(5, 400, np.float64(0.8))",3,0.345833333,32879375.6,31648960
"(7, 360, np.float64(0.8))",3,0.341666667,110134717.3,109679086
"(9, 340, np.float64(0.8))",3,0.341666667,115227000.5,115079012
"(9, 350, np.float64(0.8))",3,0.341666667,114970154.3,114604809.5
"(11, 390, np.float64(0.8))",3,0.341666667,94607633.94,94612971
"(11, 400, np.float64(0.8))",3,0.341666667,86359737.26,85884456.5
"(5, 380, np.float64(0.8))",3,0.339583333,37115044.83,36658394
"(7, 350, np.float64(0.8))",3,0.339583333,110267330.4,109934935
"(11, 380, np.float64(0.8))",3,0.339583333,94588599.59,94392892.5
"(5, 370, np.float64(0.8))",3,0.3375,37555280,37655000
"(7, 310, np.float64(0.8))",3,0.3375,109625224.9,108996788
"(7, 320, np.float64(0.8))",3,0.3375,109832072,109416521.5
"(7, 330, np.float64(0.8))",3,0.3375,109929617.2,109441035.5
"(7, 340, np.float64(0.8))",3,0.3375,108720808.6,108375523.5
"(9, 330, np.float64(0.8))",3,0.3375,115301069.7,114895743
"(11, 370, np.float64(0.8))",3,0.3375,94262210.42,94247703.5
"(9, 300, np.float64(0.8))",3,0.335416667,115045883,114925246.5
"(9, 310, np.float64(0.8))",3,0.335416667,115039713.1,114868117
"(9, 320, np.float64(0.8))",3,0.335416667,115426526.4,114954897.5
"(1, 400, np.float64(0.7000000000000001))",3,0.333333333,39726076.32,38703427
"(5, 320, np.float64(0.8))",3,0.333333333,37096927.84,36319362.5
"(5, 330, np.float64(0.8))",3,0.333333333,37277041.35,36741776
"(5, 340, np.float64(0.8))",3,0.333333333,35827325.28,35586104
"(5, 350, np.float64(0.8))",3,0.333333333,38366239.69,37694397.5
"(5, 360, np.float64(0.8))",3,0.333333333,37423562.49,37171450
"(5, 400, np.float64(0.7000000000000001))",3,0.333333333,33353124.96,32273786
"(7, 300, np.float64(0.8))",3,0.333333333,110242907.6,110007721.5
"(11, 360, np.float64(0.8))",3,0.333333333,94513953.96,94288766
"(1, 370, np.float64(0.7000000000000001))",3,0.33125,40227198.2,39548923
"(1, 380, np.float64(0.7000000000000001))",3,0.33125,40412659.66,39288265.5
"(1, 390, np.float64(0.7000000000000001))",3,0.33125,39743029.59,39118580
"(5, 300, np.float64(0.8))",3,0.33125,36925005.94,36449397
"(5, 310, np.float64(0.8))",3,0.33125,37235370.84,36880781.5
"(5, 390, np.float64(0.7000000000000001))",3,0.33125,37311740.7,36829042.5
"(11, 350, np.float64(0.8))",3,0.33125,94467370.28,94305545
"(1, 360, np.float64(0.7000000000000001))",3,0.329166667,37946438.93,36911976
