,palette,loc,height,set,blobCount,closeEnough,count4,closeCount4,time,points,path
0,custom,davids,high,A,4,False,True,False,119011125,"[0.0, 1.0, 1.0, 885.641010793877]",custom_davids_high_A_0.jpg
1,custom,davids,high,A,3,False,False,False,116196209,"[1.0, 2.23606797749979, 906.5208216031224]",custom_davids_high_A_1.jpg
2,custom,davids,high,A,4,False,True,False,113600542,"[1.0, 1.4142135623730951, 1.4142135623730951, 762.1679604916491]",custom_davids_high_A_2.jpg
3,custom,davids,high,A,3,True,False,False,117186333,"[1.0, 1.0, 2.23606797749979]",custom_davids_high_A_3.jpg
4,custom,davids,high,A,3,True,False,False,114268875,"[1.4142135623730951, 2.0, 2.0]",custom_davids_high_A_4.jpg
5,custom,davids,high,B,3,True,False,False,120385708,"[1.0, 2.23606797749979, 2.23606797749979]",custom_davids_high_B_0.jpg
6,custom,davids,high,B,1,True,False,False,116825542,[1.0],custom_davids_high_B_1.jpg
7,custom,davids,high,B,2,True,False,False,119003625,"[1.0, 2.8284271247461903]",custom_davids_high_B_2.jpg
8,custom,davids,high,B,2,True,False,False,119557750,"[1.0, 2.23606797749979]",custom_davids_high_B_3.jpg
9,custom,davids,high,B,3,True,False,False,110366041,"[1.0, 1.0, 2.23606797749979]",custom_davids_high_B_4.jpg
10,custom,davids,high,C,4,True,True,True,113134291,"[0.0, 1.4142135623730951, 2.8284271247461903, 3.1622776601683795]",custom_davids_high_C_0.jpg
11,custom,davids,high,C,4,True,True,True,117944792,"[0.0, 1.0, 2.8284271247461903, 4.47213595499958]",custom_davids_high_C_1.jpg
12,custom,davids,high,C,4,True,True,True,119111333,"[0.0, 0.0, 1.0, 1.0]",custom_davids_high_C_2.jpg
13,custom,davids,high,C,4,True,True,True,115205042,"[1.0, 1.0, 1.4142135623730951, 2.0]",custom_davids_high_C_3.jpg
14,custom,davids,high,C,4,True,True,True,109702709,"[1.4142135623730951, 2.0, 2.8284271247461903, 2.8284271247461903]",custom_davids_high_C_4.jpg
15,custom,davids,high,D,4,True,True,True,113864958,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]",custom_davids_high_D_0.jpg
16,custom,davids,high,D,1,True,False,False,119057666,[1.0],custom_davids_high_D_1.jpg
17,custom,davids,high,D,1,True,False,False,120496000,[1.0],custom_davids_high_D_2.jpg
18,custom,davids,high,D,4,True,True,True,120805333,"[0.0, 1.0, 1.0, 1.4142135623730951]",custom_davids_high_D_3.jpg
19,custom,davids,high,D,4,True,True,True,110040416,"[1.0, 1.0, 2.0, 2.23606797749979]",custom_davids_high_D_4.jpg
20,custom,davids,medium,A,3,True,False,False,113829208,"[1.0, 1.0, 1.0]",custom_davids_medium_A_0.jpg
21,custom,davids,medium,A,3,True,False,False,115094834,"[1.0, 2.0, 2.0]",custom_davids_medium_A_1.jpg
22,custom,davids,medium,A,3,True,False,False,114480792,"[1.4142135623730951, 2.23606797749979, 4.47213595499958]",custom_davids_medium_A_2.jpg
23,custom,davids,medium,A,1,True,False,False,118256750,[1.4142135623730951],custom_davids_medium_A_3.jpg
24,custom,davids,medium,A,2,True,False,False,111661125,"[0.0, 2.0]",custom_davids_medium_A_4.jpg
25,custom,davids,medium,B,3,True,False,False,113893083,"[0.0, 0.0, 1.4142135623730951]",custom_davids_medium_B_0.jpg
26,custom,davids,medium,B,2,True,False,False,119100917,"[0.0, 2.23606797749979]",custom_davids_medium_B_1.jpg
27,custom,davids,medium,B,2,True,False,False,120129208,"[0.0, 1.0]",custom_davids_medium_B_2.jpg
28,custom,davids,medium,B,2,True,False,False,120825333,"[0.0, 1.4142135623730951]",custom_davids_medium_B_3.jpg
29,custom,davids,medium,B,3,True,False,False,111933208,"[0.0, 1.0, 1.0]",custom_davids_medium_B_4.jpg
30,custom,davids,medium,C,4,True,True,True,119399583,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]",custom_davids_medium_C_0.jpg
31,custom,davids,medium,C,4,True,True,True,113253542,"[0.0, 1.0, 1.4142135623730951, 2.23606797749979]",custom_davids_medium_C_1.jpg
32,custom,davids,medium,C,4,False,True,False,114331875,"[0.0, 0.0, 1.0, 5.0990195135927845]",custom_davids_medium_C_2.jpg
33,custom,davids,medium,C,3,True,False,False,112576834,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951]",custom_davids_medium_C_3.jpg
34,custom,davids,medium,C,3,True,False,False,112033750,"[1.4142135623730951, 1.4142135623730951, 2.0]",custom_davids_medium_C_4.jpg
35,custom,davids,medium,D,3,True,False,False,113486667,"[1.4142135623730951, 1.4142135623730951, 2.23606797749979]",custom_davids_medium_D_0.jpg
36,custom,davids,medium,D,3,True,False,False,113767500,"[1.0, 2.23606797749979, 2.23606797749979]",custom_davids_medium_D_1.jpg
37,custom,davids,medium,D,4,True,True,True,115780833,"[1.0, 1.0, 1.4142135623730951, 3.0]",custom_davids_medium_D_2.jpg
38,custom,davids,medium,D,4,True,True,True,119926459,"[1.0, 1.0, 1.0, 2.23606797749979]",custom_davids_medium_D_3.jpg
39,custom,davids,medium,D,4,True,True,True,112034583,"[0.0, 1.0, 1.0, 1.0]",custom_davids_medium_D_4.jpg
40,custom,davids,short,A,3,True,False,False,114615292,"[1.0, 2.23606797749979, 2.23606797749979]",custom_davids_short_A_0.jpg
41,custom,davids,short,A,3,True,False,False,114792833,"[1.0, 1.0, 2.23606797749979]",custom_davids_short_A_1.jpg
42,custom,davids,short,A,3,True,False,False,117562084,"[1.0, 1.0, 3.1622776601683795]",custom_davids_short_A_2.jpg
43,custom,davids,short,A,2,True,False,False,117784041,"[0.0, 1.0]",custom_davids_short_A_3.jpg
44,custom,davids,short,A,3,True,False,False,111469166,"[1.0, 1.4142135623730951, 2.8284271247461903]",custom_davids_short_A_4.jpg
45,custom,davids,short,B,3,False,False,False,122403208,"[1.0, 1.4142135623730951, 356.6791275081849]",custom_davids_short_B_0.jpg
46,custom,davids,short,B,2,True,False,False,125965334,"[0.0, 1.0]",custom_davids_short_B_1.jpg
47,custom,davids,short,B,2,True,False,False,123811000,"[1.0, 1.0]",custom_davids_short_B_2.jpg
48,custom,davids,short,B,2,True,False,False,116513458,"[1.0, 1.4142135623730951]",custom_davids_short_B_3.jpg
49,custom,davids,short,B,3,True,False,False,111897833,"[1.0, 1.0, 2.0]",custom_davids_short_B_4.jpg
50,custom,davids,short,C,3,True,False,False,117570500,"[0.0, 1.0, 3.1622776601683795]",custom_davids_short_C_0.jpg
51,custom,davids,short,C,3,False,False,False,115896250,"[0.0, 2.0, 6.0]",custom_davids_short_C_1.jpg
52,custom,davids,short,C,6,False,False,False,117831250,"[1.0, 2.0, 3.0, 5.0990195135927845, 315.3696244092002, 343.4020966738555]",custom_davids_short_C_2.jpg
53,custom,davids,short,C,3,False,False,False,121076208,"[1.4142135623730951, 3.605551275463989, 5.385164807134504]",custom_davids_short_C_3.jpg
54,custom,davids,short,C,4,True,True,True,114397709,"[0.0, 1.0, 2.23606797749979, 3.1622776601683795]",custom_davids_short_C_4.jpg
55,custom,davids,short,D,3,True,False,False,115455041,"[0.0, 1.0, 1.4142135623730951]",custom_davids_short_D_0.jpg
56,custom,davids,short,D,3,True,False,False,122220042,"[0.0, 1.0, 2.23606797749979]",custom_davids_short_D_1.jpg
57,custom,davids,short,D,3,True,False,False,118500584,"[0.0, 0.0, 1.0]",custom_davids_short_D_2.jpg
58,custom,davids,short,D,3,True,False,False,117301583,"[1.0, 2.0, 2.23606797749979]",custom_davids_short_D_3.jpg
59,custom,davids,short,D,3,True,False,False,112873166,"[1.0, 1.0, 1.0]",custom_davids_short_D_4.jpg
60,custom,jack_cole,high,A,2,True,False,False,113652167,"[1.4142135623730951, 2.0]",custom_jack_cole_high_A_0.jpg
61,custom,jack_cole,high,A,3,False,False,False,113880667,"[0.0, 1.0, 5.0]",custom_jack_cole_high_A_1.jpg
62,custom,jack_cole,high,A,3,True,False,False,114601792,"[1.4142135623730951, 2.0, 2.0]",custom_jack_cole_high_A_2.jpg
63,custom,jack_cole,high,A,2,True,False,False,112225542,"[1.0, 2.0]",custom_jack_cole_high_A_3.jpg
64,custom,jack_cole,high,A,2,True,False,False,109960791,"[1.0, 2.23606797749979]",custom_jack_cole_high_A_4.jpg
65,custom,jack_cole,high,B,2,True,False,False,110776833,"[1.0, 2.8284271247461903]",custom_jack_cole_high_B_0.jpg
66,custom,jack_cole,high,B,2,True,False,False,112889250,"[1.0, 2.23606797749979]",custom_jack_cole_high_B_1.jpg
67,custom,jack_cole,high,B,2,True,False,False,113187542,"[1.0, 1.4142135623730951]",custom_jack_cole_high_B_2.jpg
68,custom,jack_cole,high,B,2,True,False,False,113665792,"[0.0, 1.4142135623730951]",custom_jack_cole_high_B_3.jpg
69,custom,jack_cole,high,B,2,True,False,False,142477750,"[1.0, 1.0]",custom_jack_cole_high_B_4.jpg
70,custom,jack_cole,high,C,2,False,False,False,111555583,"[3.605551275463989, 5.385164807134504]",custom_jack_cole_high_C_0.jpg
71,custom,jack_cole,high,C,2,True,False,False,111826917,"[1.0, 3.0]",custom_jack_cole_high_C_1.jpg
72,custom,jack_cole,high,C,2,True,False,False,112745500,"[2.23606797749979, 4.123105625617661]",custom_jack_cole_high_C_2.jpg
73,custom,jack_cole,high,C,2,True,False,False,113583792,"[2.23606797749979, 2.23606797749979]",custom_jack_cole_high_C_3.jpg
74,custom,jack_cole,high,C,2,True,False,False,111535583,"[1.4142135623730951, 3.1622776601683795]",custom_jack_cole_high_C_4.jpg
75,custom,jack_cole,high,D,0,True,False,False,110907583,[],custom_jack_cole_high_D_0.jpg
76,custom,jack_cole,high,D,1,True,False,False,110138583,[1.0],custom_jack_cole_high_D_1.jpg
77,custom,jack_cole,high,D,0,True,False,False,113016625,[],custom_jack_cole_high_D_2.jpg
78,custom,jack_cole,high,D,1,True,False,False,112588625,[1.4142135623730951],custom_jack_cole_high_D_3.jpg
79,custom,jack_cole,high,D,2,False,False,False,110005458,"[2.0, 5.0]",custom_jack_cole_high_D_4.jpg
80,custom,jack_cole,medium,A,2,True,False,False,112796625,"[1.0, 2.0]",custom_jack_cole_medium_A_0.jpg
81,custom,jack_cole,medium,A,2,True,False,False,113262083,"[2.0, 3.605551275463989]",custom_jack_cole_medium_A_1.jpg
82,custom,jack_cole,medium,A,1,True,False,False,114006542,[1.0],custom_jack_cole_medium_A_2.jpg
83,custom,jack_cole,medium,A,2,True,False,False,114365542,"[2.0, 2.23606797749979]",custom_jack_cole_medium_A_3.jpg
84,custom,jack_cole,medium,A,3,True,False,False,111137666,"[1.0, 1.4142135623730951, 2.23606797749979]",custom_jack_cole_medium_A_4.jpg
85,custom,jack_cole,medium,B,2,True,False,False,113555042,"[1.0, 1.4142135623730951]",custom_jack_cole_medium_B_0.jpg
86,custom,jack_cole,medium,B,2,True,False,False,113588875,"[0.0, 2.23606797749979]",custom_jack_cole_medium_B_1.jpg
87,custom,jack_cole,medium,B,2,True,False,False,114562458,"[1.0, 2.0]",custom_jack_cole_medium_B_2.jpg
88,custom,jack_cole,medium,B,3,True,False,False,114947500,"[2.23606797749979, 2.23606797749979, 3.0]",custom_jack_cole_medium_B_3.jpg
89,custom,jack_cole,medium,B,3,True,False,False,108113541,"[1.0, 2.23606797749979, 3.605551275463989]",custom_jack_cole_medium_B_4.jpg
90,custom,jack_cole,medium,C,2,True,False,False,112761834,"[1.0, 1.4142135623730951]",custom_jack_cole_medium_C_0.jpg
91,custom,jack_cole,medium,C,1,True,False,False,114052667,[0.0],custom_jack_cole_medium_C_1.jpg
92,custom,jack_cole,medium,C,1,True,False,False,115290333,[1.0],custom_jack_cole_medium_C_2.jpg
93,custom,jack_cole,medium,C,0,True,False,False,114829625,[],custom_jack_cole_medium_C_3.jpg
94,custom,jack_cole,medium,C,1,False,False,False,110166334,[6.082762530298219],custom_jack_cole_medium_C_4.jpg
