,0,1,2,3,4
images/custom/davids/high/A/custom_davids_high_A_0.jpg,2,True,False,32940237,"[0.5, 0.7071067811865476]"
images/custom/davids/high/A/custom_davids_high_A_1.jpg,3,False,False,27995350,"[1.118033988749895, 2.23606797749979, 905.1227817263247]"
images/custom/davids/high/A/custom_davids_high_A_2.jpg,3,False,False,32554143,"[1.118033988749895, 2.1213203435596424, 762.6508047592948]"
images/custom/davids/high/A/custom_davids_high_A_3.jpg,2,True,False,31968934,"[2.23606797749979, 2.5495097567963922]"
images/custom/davids/high/A/custom_davids_high_A_4.jpg,3,True,False,31835492,"[1.8027756377319946, 2.0, 2.1213203435596424]"
images/custom/davids/high/B/custom_davids_high_B_0.jpg,2,True,False,34001167,"[1.118033988749895, 2.5]"
images/custom/davids/high/B/custom_davids_high_B_1.jpg,2,True,False,31812882,"[0.7071067811865476, 1.4142135623730951]"
images/custom/davids/high/B/custom_davids_high_B_2.jpg,2,True,False,30615959,"[2.23606797749979, 2.5]"
images/custom/davids/high/B/custom_davids_high_B_3.jpg,2,True,False,30749198,"[1.0, 1.5811388300841898]"
images/custom/davids/high/B/custom_davids_high_B_4.jpg,2,True,False,27213354,"[1.118033988749895, 2.0615528128088303]"
images/custom/davids/high/C/custom_davids_high_C_0.jpg,2,True,False,32338539,"[0.7071067811865476, 2.1213203435596424]"
images/custom/davids/high/C/custom_davids_high_C_1.jpg,2,True,False,33168105,"[1.118033988749895, 1.5811388300841898]"
images/custom/davids/high/C/custom_davids_high_C_2.jpg,3,True,False,32195359,"[0.5, 0.5, 1.5811388300841898]"
images/custom/davids/high/C/custom_davids_high_C_3.jpg,2,True,False,29374117,"[0.7071067811865476, 2.0615528128088303]"
images/custom/davids/high/C/custom_davids_high_C_4.jpg,2,True,False,27162177,"[1.4142135623730951, 2.1213203435596424]"
images/custom/davids/high/D/custom_davids_high_D_0.jpg,3,True,False,28579354,"[1.118033988749895, 1.118033988749895, 1.4142135623730951]"
images/custom/davids/high/D/custom_davids_high_D_1.jpg,3,True,False,32426203,"[1.0, 1.118033988749895, 1.8027756377319946]"
images/custom/davids/high/D/custom_davids_high_D_2.jpg,2,True,False,32493089,"[2.0615528128088303, 2.9154759474226504]"
images/custom/davids/high/D/custom_davids_high_D_3.jpg,2,True,False,33415960,"[0.7071067811865476, 1.4142135623730951]"
images/custom/davids/high/D/custom_davids_high_D_4.jpg,4,True,True,24293967,"[0.5, 0.5, 2.5, 2.5495097567963922]"
images/custom/davids/medium/A/custom_davids_medium_A_0.jpg,2,True,False,26683858,"[1.0, 1.118033988749895]"
images/custom/davids/medium/A/custom_davids_medium_A_1.jpg,2,True,False,31160729,"[2.0615528128088303, 2.8284271247461903]"
images/custom/davids/medium/A/custom_davids_medium_A_2.jpg,4,True,True,30487076,"[0.0, 1.118033988749895, 1.5811388300841898, 2.5]"
images/custom/davids/medium/A/custom_davids_medium_A_3.jpg,3,True,False,31463176,"[1.118033988749895, 1.5811388300841898, 2.0615528128088303]"
images/custom/davids/medium/A/custom_davids_medium_A_4.jpg,4,True,True,27018369,"[0.5, 0.5, 1.0, 2.5]"
images/custom/davids/medium/B/custom_davids_medium_B_0.jpg,2,True,False,27247127,"[1.118033988749895, 2.0615528128088303]"
images/custom/davids/medium/B/custom_davids_medium_B_1.jpg,4,True,True,31867223,"[0.0, 0.7071067811865476, 1.4142135623730951, 1.5]"
images/custom/davids/medium/B/custom_davids_medium_B_2.jpg,4,True,True,32931581,"[0.5, 0.7071067811865476, 1.118033988749895, 1.4142135623730951]"
images/custom/davids/medium/B/custom_davids_medium_B_3.jpg,4,True,True,33107180,"[0.5, 0.5, 1.0, 1.5]"
images/custom/davids/medium/B/custom_davids_medium_B_4.jpg,4,True,True,28143429,"[1.0, 1.0, 1.118033988749895, 1.5]"
images/custom/davids/medium/C/custom_davids_medium_C_0.jpg,4,True,True,29529742,"[0.5, 0.7071067811865476, 1.4142135623730951, 2.23606797749979]"
images/custom/davids/medium/C/custom_davids_medium_C_1.jpg,4,True,True,25219533,"[0.5, 0.7071067811865476, 1.118033988749895, 2.5]"
images/custom/davids/medium/C/custom_davids_medium_C_2.jpg,2,True,False,32073240,"[0.0, 1.118033988749895]"
images/custom/davids/medium/C/custom_davids_medium_C_3.jpg,4,True,True,32936791,"[1.118033988749895, 1.118033988749895, 2.0615528128088303, 3.640054944640259]"
images/custom/davids/medium/C/custom_davids_medium_C_4.jpg,4,True,True,28222246,"[0.7071067811865476, 0.7071067811865476, 2.1213203435596424, 2.1213203435596424]"
images/custom/davids/medium/D/custom_davids_medium_D_0.jpg,4,True,True,28313999,"[0.5, 1.5, 2.0615528128088303, 2.5]"
images/custom/davids/medium/D/custom_davids_medium_D_1.jpg,3,True,False,28188074,"[1.118033988749895, 1.5811388300841898, 1.8027756377319946]"
images/custom/davids/medium/D/custom_davids_medium_D_2.jpg,2,True,False,27409151,"[1.0, 1.5]"
images/custom/davids/medium/D/custom_davids_medium_D_3.jpg,2,True,False,31407533,"[0.7071067811865476, 1.118033988749895]"
