,0,1,2,3
"(np.float64(1.0), 100, 300, np.float64(0.7), 5)",houghCircleAlt,0.28541666666666665,45236963.25416667,46343276.0
"(np.float64(1.0), 100, 300, np.float64(0.7), 10)",houghCircleAlt,0.30416666666666664,44630368.99791667,45985991.5
"(np.float64(1.0), 100, 300, np.float64(0.7), 15)",houghCircleAlt,0.36875,42059457.90416667,42762584.0
"(np.float64(1.0), 100, 300, np.float64(0.75), 5)",houghCircleAlt,0.36041666666666666,45497691.9375,46733108.0
"(np.float64(1.0), 100, 300, np.float64(0.75), 10)",houghCircleAlt,0.37916666666666665,41160537.666666664,42141635.5
"(np.float64(1.0), 100, 300, np.float64(0.75), 15)",houghCircleAlt,0.5083333333333333,42521722.65833333,43325399.5
"(np.float64(1.0), 100, 300, np.float64(0.8), 5)",houghCircleAlt,0.48541666666666666,44813346.53125,46351797.5
"(np.float64(1.0), 100, 300, np.float64(0.8), 10)",houghCircleAlt,0.5375,43823572.670833334,44927391.0
"(np.float64(1.0), 100, 300, np.float64(0.8), 15)",houghCircleAlt,0.6645833333333333,42329796.454166666,42985808.5
"(np.float64(1.0), 100, 300, np.float64(0.8500000000000001), 5)",houghCircleAlt,0.6333333333333333,45148053.170833334,46404391.5
"(np.float64(1.0), 100, 300, np.float64(0.8500000000000001), 10)",houghCircleAlt,0.6979166666666666,41969720.975,43306334.5
"(np.float64(1.0), 100, 300, np.float64(0.8500000000000001), 15)",houghCircleAlt,0.825,42208552.51875,43025087.5
"(np.float64(1.0), 100, 300, np.float64(0.9000000000000001), 5)",houghCircleAlt,0.7604166666666666,45181534.927083336,46501078.0
"(np.float64(1.0), 100, 300, np.float64(0.9000000000000001), 10)",houghCircleAlt,0.825,43969629.05625,45048973.5
"(np.float64(1.0), 100, 300, np.float64(0.9000000000000001), 15)",houghCircleAlt,0.9208333333333333,42508318.44166667,43255129.0
"(np.float64(1.0), 100, 310, np.float64(0.7), 5)",houghCircleAlt,0.28958333333333336,45673472.891666666,46758798.0
"(np.float64(1.0), 100, 310, np.float64(0.7), 10)",houghCircleAlt,0.3020833333333333,43081373.764583334,44302493.0
"(np.float64(1.0), 100, 310, np.float64(0.7), 15)",houghCircleAlt,0.375,41710274.525,42548639.0
"(np.float64(1.0), 100, 310, np.float64(0.75), 5)",houghCircleAlt,0.36666666666666664,44781041.31875,46000233.5
"(np.float64(1.0), 100, 310, np.float64(0.75), 10)",houghCircleAlt,0.3770833333333333,43599557.9875,44765978.5
"(np.float64(1.0), 100, 310, np.float64(0.75), 15)",houghCircleAlt,0.5125,40403514.02916667,41049315.5
"(np.float64(1.0), 100, 310, np.float64(0.8), 5)",houghCircleAlt,0.4895833333333333,44698309.420833334,46188121.5
"(np.float64(1.0), 100, 310, np.float64(0.8), 10)",houghCircleAlt,0.5416666666666666,43714496.16875,44629016.5
"(np.float64(1.0), 100, 310, np.float64(0.8), 15)",houghCircleAlt,0.6666666666666666,42516681.75416667,43234990.5
"(np.float64(1.0), 100, 310, np.float64(0.8500000000000001), 5)",houghCircleAlt,0.6291666666666667,44684962.01875,45817491.0
"(np.float64(1.0), 100, 310, np.float64(0.8500000000000001), 10)",houghCircleAlt,0.69375,43512697.822916664,44524032.0
"(np.float64(1.0), 100, 310, np.float64(0.8500000000000001), 15)",houghCircleAlt,0.83125,41437245.39375,42050424.0
"(np.float64(1.0), 100, 310, np.float64(0.9000000000000001), 5)",houghCircleAlt,0.7583333333333333,45057986.166666664,46480549.0
"(np.float64(1.0), 100, 310, np.float64(0.9000000000000001), 10)",houghCircleAlt,0.8208333333333333,43221265.425,44207991.0
