,0,1,2,3
"(np.float64(1.0), 280, 130, 30, 15)",houghCircle,0.820833333,43819581.13,33392671
"(np.float64(1.5), 280, 130, 30, 15)",houghCircle,0.820833333,46281812.72,33905763.5
"(np.float64(1.0), 270, 130, 30, 15)",houghCircle,0.81875,47107569.9,34478858
"(np.float64(1.5), 270, 130, 30, 15)",houghCircle,0.81875,45041269.23,34826285.5
"(np.float64(1.0), 240, 130, 30, 15)",houghCircle,0.816666667,42225158.5,33187454.5
"(np.float64(1.0), 250, 130, 30, 15)",houghCircle,0.816666667,41710262.69,34098204.5
"(np.float64(1.0), 260, 130, 30, 15)",houghCircle,0.816666667,42552023.81,32316692.5
"(np.float64(1.0), 280, 120, 30, 15)",houghCircle,0.816666667,41502866.9,34635288
"(np.float64(1.5), 240, 130, 30, 15)",houghCircle,0.816666667,42658050.71,33587286.5
"(np.float64(1.5), 250, 130, 30, 15)",houghCircle,0.816666667,44457800.28,34262722.5
"(np.float64(1.5), 260, 130, 30, 15)",houghCircle,0.816666667,48420208.76,37612574
"(np.float64(1.5), 280, 120, 30, 15)",houghCircle,0.816666667,45001465.3,34802150
"(np.float64(1.0), 210, 130, 30, 15)",houghCircle,0.814583333,42305039.97,34424412.5
"(np.float64(1.0), 220, 130, 30, 15)",houghCircle,0.814583333,44141767.61,33419531.5
"(np.float64(1.0), 230, 130, 30, 15)",houghCircle,0.814583333,45626301.44,35196660.5
"(np.float64(1.0), 270, 120, 30, 15)",houghCircle,0.814583333,41718472.65,34056055.5
"(np.float64(1.0), 280, 140, 30, 15)",houghCircle,0.814583333,39877517.85,32990723
"(np.float64(1.0), 280, 150, 30, 15)",houghCircle,0.814583333,42833831.82,32605334.5
"(np.float64(1.0), 280, 160, 30, 15)",houghCircle,0.814583333,40089034.61,32086020
"(np.float64(1.5), 210, 130, 30, 15)",houghCircle,0.814583333,44481525.51,34870374.5
"(np.float64(1.5), 220, 130, 30, 15)",houghCircle,0.814583333,42093935.93,33427245.5
"(np.float64(1.5), 230, 130, 30, 15)",houghCircle,0.814583333,45853457.74,34627247
"(np.float64(1.5), 270, 120, 30, 15)",houghCircle,0.814583333,43464148.88,34680241
"(np.float64(1.5), 280, 140, 30, 15)",houghCircle,0.814583333,43199445.79,33506324.5
"(np.float64(1.5), 280, 150, 30, 15)",houghCircle,0.814583333,42471153.41,32934776.5
"(np.float64(1.5), 280, 160, 30, 15)",houghCircle,0.814583333,42508524.34,32991108.5
"(np.float64(1.0), 200, 130, 30, 15)",houghCircle,0.8125,43578084.44,34714355
"(np.float64(1.0), 240, 160, 30, 15)",houghCircle,0.8125,40932907.69,31195759
"(np.float64(1.0), 250, 160, 30, 15)",houghCircle,0.8125,41203303.45,31802403
"(np.float64(1.0), 260, 120, 30, 15)",houghCircle,0.8125,43957669.7,34743113.5
"(np.float64(1.0), 260, 160, 30, 15)",houghCircle,0.8125,41338438.79,31376749.5
"(np.float64(1.0), 270, 140, 30, 15)",houghCircle,0.8125,45666800.14,34727023
"(np.float64(1.0), 270, 150, 30, 15)",houghCircle,0.8125,43932284.93,32725584
"(np.float64(1.0), 270, 160, 30, 15)",houghCircle,0.8125,41555173.36,32147130
"(np.float64(1.0), 280, 170, 30, 15)",houghCircle,0.8125,42351317.24,33263058
"(np.float64(1.5), 200, 130, 30, 15)",houghCircle,0.8125,43929219.49,34893336.5
"(np.float64(1.5), 240, 160, 30, 15)",houghCircle,0.8125,40510287.93,32744730.5
"(np.float64(1.5), 250, 160, 30, 15)",houghCircle,0.8125,43172097.55,32419019.5
"(np.float64(1.5), 260, 120, 30, 15)",houghCircle,0.8125,47823559.08,35914512.5
"(np.float64(1.5), 260, 160, 30, 15)",houghCircle,0.8125,40073490.99,31412209.5
"(np.float64(1.5), 270, 140, 30, 15)",houghCircle,0.8125,45804669.39,34300348.5
"(np.float64(1.5), 270, 150, 30, 15)",houghCircle,0.8125,40814116.17,32256875.5
"(np.float64(1.5), 270, 160, 30, 15)",houghCircle,0.8125,43378250.09,32702609.5
"(np.float64(1.5), 280, 170, 30, 15)",houghCircle,0.8125,40217347.52,31972291
"(np.float64(1.0), 180, 130, 30, 15)",houghCircle,0.810416667,44368839.33,34423660.5
"(np.float64(1.0), 190, 130, 30, 15)",houghCircle,0.810416667,41260732.03,34127594.5
"(np.float64(1.0), 200, 160, 30, 15)",houghCircle,0.810416667,42116295.43,32087532.5
"(np.float64(1.0), 210, 160, 30, 15)",houghCircle,0.810416667,45657547.93,33924659.5
"(np.float64(1.0), 220, 160, 30, 15)",houghCircle,0.810416667,43889592.06,32766566
"(np.float64(1.0), 230, 160, 30, 15)",houghCircle,0.810416667,41249217.51,31812521
"(np.float64(1.0), 240, 120, 30, 15)",houghCircle,0.810416667,44118520.82,34270552.5
"(np.float64(1.0), 240, 140, 30, 15)",houghCircle,0.810416667,42946485.55,33510132
"(np.float64(1.0), 240, 150, 30, 15)",houghCircle,0.810416667,43578765.27,33270377
"(np.float64(1.0), 240, 170, 30, 15)",houghCircle,0.810416667,39573102.51,31129265
"(np.float64(1.0), 250, 120, 30, 15)",houghCircle,0.810416667,44292502.44,34738091
"(np.float64(1.0), 250, 140, 30, 15)",houghCircle,0.810416667,41999083.15,34554756
"(np.float64(1.0), 250, 150, 30, 15)",houghCircle,0.810416667,41366096.05,32833868
"(np.float64(1.0), 250, 170, 30, 15)",houghCircle,0.810416667,40311626.65,31992995.5
"(np.float64(1.0), 260, 140, 30, 15)",houghCircle,0.810416667,43262306.42,33413295.5
"(np.float64(1.0), 260, 150, 30, 15)",houghCircle,0.810416667,40486972.87,32375893.5
"(np.float64(1.0), 260, 170, 30, 15)",houghCircle,0.810416667,41579465.51,31802923
"(np.float64(1.0), 270, 100, 30, 15)",houghCircle,0.810416667,46867524.27,36827966.5
"(np.float64(1.0), 270, 100, 35, 15)",houghCircle,0.810416667,42585383.23,35793491
"(np.float64(1.0), 270, 110, 35, 15)",houghCircle,0.810416667,42372591.21,32658890.5
"(np.float64(1.0), 270, 170, 30, 15)",houghCircle,0.810416667,41837165.65,32166771
"(np.float64(1.0), 280, 100, 30, 15)",houghCircle,0.810416667,50541657.28,37729256.5
"(np.float64(1.0), 280, 100, 35, 15)",houghCircle,0.810416667,45498966.81,36168538
"(np.float64(1.0), 280, 110, 30, 15)",houghCircle,0.810416667,43670308.01,34817669.5
"(np.float64(1.0), 280, 110, 35, 15)",houghCircle,0.810416667,42536453.91,34241699.5
"(np.float64(1.5), 180, 130, 30, 15)",houghCircle,0.810416667,43887070.42,33456496
"(np.float64(1.5), 190, 130, 30, 15)",houghCircle,0.810416667,45815298.5,34700771.5
"(np.float64(1.5), 200, 160, 30, 15)",houghCircle,0.810416667,45113692.28,33459131
"(np.float64(1.5), 210, 160, 30, 15)",houghCircle,0.810416667,43148087.29,33024390
"(np.float64(1.5), 220, 160, 30, 15)",houghCircle,0.810416667,42462243.35,32787776
"(np.float64(1.5), 230, 160, 30, 15)",houghCircle,0.810416667,44775630.11,33024890.5
"(np.float64(1.5), 240, 120, 30, 15)",houghCircle,0.810416667,43495013.43,33451597.5
"(np.float64(1.5), 240, 140, 30, 15)",houghCircle,0.810416667,43939542.36,33083497.5
"(np.float64(1.5), 240, 150, 30, 15)",houghCircle,0.810416667,42137296.11,32498738.5
"(np.float64(1.5), 240, 170, 30, 15)",houghCircle,0.810416667,44257815.11,32522377.5
"(np.float64(1.5), 250, 120, 30, 15)",houghCircle,0.810416667,49468563.45,40430150
"(np.float64(1.5), 250, 140, 30, 15)",houghCircle,0.810416667,42797741.49,34167790.5
"(np.float64(1.5), 250, 150, 30, 15)",houghCircle,0.810416667,43208177.76,33901786.5
"(np.float64(1.5), 250, 170, 30, 15)",houghCircle,0.810416667,43034745.81,33000475
"(np.float64(1.5), 260, 140, 30, 15)",houghCircle,0.810416667,43869813.89,33811427
"(np.float64(1.5), 260, 150, 30, 15)",houghCircle,0.810416667,46120602.3,34537258.5
"(np.float64(1.5), 260, 170, 30, 15)",houghCircle,0.810416667,44239418.46,31958986.5
"(np.float64(1.5), 270, 100, 30, 15)",houghCircle,0.810416667,47870793.55,37474053
"(np.float64(1.5), 270, 100, 35, 15)",houghCircle,0.810416667,47526121.66,36142611
"(np.float64(1.5), 270, 110, 35, 15)",houghCircle,0.810416667,43450640.18,34534758
"(np.float64(1.5), 270, 170, 30, 15)",houghCircle,0.810416667,44623163.64,32522713.5
"(np.float64(1.5), 280, 100, 30, 15)",houghCircle,0.810416667,44389043.35,35727236
"(np.float64(1.5), 280, 100, 35, 15)",houghCircle,0.810416667,46678429.19,36189072
"(np.float64(1.5), 280, 110, 30, 15)",houghCircle,0.810416667,45881558.73,36638837
"(np.float64(1.5), 280, 110, 35, 15)",houghCircle,0.810416667,47416205.18,36040233.5
"(np.float64(1.0), 140, 160, 30, 15)",houghCircle,0.808333333,41198448.69,32013800
"(np.float64(1.0), 150, 160, 30, 15)",houghCircle,0.808333333,41194253.83,32279563
"(np.float64(1.0), 160, 130, 30, 15)",houghCircle,0.808333333,42944846.25,33942563
"(np.float64(1.0), 160, 160, 30, 15)",houghCircle,0.808333333,41894447.31,32100897
"(np.float64(1.0), 170, 130, 30, 15)",houghCircle,0.808333333,45486104.25,35038734.5
"(np.float64(1.0), 170, 160, 30, 15)",houghCircle,0.808333333,43536371.77,33190517.5
"(np.float64(1.0), 180, 160, 30, 15)",houghCircle,0.808333333,41706977.25,31871342
"(np.float64(1.0), 190, 160, 30, 15)",houghCircle,0.808333333,42700130.32,32607327
"(np.float64(1.0), 200, 170, 30, 15)",houghCircle,0.808333333,45208809.09,33397204.5
"(np.float64(1.0), 210, 100, 35, 15)",houghCircle,0.808333333,46097638.83,36606805.5
"(np.float64(1.0), 210, 110, 35, 15)",houghCircle,0.808333333,43862471.94,34933486
"(np.float64(1.0), 210, 120, 30, 15)",houghCircle,0.808333333,48461806.53,35852482
"(np.float64(1.0), 210, 140, 30, 15)",houghCircle,0.808333333,44629891.72,32917775.5
"(np.float64(1.0), 210, 150, 30, 15)",houghCircle,0.808333333,41962438.77,33844424
"(np.float64(1.0), 210, 170, 30, 15)",houghCircle,0.808333333,43419254.53,33211065
"(np.float64(1.0), 220, 100, 35, 15)",houghCircle,0.808333333,46491764.23,36258909
