,palette,loc,height,set,blobCount,closeEnough,count4,closeCount4,time,points,path
0,custom,davids,high,A,4,True,True,True,231719125,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 1.5811388300841898]",custom_davids_high_A_0.jpg
1,custom,davids,high,A,5,True,False,False,224280000,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 1.5811388300841898, 904.6449579807539]",custom_davids_high_A_1.jpg
2,custom,davids,high,A,4,True,True,True,214637708,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898, 1.5811388300841898]",custom_davids_high_A_2.jpg
3,custom,davids,high,A,4,True,True,True,219690500,"[0.7071067811865476, 1.5811388300841898, 1.5811388300841898, 1.5811388300841898]",custom_davids_high_A_3.jpg
4,custom,davids,high,A,4,True,True,True,218660583,"[1.5811388300841898, 1.5811388300841898, 1.5811388300841898, 1.5811388300841898]",custom_davids_high_A_4.jpg
5,custom,davids,high,B,4,True,True,True,227868917,"[0.7071067811865476, 0.7071067811865476, 2.1213203435596424, 2.1213203435596424]",custom_davids_high_B_0.jpg
6,custom,davids,high,B,4,True,True,True,216981208,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476, 1.5811388300841898]",custom_davids_high_B_1.jpg
7,custom,davids,high,B,4,True,True,True,217414000,"[1.5811388300841898, 1.5811388300841898, 1.5811388300841898, 1.5811388300841898]",custom_davids_high_B_2.jpg
8,custom,davids,high,B,5,True,False,False,219734208,"[0.7071067811865476, 1.5811388300841898, 1.5811388300841898, 1.5811388300841898, 216.80059963016708]",custom_davids_high_B_3.jpg
9,custom,davids,high,B,4,True,True,True,208214375,"[0.7071067811865476, 1.5811388300841898, 1.5811388300841898, 2.9154759474226504]",custom_davids_high_B_4.jpg
10,custom,davids,high,C,3,True,False,False,211359417,"[0.7071067811865476, 1.5811388300841898, 2.1213203435596424]",custom_davids_high_C_0.jpg
11,custom,davids,high,C,3,True,False,False,215966791,"[0.7071067811865476, 0.7071067811865476, 1.5811388300841898]",custom_davids_high_C_1.jpg
12,custom,davids,high,C,3,True,False,False,215567083,"[0.7071067811865476, 0.7071067811865476, 0.7071067811865476]",custom_davids_high_C_2.jpg
13,custom,davids,high,C,3,True,False,False,212115209,"[0.7071067811865476, 1.5811388300841898, 1.5811388300841898]",custom_davids_high_C_3.jpg
