,palette,loc,height,set,blobCount,closeEnough,count4,closeCount4,time,points,path
0,custom,davids,high,A,5,True,False,False,117749417,"[0.0, 1.0, 1.0, 1.0, 885.641010793877]",custom_davids_high_A_0.jpg
1,custom,davids,high,A,5,True,False,False,113282208,"[1.0, 1.0, 1.0, 2.23606797749979, 906.5208216031224]",custom_davids_high_A_1.jpg
2,custom,davids,high,A,5,True,False,False,111987792,"[0.0, 1.0, 1.4142135623730951, 1.4142135623730951, 762.1679604916491]",custom_davids_high_A_2.jpg
3,custom,davids,high,A,4,True,True,True,115280209,"[1.0, 1.4142135623730951, 2.0, 2.23606797749979]",custom_davids_high_A_3.jpg
4,custom,davids,high,A,4,True,True,True,113452125,"[1.0, 1.0, 1.4142135623730951, 2.0]",custom_davids_high_A_4.jpg
5,custom,davids,high,B,3,False,False,False,120185625,"[1.0, 2.23606797749979, 693.6526508274873]",custom_davids_high_B_0.jpg
6,custom,davids,high,B,2,True,False,False,112313250,"[1.0, 1.4142135623730951]",custom_davids_high_B_1.jpg
7,custom,davids,high,B,4,True,True,True,112567916,"[1.0, 1.0, 1.0, 1.4142135623730951]",custom_davids_high_B_2.jpg
8,custom,davids,high,B,3,True,False,False,113791959,"[1.0, 1.4142135623730951, 1.4142135623730951]",custom_davids_high_B_3.jpg
9,custom,davids,high,B,2,True,False,False,105884209,"[1.0, 1.0]",custom_davids_high_B_4.jpg
10,custom,davids,high,C,2,True,False,False,108064375,"[1.4142135623730951, 2.23606797749979]",custom_davids_high_C_0.jpg
11,custom,davids,high,C,1,True,False,False,115334833,[0.0],custom_davids_high_C_1.jpg
12,custom,davids,high,C,2,True,False,False,115526292,"[0.0, 1.0]",custom_davids_high_C_2.jpg
13,custom,davids,high,C,2,True,False,False,111064292,"[1.0, 1.0]",custom_davids_high_C_3.jpg
14,custom,davids,high,C,2,True,False,False,108696291,"[1.4142135623730951, 2.0]",custom_davids_high_C_4.jpg
15,custom,davids,high,D,4,True,True,True,114112833,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]",custom_davids_high_D_0.jpg
16,custom,davids,high,D,4,True,True,True,118397541,"[0.0, 1.0, 1.0, 1.4142135623730951]",custom_davids_high_D_1.jpg
17,custom,davids,high,D,4,True,True,True,125007000,"[1.0, 1.4142135623730951, 2.23606797749979, 2.23606797749979]",custom_davids_high_D_2.jpg
18,custom,davids,high,D,4,True,True,True,127569083,"[0.0, 1.0, 1.0, 1.4142135623730951]",custom_davids_high_D_3.jpg
19,custom,davids,high,D,4,True,True,True,108819459,"[1.0, 1.0, 2.0, 2.23606797749979]",custom_davids_high_D_4.jpg
20,custom,davids,medium,A,4,True,True,True,109524375,"[1.0, 1.0, 1.0, 1.0]",custom_davids_medium_A_0.jpg
21,custom,davids,medium,A,4,True,True,True,111339458,"[1.0, 2.0, 2.0, 2.23606797749979]",custom_davids_medium_A_1.jpg
22,custom,davids,medium,A,3,True,False,False,112136875,"[1.4142135623730951, 1.4142135623730951, 2.23606797749979]",custom_davids_medium_A_2.jpg
23,custom,davids,medium,A,1,True,False,False,117464750,[1.4142135623730951],custom_davids_medium_A_3.jpg
24,custom,davids,medium,A,1,True,False,False,110946458,[2.0],custom_davids_medium_A_4.jpg
25,custom,davids,medium,B,3,True,False,False,111277750,"[0.0, 0.0, 2.23606797749979]",custom_davids_medium_B_0.jpg
26,custom,davids,medium,B,3,True,False,False,119825375,"[0.0, 0.0, 2.23606797749979]",custom_davids_medium_B_1.jpg
27,custom,davids,medium,B,4,False,True,False,118250333,"[0.0, 1.0, 1.4142135623730951, 413.4017416509031]",custom_davids_medium_B_2.jpg
28,custom,davids,medium,B,4,True,True,True,120015125,"[0.0, 0.0, 1.0, 1.0]",custom_davids_medium_B_3.jpg
29,custom,davids,medium,B,4,True,True,True,108696125,"[0.0, 1.0, 1.0, 1.0]",custom_davids_medium_B_4.jpg
30,custom,davids,medium,C,3,False,False,False,116113125,"[1.0, 1.4142135623730951, 383.020887158912]",custom_davids_medium_C_0.jpg
31,custom,davids,medium,C,2,True,False,False,112999375,"[1.0, 2.23606797749979]",custom_davids_medium_C_1.jpg
32,custom,davids,medium,C,2,True,False,False,112063500,"[0.0, 1.0]",custom_davids_medium_C_2.jpg
33,custom,davids,medium,C,1,True,False,False,115292959,[1.4142135623730951],custom_davids_medium_C_3.jpg
34,custom,davids,medium,C,1,True,False,False,108821000,[1.4142135623730951],custom_davids_medium_C_4.jpg
35,custom,davids,medium,D,3,False,False,False,110879250,"[1.4142135623730951, 2.8284271247461903, 212.11553455605272]",custom_davids_medium_D_0.jpg
36,custom,davids,medium,D,4,False,True,False,111428542,"[1.0, 2.23606797749979, 2.23606797749979, 212.8497122384712]",custom_davids_medium_D_1.jpg
37,custom,davids,medium,D,4,True,True,True,114250166,"[1.0, 1.0, 1.4142135623730951, 3.0]",custom_davids_medium_D_2.jpg
38,custom,davids,medium,D,4,True,True,True,117366375,"[1.0, 1.0, 1.0, 2.23606797749979]",custom_davids_medium_D_3.jpg
39,custom,davids,medium,D,4,True,True,True,112311417,"[0.0, 1.0, 1.0, 2.0]",custom_davids_medium_D_4.jpg
40,custom,davids,short,A,4,True,True,True,120833375,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]",custom_davids_short_A_0.jpg
