,key,path,found_perm,true_perm,correct,overlap
0,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/high/A/custom_michaels_high_A_3.jpg,afd,afd,True,3
1,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/high/A/custom_michaels_high_A_2.jpg,afd,afd,True,3
2,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/high/A/custom_michaels_high_A_0.jpg,abd,afd,False,2
3,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/high/A/custom_michaels_high_A_1.jpg,efd,afd,False,2
4,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/high/A/custom_michaels_high_A_4.jpg,afd,afd,True,3
5,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/short/A/custom_michaels_short_A_3.jpg,afd,afd,True,3
6,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/short/A/custom_michaels_short_A_2.jpg,afd,afd,True,3
7,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/short/A/custom_michaels_short_A_0.jpg,afd,afd,True,3
8,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/short/A/custom_michaels_short_A_1.jpg,afd,afd,True,3
9,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/short/A/custom_michaels_short_A_4.jpg,afd,afd,True,3
10,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/medium/A/custom_michaels_medium_A_4.jpg,afd,afd,True,3
11,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/medium/A/custom_michaels_medium_A_1.jpg,afd,afd,True,3
12,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/medium/A/custom_michaels_medium_A_0.jpg,afd,afd,True,3
13,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/medium/A/custom_michaels_medium_A_2.jpg,afd,afd,True,3
14,a,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/medium/A/custom_michaels_medium_A_3.jpg,afd,afd,True,3
15,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/high/A/custom_davids_high_A_4.jpg,afd,afd,True,3
16,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/high/A/custom_davids_high_A_2.jpg,afd,afd,True,3
17,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/high/A/custom_davids_high_A_3.jpg,afd,afd,True,3
18,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/high/A/custom_davids_high_A_1.jpg,afd,afd,True,3
19,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/high/A/custom_davids_high_A_0.jpg,afd,afd,True,3
20,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/short/A/custom_davids_short_A_4.jpg,abd,afd,False,2
21,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/short/A/custom_davids_short_A_2.jpg,afd,afd,True,3
22,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/short/A/custom_davids_short_A_3.jpg,ehd,afd,False,1
23,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/short/A/custom_davids_short_A_1.jpg,afd,afd,True,3
24,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/short/A/custom_davids_short_A_0.jpg,afd,afd,True,3
25,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/medium/A/custom_davids_medium_A_2.jpg,afd,afd,True,3
26,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/medium/A/custom_davids_medium_A_3.jpg,ebd,afd,False,1
27,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/medium/A/custom_davids_medium_A_1.jpg,afd,afd,True,3
28,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/medium/A/custom_davids_medium_A_0.jpg,afd,afd,True,3
29,a,/Users/jdreiling/Desktop/puck/puck//images/custom/davids/medium/A/custom_davids_medium_A_4.jpg,abd,afd,False,2
30,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/high/A/custom_john_honey_high_A_3.jpg,afd,afd,True,3
31,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/high/A/custom_john_honey_high_A_2.jpg,afd,afd,True,3
32,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/high/A/custom_john_honey_high_A_0.jpg,afd,afd,True,3
33,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/high/A/custom_john_honey_high_A_1.jpg,efd,afd,False,2
34,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/high/A/custom_john_honey_high_A_4.jpg,afd,afd,True,3
35,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/short/A/custom_john_honey_short_A_1.jpg,afd,afd,True,3
36,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/short/A/custom_john_honey_short_A_0.jpg,afd,afd,True,3
37,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/short/A/custom_john_honey_short_A_2.jpg,afd,afd,True,3
38,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/short/A/custom_john_honey_short_A_3.jpg,aad,afd,False,2
39,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/short/A/custom_john_honey_short_A_4.jpg,afd,afd,True,3
40,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/medium/A/custom_john_honey_medium_A_4.jpg,afd,afd,True,3
41,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/medium/A/custom_john_honey_medium_A_2.jpg,afd,afd,True,3
42,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/medium/A/custom_john_honey_medium_A_3.jpg,afd,afd,True,3
43,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/medium/A/custom_john_honey_medium_A_1.jpg,afd,afd,True,3
44,a,/Users/jdreiling/Desktop/puck/puck//images/custom/john_honey/medium/A/custom_john_honey_medium_A_0.jpg,afd,afd,True,3
45,a,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/high/A/custom_jack_cole_high_A_4.jpg,afd,afd,True,3
46,a,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/high/A/custom_jack_cole_high_A_1.jpg,afd,afd,True,3
47,a,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg,afd,afd,True,3
48,a,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/high/A/custom_jack_cole_high_A_2.jpg,afd,afd,True,3
