,0,1,2,3,4,5
images_miniset/custom/davids/high/A/custom_davids_high_A_0.jpg.0,0.115517625,4,True,True,0.115517625,"[0.0, 1.0, 1.0, 1.0]"
images_miniset/custom/davids/high/A/custom_davids_high_A_0.jpg.1,0.117357833,4,True,True,0.117357833,"[0.0, 1.0, 1.0, 1.0]"
images_miniset/custom/davids/high/A/custom_davids_high_A_0.jpg.2,0.14358675,4,True,True,0.14358675,"[0.0, 1.0, 1.0, 1.0]"
images_miniset/custom/davids/high/A/custom_davids_high_A_0.jpg.3,0.168158667,5,True,False,0.168158667,"[0.0, 1.0, 1.0, 1.0, 885.641010793877]"
images_miniset/custom/davids/high/A/custom_davids_high_A_0.jpg.4,0.141066333,4,True,True,0.141066333,"[0.0, 1.0, 1.0, 1.0]"
images_miniset/custom/davids/high/A/custom_davids_high_A_0.jpg.5,0.165686292,5,True,False,0.165686292,"[0.0, 1.0, 1.0, 1.0, 885.641010793877]"
images_miniset/custom/davids/high/A/custom_davids_high_A_0.jpg.6,0.220351333,5,True,False,0.220351333,"[0.0, 1.0, 1.0, 1.0, 885.641010793877]"
images_miniset/custom/davids/high/B/custom_davids_high_B_0.jpg.0,0.117058333,4,True,True,0.117058333,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/B/custom_davids_high_B_0.jpg.1,0.123378917,4,True,True,0.123378917,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/B/custom_davids_high_B_0.jpg.2,0.131347125,4,True,True,0.131347125,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/B/custom_davids_high_B_0.jpg.3,0.142326042,4,True,True,0.142326042,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/B/custom_davids_high_B_0.jpg.4,0.143024875,4,True,True,0.143024875,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/B/custom_davids_high_B_0.jpg.5,0.180128792,4,True,True,0.180128792,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/B/custom_davids_high_B_0.jpg.6,0.238485584,5,True,False,0.238485584,"[1.0, 1.0, 2.23606797749979, 4.47213595499958, 693.6526508274873]"
images_miniset/custom/davids/high/C/custom_davids_high_C_0.jpg.0,0.110256166,3,True,False,0.110256166,"[0.0, 1.4142135623730951, 2.8284271247461903]"
images_miniset/custom/davids/high/C/custom_davids_high_C_0.jpg.1,0.114093042,3,True,False,0.114093042,"[0.0, 1.4142135623730951, 2.8284271247461903]"
images_miniset/custom/davids/high/C/custom_davids_high_C_0.jpg.2,0.122594292,3,True,False,0.122594292,"[0.0, 1.4142135623730951, 2.8284271247461903]"
images_miniset/custom/davids/high/C/custom_davids_high_C_0.jpg.3,0.128081375,3,True,False,0.128081375,"[0.0, 1.4142135623730951, 2.8284271247461903]"
images_miniset/custom/davids/high/C/custom_davids_high_C_0.jpg.4,0.13324975,3,True,False,0.13324975,"[0.0, 1.4142135623730951, 2.8284271247461903]"
images_miniset/custom/davids/high/C/custom_davids_high_C_0.jpg.5,0.162197333,3,True,False,0.162197333,"[0.0, 1.4142135623730951, 2.8284271247461903]"
images_miniset/custom/davids/high/C/custom_davids_high_C_0.jpg.6,0.218454917,3,True,False,0.218454917,"[0.0, 1.4142135623730951, 2.8284271247461903]"
images_miniset/custom/davids/high/D/custom_davids_high_D_0.jpg.0,0.111277417,4,True,True,0.111277417,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/D/custom_davids_high_D_0.jpg.1,0.117370708,4,True,True,0.117370708,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/D/custom_davids_high_D_0.jpg.2,0.123605542,4,True,True,0.123605542,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/D/custom_davids_high_D_0.jpg.3,0.1325295,4,True,True,0.1325295,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/D/custom_davids_high_D_0.jpg.4,0.136492083,4,True,True,0.136492083,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/D/custom_davids_high_D_0.jpg.5,0.168675417,4,True,True,0.168675417,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/high/D/custom_davids_high_D_0.jpg.6,0.217393042,4,True,True,0.217393042,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/medium/A/custom_davids_medium_A_0.jpg.0,0.1108985,4,True,True,0.1108985,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/medium/A/custom_davids_medium_A_0.jpg.1,0.117603708,4,True,True,0.117603708,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/medium/A/custom_davids_medium_A_0.jpg.2,0.124748166,4,True,True,0.124748166,"[1.0, 1.0, 1.0, 1.0]"
images_miniset/custom/davids/medium/A/custom_davids_medium_A_0.jpg.3,0.132515916,4,True,True,0.132515916,"[1.0, 1.0, 1.0, 1.0]"
images_miniset/custom/davids/medium/A/custom_davids_medium_A_0.jpg.4,0.164818834,4,True,True,0.164818834,"[1.0, 1.0, 1.0, 1.0]"
images_miniset/custom/davids/medium/A/custom_davids_medium_A_0.jpg.5,0.167431792,4,True,True,0.167431792,"[1.0, 1.0, 1.0, 1.0]"
images_miniset/custom/davids/medium/A/custom_davids_medium_A_0.jpg.6,0.219154125,4,True,True,0.219154125,"[1.0, 1.0, 1.0, 1.0]"
images_miniset/custom/davids/medium/B/custom_davids_medium_B_0.jpg.0,0.111722875,4,True,True,0.111722875,"[0.0, 1.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/B/custom_davids_medium_B_0.jpg.1,0.118423916,4,True,True,0.118423916,"[0.0, 1.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/B/custom_davids_medium_B_0.jpg.2,0.12686975,4,True,True,0.12686975,"[0.0, 0.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/B/custom_davids_medium_B_0.jpg.3,0.13410975,4,True,True,0.13410975,"[0.0, 0.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/B/custom_davids_medium_B_0.jpg.4,0.140272584,4,True,True,0.140272584,"[0.0, 0.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/B/custom_davids_medium_B_0.jpg.5,0.170113208,4,True,True,0.170113208,"[0.0, 0.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/B/custom_davids_medium_B_0.jpg.6,0.222188,4,True,True,0.222188,"[0.0, 0.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/C/custom_davids_medium_C_0.jpg.0,0.112444209,4,True,True,0.112444209,"[1.0, 1.4142135623730951, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/davids/medium/C/custom_davids_medium_C_0.jpg.1,0.118977208,4,True,True,0.118977208,"[1.0, 1.4142135623730951, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/davids/medium/C/custom_davids_medium_C_0.jpg.2,0.125825875,4,True,True,0.125825875,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/davids/medium/C/custom_davids_medium_C_0.jpg.3,0.132262875,4,True,True,0.132262875,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/davids/medium/C/custom_davids_medium_C_0.jpg.4,0.137794458,4,True,True,0.137794458,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/davids/medium/C/custom_davids_medium_C_0.jpg.5,0.162793542,4,True,True,0.162793542,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/davids/medium/C/custom_davids_medium_C_0.jpg.6,0.211569792,4,True,True,0.211569792,"[1.0, 1.4142135623730951, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/davids/medium/D/custom_davids_medium_D_0.jpg.0,0.111135208,4,True,True,0.111135208,"[1.4142135623730951, 1.4142135623730951, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/D/custom_davids_medium_D_0.jpg.1,0.11615425,4,True,True,0.11615425,"[1.4142135623730951, 1.4142135623730951, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/D/custom_davids_medium_D_0.jpg.2,0.122356833,4,True,True,0.122356833,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/medium/D/custom_davids_medium_D_0.jpg.3,0.131366292,4,True,True,0.131366292,"[1.4142135623730951, 1.4142135623730951, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/D/custom_davids_medium_D_0.jpg.4,0.132744208,4,True,True,0.132744208,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/medium/D/custom_davids_medium_D_0.jpg.5,0.160550209,4,True,True,0.160550209,"[1.4142135623730951, 1.4142135623730951, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/davids/medium/D/custom_davids_medium_D_0.jpg.6,0.227960084,4,True,True,0.227960084,"[1.4142135623730951, 1.4142135623730951, 2.0, 2.23606797749979]"
images_miniset/custom/davids/short/A/custom_davids_short_A_0.jpg.0,0.11220525,3,True,False,0.11220525,"[1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/short/A/custom_davids_short_A_0.jpg.1,0.118557959,3,True,False,0.118557959,"[1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/short/A/custom_davids_short_A_0.jpg.2,0.124880667,3,True,False,0.124880667,"[1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/short/A/custom_davids_short_A_0.jpg.3,0.131908792,4,True,True,0.131908792,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/short/A/custom_davids_short_A_0.jpg.4,0.138831875,3,True,False,0.138831875,"[1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/short/A/custom_davids_short_A_0.jpg.5,0.162609792,4,True,True,0.162609792,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/short/A/custom_davids_short_A_0.jpg.6,0.203332041,4,True,True,0.203332041,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.0,0.116287584,4,True,True,0.116287584,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.1,0.121682167,4,True,True,0.121682167,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.2,0.128600375,4,True,True,0.128600375,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.3,0.135504125,4,True,True,0.135504125,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.4,0.141820834,4,True,True,0.141820834,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.5,0.172933709,4,True,True,0.172933709,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.6,0.22008275,4,False,False,0.22008275,"[0.0, 1.0, 1.4142135623730951, 7.280109889280518]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.0,0.114688166,3,True,False,0.114688166,"[1.0, 2.0, 2.8284271247461903]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.1,0.121177084,4,True,True,0.121177084,"[1.0, 2.0, 2.0, 2.8284271247461903]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.2,0.128268166,4,True,True,0.128268166,"[1.0, 2.0, 2.0, 2.8284271247461903]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.3,0.135183625,4,True,True,0.135183625,"[1.0, 2.0, 2.0, 2.8284271247461903]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.4,0.141763042,4,True,True,0.141763042,"[1.0, 2.0, 2.0, 2.8284271247461903]"
