,palette,loc,height,set,blobCount,closeEnough,count4,closeCount4,time,points,path
0,custom,davids,high,A,4,False,True,False,117800399,"[0.0, 1.0, 1.0, 885.641010793877]",custom_davids_high_A_0.jpg
1,custom,davids,high,A,4,False,True,False,115965825,"[1.0, 1.0, 2.23606797749979, 906.5208216031224]",custom_davids_high_A_1.jpg
2,custom,davids,high,A,4,False,True,False,124348056,"[1.0, 1.4142135623730951, 1.4142135623730951, 762.1679604916491]",custom_davids_high_A_2.jpg
3,custom,davids,high,A,3,True,False,False,128418477,"[1.0, 1.0, 2.23606797749979]",custom_davids_high_A_3.jpg
4,custom,davids,high,A,3,True,False,False,117772567,"[1.4142135623730951, 2.0, 2.0]",custom_davids_high_A_4.jpg
5,custom,davids,high,B,3,True,False,False,118685617,"[1.0, 2.23606797749979, 2.23606797749979]",custom_davids_high_B_0.jpg
6,custom,davids,high,B,1,True,False,False,117258158,[1.0],custom_davids_high_B_1.jpg
7,custom,davids,high,B,2,True,False,False,115408021,"[1.0, 2.8284271247461903]",custom_davids_high_B_2.jpg
8,custom,davids,high,B,2,True,False,False,115202968,"[1.0, 2.23606797749979]",custom_davids_high_B_3.jpg
9,custom,davids,high,B,3,True,False,False,111387229,"[1.0, 1.0, 2.23606797749979]",custom_davids_high_B_4.jpg
10,custom,davids,high,C,4,True,True,True,109418579,"[0.0, 1.4142135623730951, 2.8284271247461903, 3.1622776601683795]",custom_davids_high_C_0.jpg
11,custom,davids,high,C,4,True,True,True,119525903,"[0.0, 1.0, 2.8284271247461903, 4.47213595499958]",custom_davids_high_C_1.jpg
12,custom,davids,high,C,4,True,True,True,115161769,"[0.0, 0.0, 1.0, 1.0]",custom_davids_high_C_2.jpg
13,custom,davids,high,C,4,True,True,True,113537674,"[1.0, 1.0, 1.4142135623730951, 2.0]",custom_davids_high_C_3.jpg
14,custom,davids,high,C,4,True,True,True,106764921,"[1.4142135623730951, 2.0, 2.8284271247461903, 2.8284271247461903]",custom_davids_high_C_4.jpg
15,custom,davids,high,D,4,True,True,True,115227419,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951, 2.23606797749979]",custom_davids_high_D_0.jpg
16,custom,davids,high,D,1,True,False,False,117741194,[1.0],custom_davids_high_D_1.jpg
17,custom,davids,high,D,1,True,False,False,118610205,[1.0],custom_davids_high_D_2.jpg
18,custom,davids,high,D,4,True,True,True,119307844,"[0.0, 1.0, 1.0, 1.4142135623730951]",custom_davids_high_D_3.jpg
19,custom,davids,high,D,4,True,True,True,110157494,"[1.0, 1.0, 2.0, 2.23606797749979]",custom_davids_high_D_4.jpg
20,custom,davids,medium,A,3,True,False,False,110807037,"[1.0, 1.0, 1.0]",custom_davids_medium_A_0.jpg
21,custom,davids,medium,A,3,True,False,False,113929960,"[1.0, 2.0, 2.0]",custom_davids_medium_A_1.jpg
22,custom,davids,medium,A,3,True,False,False,112386976,"[1.4142135623730951, 2.23606797749979, 4.47213595499958]",custom_davids_medium_A_2.jpg
23,custom,davids,medium,A,1,True,False,False,118734821,[1.4142135623730951],custom_davids_medium_A_3.jpg
24,custom,davids,medium,A,2,True,False,False,112833193,"[0.0, 2.0]",custom_davids_medium_A_4.jpg
25,custom,davids,medium,B,3,True,False,False,111571656,"[0.0, 0.0, 1.4142135623730951]",custom_davids_medium_B_0.jpg
26,custom,davids,medium,B,3,True,False,False,125762351,"[0.0, 0.0, 2.23606797749979]",custom_davids_medium_B_1.jpg
27,custom,davids,medium,B,3,True,False,False,119796743,"[0.0, 1.0, 1.0]",custom_davids_medium_B_2.jpg
28,custom,davids,medium,B,3,True,False,False,126726255,"[0.0, 0.0, 1.4142135623730951]",custom_davids_medium_B_3.jpg
29,custom,davids,medium,B,3,True,False,False,108301467,"[0.0, 1.0, 1.0]",custom_davids_medium_B_4.jpg
30,custom,davids,medium,C,4,True,True,True,122197219,"[1.0, 1.0, 1.4142135623730951, 2.23606797749979]",custom_davids_medium_C_0.jpg
31,custom,davids,medium,C,4,True,True,True,114101112,"[0.0, 1.0, 1.4142135623730951, 2.23606797749979]",custom_davids_medium_C_1.jpg
32,custom,davids,medium,C,4,False,True,False,107048231,"[0.0, 0.0, 1.0, 5.0990195135927845]",custom_davids_medium_C_2.jpg
33,custom,davids,medium,C,3,True,False,False,122561707,"[1.4142135623730951, 1.4142135623730951, 1.4142135623730951]",custom_davids_medium_C_3.jpg
34,custom,davids,medium,C,3,True,False,False,118789643,"[1.4142135623730951, 1.4142135623730951, 2.0]",custom_davids_medium_C_4.jpg
35,custom,davids,medium,D,3,True,False,False,118211717,"[1.4142135623730951, 1.4142135623730951, 2.23606797749979]",custom_davids_medium_D_0.jpg
36,custom,davids,medium,D,3,True,False,False,117429119,"[1.0, 2.23606797749979, 2.23606797749979]",custom_davids_medium_D_1.jpg
37,custom,davids,medium,D,4,True,True,True,119347937,"[1.0, 1.0, 1.4142135623730951, 3.0]",custom_davids_medium_D_2.jpg
38,custom,davids,medium,D,4,True,True,True,127273943,"[1.0, 1.0, 1.0, 2.23606797749979]",custom_davids_medium_D_3.jpg
39,custom,davids,medium,D,4,True,True,True,117864226,"[0.0, 1.0, 1.0, 1.0]",custom_davids_medium_D_4.jpg
40,custom,davids,short,A,3,True,False,False,113525390,"[1.0, 2.23606797749979, 2.23606797749979]",custom_davids_short_A_0.jpg
41,custom,davids,short,A,3,True,False,False,118551364,"[1.0, 1.0, 2.23606797749979]",custom_davids_short_A_1.jpg
42,custom,davids,short,A,3,True,False,False,115468570,"[1.0, 1.0, 3.1622776601683795]",custom_davids_short_A_2.jpg
43,custom,davids,short,A,2,True,False,False,106510287,"[0.0, 1.0]",custom_davids_short_A_3.jpg
44,custom,davids,short,A,3,True,False,False,106483383,"[1.0, 1.4142135623730951, 2.8284271247461903]",custom_davids_short_A_4.jpg
45,custom,davids,short,B,3,False,False,False,114653844,"[1.0, 1.4142135623730951, 356.6791275081849]",custom_davids_short_B_0.jpg
46,custom,davids,short,B,2,True,False,False,124746158,"[0.0, 1.0]",custom_davids_short_B_1.jpg
47,custom,davids,short,B,2,True,False,False,118753211,"[1.0, 1.0]",custom_davids_short_B_2.jpg
48,custom,davids,short,B,2,True,False,False,117192306,"[1.0, 1.4142135623730951]",custom_davids_short_B_3.jpg
49,custom,davids,short,B,3,True,False,False,114147788,"[1.0, 1.0, 2.0]",custom_davids_short_B_4.jpg
50,custom,davids,short,C,3,True,False,False,117343120,"[0.0, 1.0, 3.1622776601683795]",custom_davids_short_C_0.jpg
51,custom,davids,short,C,3,False,False,False,111339831,"[0.0, 2.0, 6.0]",custom_davids_short_C_1.jpg
52,custom,davids,short,C,6,False,False,False,112380824,"[1.0, 2.0, 3.0, 5.0990195135927845, 315.3696244092002, 343.4020966738555]",custom_davids_short_C_2.jpg
53,custom,davids,short,C,3,False,False,False,120514134,"[1.4142135623730951, 3.605551275463989, 5.385164807134504]",custom_davids_short_C_3.jpg
54,custom,davids,short,C,4,True,True,True,113854116,"[0.0, 1.0, 2.23606797749979, 3.1622776601683795]",custom_davids_short_C_4.jpg
55,custom,davids,short,D,3,True,False,False,116590348,"[0.0, 1.0, 1.4142135623730951]",custom_davids_short_D_0.jpg
56,custom,davids,short,D,3,True,False,False,121261757,"[0.0, 1.0, 2.23606797749979]",custom_davids_short_D_1.jpg
57,custom,davids,short,D,3,True,False,False,112570669,"[0.0, 0.0, 1.0]",custom_davids_short_D_2.jpg
58,custom,davids,short,D,3,True,False,False,114996170,"[1.0, 2.0, 2.23606797749979]",custom_davids_short_D_3.jpg
59,custom,davids,short,D,3,True,False,False,109518043,"[1.0, 1.0, 1.0]",custom_davids_short_D_4.jpg
60,custom,jack_cole,high,A,2,True,False,False,110518942,"[1.4142135623730951, 2.0]",custom_jack_cole_high_A_0.jpg
61,custom,jack_cole,high,A,3,False,False,False,111600248,"[0.0, 1.0, 5.0]",custom_jack_cole_high_A_1.jpg
62,custom,jack_cole,high,A,3,True,False,False,109277804,"[1.4142135623730951, 2.0, 2.0]",custom_jack_cole_high_A_2.jpg
63,custom,jack_cole,high,A,2,True,False,False,108927299,"[1.0, 2.0]",custom_jack_cole_high_A_3.jpg
64,custom,jack_cole,high,A,2,True,False,False,105747914,"[1.0, 2.23606797749979]",custom_jack_cole_high_A_4.jpg
65,custom,jack_cole,high,B,2,True,False,False,104104373,"[1.0, 2.8284271247461903]",custom_jack_cole_high_B_0.jpg
66,custom,jack_cole,high,B,2,True,False,False,106725528,"[1.0, 2.23606797749979]",custom_jack_cole_high_B_1.jpg
67,custom,jack_cole,high,B,2,True,False,False,111503725,"[1.0, 1.4142135623730951]",custom_jack_cole_high_B_2.jpg
68,custom,jack_cole,high,B,2,True,False,False,124515981,"[0.0, 1.4142135623730951]",custom_jack_cole_high_B_3.jpg
69,custom,jack_cole,high,B,2,True,False,False,113467675,"[1.0, 1.0]",custom_jack_cole_high_B_4.jpg
70,custom,jack_cole,high,C,2,False,False,False,108473716,"[3.605551275463989, 5.385164807134504]",custom_jack_cole_high_C_0.jpg
71,custom,jack_cole,high,C,2,True,False,False,107557758,"[1.0, 3.0]",custom_jack_cole_high_C_1.jpg
72,custom,jack_cole,high,C,3,False,False,False,111817446,"[2.23606797749979, 4.123105625617661, 732.002732235338]",custom_jack_cole_high_C_2.jpg
73,custom,jack_cole,high,C,2,True,False,False,107338199,"[2.23606797749979, 2.23606797749979]",custom_jack_cole_high_C_3.jpg
74,custom,jack_cole,high,C,2,True,False,False,112554045,"[1.4142135623730951, 3.1622776601683795]",custom_jack_cole_high_C_4.jpg
75,custom,jack_cole,high,D,0,True,False,False,108175548,[],custom_jack_cole_high_D_0.jpg
76,custom,jack_cole,high,D,1,True,False,False,106322914,[1.0],custom_jack_cole_high_D_1.jpg
77,custom,jack_cole,high,D,0,True,False,False,107864524,[],custom_jack_cole_high_D_2.jpg
78,custom,jack_cole,high,D,1,True,False,False,114654538,[1.4142135623730951],custom_jack_cole_high_D_3.jpg
79,custom,jack_cole,high,D,2,False,False,False,105847893,"[2.0, 5.0]",custom_jack_cole_high_D_4.jpg
