,0,1,2,3
"(1, 300, np.float64(0.1))",3.0,0.20416666666666666,39520040.04375,39461594.5
"(1, 300, np.float64(0.2))",3.0,0.20416666666666666,40571691.458333336,40472544.5
"(1, 300, np.float64(0.30000000000000004))",3.0,0.20416666666666666,40167139.5125,40615697.5
"(1, 300, np.float64(0.4))",3.0,0.20416666666666666,38821264.7,39096217.5
"(1, 300, np.float64(0.5))",3.0,0.20416666666666666,39325570.30625,39626458.0
"(1, 300, np.float64(0.6))",3.0,0.20416666666666666,39635538.916666664,39673814.5
"(1, 300, np.float64(0.7000000000000001))",3.0,0.2125,39675937.270833336,40210697.0
"(1, 300, np.float64(0.8))",3.0,0.19583333333333333,38621165.833333336,38809355.5
"(1, 300, np.float64(0.9))",3.0,0.0020833333333333333,37273218.670833334,37103239.0
"(1, 310, np.float64(0.1))",3.0,0.20416666666666666,41049583.360416666,40796543.5
"(1, 310, np.float64(0.2))",3.0,0.20416666666666666,39191567.947916664,38418805.5
"(1, 310, np.float64(0.30000000000000004))",3.0,0.20416666666666666,39646537.83541667,39195340.5
"(1, 310, np.float64(0.4))",3.0,0.20416666666666666,38721268.9,38638667.5
"(1, 310, np.float64(0.5))",3.0,0.20416666666666666,39029846.0125,39204452.5
"(1, 310, np.float64(0.6))",3.0,0.20416666666666666,38127355.12916667,37944924.0
"(1, 310, np.float64(0.7000000000000001))",3.0,0.2125,39419079.56875,39455809.0
"(1, 310, np.float64(0.8))",3.0,0.19583333333333333,40072377.447916664,40213883.0
"(1, 310, np.float64(0.9))",3.0,0.0020833333333333333,38636948.44583333,39247265.5
"(1, 320, np.float64(0.1))",3.0,0.20416666666666666,41070946.78541667,41829082.0
"(1, 320, np.float64(0.2))",3.0,0.20416666666666666,38896106.79375,39429194.5
"(1, 320, np.float64(0.30000000000000004))",3.0,0.20416666666666666,38859332.760416664,38325697.5
"(1, 320, np.float64(0.4))",3.0,0.20416666666666666,38589066.12083333,38094888.5
"(1, 320, np.float64(0.5))",3.0,0.20416666666666666,38168981.3375,37628899.0
"(1, 320, np.float64(0.6))",3.0,0.20416666666666666,39181280.79375,38970480.5
"(1, 320, np.float64(0.7000000000000001))",3.0,0.2125,38714258.62708333,39033393.5
"(1, 320, np.float64(0.8))",3.0,0.19583333333333333,38884506.64791667,39502913.5
"(1, 320, np.float64(0.9))",3.0,0.0020833333333333333,38905219.73125,39521260.0
"(1, 330, np.float64(0.1))",3.0,0.20416666666666666,42159227.325,42468383.5
"(1, 330, np.float64(0.2))",3.0,0.20416666666666666,38724296.08541667,38922437.5
"(1, 330, np.float64(0.30000000000000004))",3.0,0.20416666666666666,40167880.983333334,39700741.5
"(1, 330, np.float64(0.4))",3.0,0.20416666666666666,38210979.33125,37612141.0
"(1, 330, np.float64(0.5))",3.0,0.20416666666666666,38020760.65208333,37618391.5
"(1, 330, np.float64(0.6))",3.0,0.20416666666666666,37955944.18958333,37792350.0
"(1, 330, np.float64(0.7000000000000001))",3.0,0.2125,38919876.7125,38802188.0
"(1, 330, np.float64(0.8))",3.0,0.19583333333333333,38609192.23125,39065516.5
"(1, 330, np.float64(0.9))",3.0,0.0020833333333333333,37885799.7875,38175795.5
"(1, 340, np.float64(0.1))",3.0,0.20416666666666666,40904134.672916666,41082057.5
"(1, 340, np.float64(0.2))",3.0,0.20416666666666666,38606014.47708333,39153911.0
"(1, 340, np.float64(0.30000000000000004))",3.0,0.20416666666666666,40045892.79375,40556698.5
"(1, 340, np.float64(0.4))",3.0,0.20416666666666666,40444241.53125,40985429.0
"(1, 340, np.float64(0.5))",3.0,0.20416666666666666,38156093.614583336,37023247.5
"(1, 340, np.float64(0.6))",3.0,0.20416666666666666,37850481.43125,37733756.0
"(1, 340, np.float64(0.7000000000000001))",3.0,0.2125,38338766.55625,37770392.0
"(1, 340, np.float64(0.8))",3.0,0.19583333333333333,38411726.59375,38855076.0
"(1, 340, np.float64(0.9))",3.0,0.0020833333333333333,38495838.375,38948633.0
"(1, 350, np.float64(0.1))",3.0,0.20416666666666666,40496391.9125,40367727.0
"(1, 350, np.float64(0.2))",3.0,0.20416666666666666,40165434.97708333,40130640.0
"(1, 350, np.float64(0.30000000000000004))",3.0,0.20416666666666666,40189779.34583333,40853106.0
"(1, 350, np.float64(0.4))",3.0,0.20416666666666666,40133846.18333333,40440977.0
"(1, 350, np.float64(0.5))",3.0,0.20416666666666666,39053326.766666666,39179020.5
"(1, 350, np.float64(0.6))",3.0,0.20416666666666666,37913031.264583334,37725747.5
"(1, 350, np.float64(0.7000000000000001))",3.0,0.2125,37724814.9,37609768.0
"(1, 350, np.float64(0.8))",3.0,0.19583333333333333,37487801.97291667,37197709.5
"(1, 350, np.float64(0.9))",3.0,0.0020833333333333333,38230958.93541667,38341820.0
"(1, 360, np.float64(0.1))",3.0,0.20416666666666666,40671328.708333336,40535643.5
"(1, 360, np.float64(0.2))",3.0,0.20416666666666666,40056373.02291667,39764572.0
"(1, 360, np.float64(0.30000000000000004))",3.0,0.20416666666666666,38431478.33541667,38847438.0
"(1, 360, np.float64(0.4))",3.0,0.20416666666666666,40188382.68125,40218007.0
"(1, 360, np.float64(0.5))",3.0,0.20416666666666666,39123683.420833334,39590388.5
"(1, 360, np.float64(0.6))",3.0,0.20416666666666666,39461050.5875,39644353.5
"(1, 360, np.float64(0.7000000000000001))",3.0,0.2125,38960369.27916667,38829166.0
"(1, 360, np.float64(0.8))",3.0,0.19583333333333333,37351815.90416667,38020966.5
"(1, 360, np.float64(0.9))",3.0,0.0020833333333333333,37194537.864583336,37753224.0
"(1, 370, np.float64(0.1))",3.0,0.20416666666666666,40142941.12916667,39862339.5
"(1, 370, np.float64(0.2))",3.0,0.20416666666666666,40192492.708333336,40376273.5
"(1, 370, np.float64(0.30000000000000004))",3.0,0.20416666666666666,38528000.208333336,38484859.0
"(1, 370, np.float64(0.4))",3.0,0.20416666666666666,39644403.72291667,39630370.0
"(1, 370, np.float64(0.5))",3.0,0.20416666666666666,39415698.139583334,39763148.0
"(1, 370, np.float64(0.6))",3.0,0.20416666666666666,38770172.21666667,38599850.0
"(1, 370, np.float64(0.7000000000000001))",3.0,0.2125,39151877.8875,39786660.5
"(1, 370, np.float64(0.8))",3.0,0.19583333333333333,37380232.0,38226349.5
"(1, 370, np.float64(0.9))",3.0,0.0020833333333333333,37230332.93333333,38084374.5
"(1, 380, np.float64(0.1))",3.0,0.20416666666666666,39409812.27916667,39072972.5
"(1, 380, np.float64(0.2))",3.0,0.20416666666666666,39743084.50833333,39484799.0
"(1, 380, np.float64(0.30000000000000004))",3.0,0.20416666666666666,38418430.33541667,38447606.0
"(1, 380, np.float64(0.4))",3.0,0.20416666666666666,39657828.108333334,39003703.5
"(1, 380, np.float64(0.5))",3.0,0.20416666666666666,39207097.48125,39372562.5
"(1, 380, np.float64(0.6))",3.0,0.20416666666666666,39573453.485416666,40054981.5
"(1, 380, np.float64(0.7000000000000001))",3.0,0.2125,38710368.43125,39149828.5
"(1, 380, np.float64(0.8))",3.0,0.19583333333333333,38748297.50625,38828776.0
"(1, 380, np.float64(0.9))",3.0,0.0020833333333333333,37144108.829166666,37478307.5
"(1, 390, np.float64(0.1))",3.0,0.20416666666666666,39301971.625,39464461.5
"(1, 390, np.float64(0.2))",3.0,0.20416666666666666,38835924.32083333,38508398.0
"(1, 390, np.float64(0.30000000000000004))",3.0,0.20416666666666666,39447796.422916666,39883692.5
"(1, 390, np.float64(0.4))",3.0,0.20416666666666666,38056851.40416667,37683986.0
"(1, 390, np.float64(0.5))",3.0,0.20416666666666666,39582017.575,39742543.0
"(1, 390, np.float64(0.6))",3.0,0.20416666666666666,39030452.197916664,39145914.5
"(1, 390, np.float64(0.7000000000000001))",3.0,0.2125,40067259.62083333,40122892.0
"(1, 390, np.float64(0.8))",3.0,0.19583333333333333,38979289.858333334,39375395.5
"(1, 390, np.float64(0.9))",3.0,0.0020833333333333333,38444816.95625,39169967.5
"(1, 400, np.float64(0.1))",3.0,0.20416666666666666,39154968.25625,39025240.5
"(1, 400, np.float64(0.2))",3.0,0.20416666666666666,39157148.958333336,39564239.0
"(1, 400, np.float64(0.30000000000000004))",3.0,0.20416666666666666,38682622.49791667,38670726.5
"(1, 400, np.float64(0.4))",3.0,0.20416666666666666,39628763.625,39225954.0
"(1, 400, np.float64(0.5))",3.0,0.20416666666666666,39087106.10625,38707396.0
"(1, 400, np.float64(0.6))",3.0,0.20416666666666666,39514825.59583333,39425391.5
"(1, 400, np.float64(0.7000000000000001))",3.0,0.2125,38721987.31666667,38948396.5
"(1, 400, np.float64(0.8))",3.0,0.19583333333333333,39172290.608333334,39589376.5
"(1, 400, np.float64(0.9))",3.0,0.0020833333333333333,38362216.91875,38776246.0
"(3, 300, np.float64(0.1))",3.0,0.20208333333333334,36668034.28541667,36827866.5
"(3, 300, np.float64(0.2))",3.0,0.20208333333333334,34855447.83125,34945847.0
"(3, 300, np.float64(0.30000000000000004))",3.0,0.20208333333333334,34657046.6125,34752288.5
"(3, 300, np.float64(0.4))",3.0,0.20208333333333334,34387746.71458333,34141057.0
"(3, 300, np.float64(0.5))",3.0,0.20208333333333334,34355945.0375,34079780.0
"(3, 300, np.float64(0.6))",3.0,0.20208333333333334,34978478.31666667,34421141.5
"(3, 300, np.float64(0.7000000000000001))",3.0,0.2125,35287989.0,34856834.5
"(3, 300, np.float64(0.8))",3.0,0.20625,35469593.479166664,35772482.5
"(3, 300, np.float64(0.9))",3.0,0.016666666666666666,35469723.5875,35145314.5
"(3, 310, np.float64(0.1))",3.0,0.20208333333333334,37369784.670833334,37586819.5
"(3, 310, np.float64(0.2))",3.0,0.20208333333333334,36250914.235416666,35951174.0
"(3, 310, np.float64(0.30000000000000004))",3.0,0.20208333333333334,34871422.791666664,34285772.5
"(3, 310, np.float64(0.4))",3.0,0.20208333333333334,34685889.77708333,34648562.5
"(3, 310, np.float64(0.5))",3.0,0.20208333333333334,34311622.416666664,34136834.5
"(3, 310, np.float64(0.6))",3.0,0.20208333333333334,34014638.40833333,33806243.5
