,0,1,2,3
"(1, 300, np.float64(0.1))",3.0,0.3104166666666667,40180849.885416664,38941423.5
"(1, 300, np.float64(0.2))",3.0,0.3104166666666667,41399297.01875,40299325.5
"(1, 300, np.float64(0.30000000000000004))",3.0,0.3104166666666667,41108822.510416664,40341058.5
"(1, 300, np.float64(0.4))",3.0,0.3104166666666667,40864541.24583333,40245780.0
"(1, 300, np.float64(0.5))",3.0,0.3104166666666667,40682494.40416667,40303052.0
"(1, 300, np.float64(0.6))",3.0,0.3145833333333333,41074064.58125,40770156.5
"(1, 300, np.float64(0.7000000000000001))",3.0,0.32083333333333336,40058205.31458333,39734461.5
"(1, 300, np.float64(0.8))",3.0,0.31666666666666665,40039957.85,39947000.0
"(1, 300, np.float64(0.9))",3.0,0.004166666666666667,39447423.391666666,39212203.0
"(1, 310, np.float64(0.1))",3.0,0.3125,42380050.4125,41286097.5
"(1, 310, np.float64(0.2))",3.0,0.3125,41064711.025,40087018.5
"(1, 310, np.float64(0.30000000000000004))",3.0,0.3125,40764781.93958333,39308851.5
"(1, 310, np.float64(0.4))",3.0,0.3125,40705096.33125,40162502.5
"(1, 310, np.float64(0.5))",3.0,0.3125,40465232.64375,39730407.5
"(1, 310, np.float64(0.6))",3.0,0.31666666666666665,40245241.072916664,39796903.0
"(1, 310, np.float64(0.7000000000000001))",3.0,0.3229166666666667,39488441.2,38849073.0
"(1, 310, np.float64(0.8))",3.0,0.31875,39772309.645833336,39812118.0
"(1, 310, np.float64(0.9))",3.0,0.004166666666666667,38987869.61666667,38939840.0
"(1, 320, np.float64(0.1))",3.0,0.3125,41539956.9125,40303391.5
"(1, 320, np.float64(0.2))",3.0,0.3125,41439898.4875,40408087.5
"(1, 320, np.float64(0.30000000000000004))",3.0,0.3125,40683131.83125,39484009.0
"(1, 320, np.float64(0.4))",3.0,0.3125,40259468.672916666,39132749.5
"(1, 320, np.float64(0.5))",3.0,0.3125,39986014.07083333,39049289.0
"(1, 320, np.float64(0.6))",3.0,0.31666666666666665,40348568.49166667,39384580.5
"(1, 320, np.float64(0.7000000000000001))",3.0,0.3229166666666667,39773561.016666666,39303440.5
"(1, 320, np.float64(0.8))",3.0,0.31875,39730923.327083334,39950347.0
"(1, 320, np.float64(0.9))",3.0,0.004166666666666667,39181979.489583336,39095738.5
"(1, 330, np.float64(0.1))",3.0,0.3125,41896574.8875,40495264.0
"(1, 330, np.float64(0.2))",3.0,0.3125,41378392.64375,40040933.0
"(1, 330, np.float64(0.30000000000000004))",3.0,0.3125,41104761.34375,39580096.0
"(1, 330, np.float64(0.4))",3.0,0.3125,40274948.329166666,38836297.0
"(1, 330, np.float64(0.5))",3.0,0.3125,39317282.53541667,38009844.0
"(1, 330, np.float64(0.6))",3.0,0.31666666666666665,40430068.4375,39492090.5
"(1, 330, np.float64(0.7000000000000001))",3.0,0.3229166666666667,39632195.74791667,38919295.0
"(1, 330, np.float64(0.8))",3.0,0.31875,39124257.58958333,38989158.0
"(1, 330, np.float64(0.9))",3.0,0.004166666666666667,38680154.425,37918456.0
"(1, 340, np.float64(0.1))",3.0,0.3125,41450721.15208333,40273953.5
"(1, 340, np.float64(0.2))",3.0,0.3125,41135574.53958333,40346819.0
"(1, 340, np.float64(0.30000000000000004))",3.0,0.3125,40993119.00833333,39682370.5
"(1, 340, np.float64(0.4))",3.0,0.3125,40463187.891666666,39383353.0
"(1, 340, np.float64(0.5))",3.0,0.3125,39738032.791666664,38272417.0
"(1, 340, np.float64(0.6))",3.0,0.31666666666666665,39452091.44166667,38098720.5
"(1, 340, np.float64(0.7000000000000001))",3.0,0.3229166666666667,39478221.6875,38191188.5
"(1, 340, np.float64(0.8))",3.0,0.31875,39147422.395833336,38746281.5
"(1, 340, np.float64(0.9))",3.0,0.004166666666666667,36907820.90208333,35917755.0
"(1, 350, np.float64(0.1))",3.0,0.3145833333333333,41940857.83125,40075716.0
"(1, 350, np.float64(0.2))",3.0,0.3145833333333333,41599123.14791667,39948709.0
"(1, 350, np.float64(0.30000000000000004))",3.0,0.3145833333333333,40821597.425,39780009.5
"(1, 350, np.float64(0.4))",3.0,0.3145833333333333,40272170.625,39633069.5
"(1, 350, np.float64(0.5))",3.0,0.3145833333333333,40320451.56041667,39731178.5
"(1, 350, np.float64(0.6))",3.0,0.31875,39743132.59583333,38376602.5
"(1, 350, np.float64(0.7000000000000001))",3.0,0.3229166666666667,38986885.177083336,37684123.0
"(1, 350, np.float64(0.8))",3.0,0.31875,38919938.704166666,37619894.0
"(1, 350, np.float64(0.9))",3.0,0.004166666666666667,37097569.46875,36123508.5
"(1, 360, np.float64(0.1))",3.0,0.32083333333333336,41588803.447916664,39606130.5
"(1, 360, np.float64(0.2))",3.0,0.32083333333333336,41771581.766666666,40680357.5
"(1, 360, np.float64(0.30000000000000004))",3.0,0.32083333333333336,41320695.825,39940521.5
"(1, 360, np.float64(0.4))",3.0,0.32083333333333336,40466203.8125,39320466.0
"(1, 360, np.float64(0.5))",3.0,0.32083333333333336,40407968.739583336,39894087.5
"(1, 360, np.float64(0.6))",3.0,0.325,40192501.766666666,39662243.5
"(1, 360, np.float64(0.7000000000000001))",3.0,0.32916666666666666,37946438.93333333,36911976.0
"(1, 360, np.float64(0.8))",3.0,0.325,39304764.979166664,38843998.0
"(1, 360, np.float64(0.9))",3.0,0.004166666666666667,38375756.69166667,37557865.0
"(1, 370, np.float64(0.1))",3.0,0.3229166666666667,41228613.44583333,39107666.0
"(1, 370, np.float64(0.2))",3.0,0.3229166666666667,41218055.43958333,39984772.0
"(1, 370, np.float64(0.30000000000000004))",3.0,0.3229166666666667,41534128.96458333,40654838.0
"(1, 370, np.float64(0.4))",3.0,0.3229166666666667,40171653.8625,39251846.0
"(1, 370, np.float64(0.5))",3.0,0.3229166666666667,40745511.79375,40064158.0
"(1, 370, np.float64(0.6))",3.0,0.32708333333333334,40255771.15833333,39893161.0
