Name,Inaccesible Source Code,Open Source,Front Projected,Back Projected,Touch Screen,Cv Identification,Physical Tags,Paper Components,AR/VR Googles,Installation,Portable,Surface Independent,Vertical,Horizontal,Broad Application Capacity,Specific Application,DSL,PreExisting Language,Spatial Effects,Reprogrammable,Programming Capable
PUCK,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1
metaDESK,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1
URP,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
Sensetable,0,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1
DigitalDesk,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
UbiTable,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1
Lumisight Table,0,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,0,1,0,0
MIXDesign,0,0,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,0,1,0,0
ARTHUR,0,0,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,0,0,1,0,0
PSyBench,1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,0,0,1,1,0
BUILD-IT,0,0,1,-1,-1,0,0,1,-1,1,-1,1,1,1,-1,1,0,0,1,1,0
iNavigator,0,0,1,0,0,1,0,-1,0,1,-1,1,1,1,-1,1,0,0,1,0,0
VIEWS,0,0,1,-1,-1,1,0,1,-1,1,-1,-1,-1,1,1,-1,0,0,1,1,1
AugmenTables,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,0,1,1,1
LiveBoard,0,0,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,0,0,1,0,0
Flatland,0,0,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,0,0,1,0,0
iLand,1,-1,1,-1,1,0,0,1,-1,1,-1,-1,1,1,1,-1,0,0,1,1,1
iRoom,1,1,1,0,1,-1,0,-1,-1,1,-1,-1,1,1,1,-1,-1,1,0,1,0
DiamondTouch,0,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1
VideoPlace - Video Desk,1,1,0,0,-1,1,-1,0,0,1,-1,1,0,0,1,-1,0,0,1,1,1
EnhancedDesk,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,0,0,1,1,1
Interactive Mural,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,0
Outpost,1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1
BlueBoard,-1,-1,-1,-1,1,0,1,-1,-1,1,-1,-1,1,-1,-1,1,0,0,-1,-1,-1
Augmented Coliseum,0,0,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,0,0,1,-1,-1
Lazy Susan,0,0,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,0,0,1,-1,-1
Responsive Workbench,0,0,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,0,0,1,1,-1
DiamondTouch - Extended,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,0,1,1,1
pHotOluck,0,0,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,0,1,-1,-1
Microsoft Surface,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,0,1,1,1
BumpTop,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,1,-1
WebSurface,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,0,1,1,1
CRISTAL,0,0,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,0,0,1,0,0
Fiberio,0,0,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,0,0,0,0,0
FluidPaint,0,0,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,1,0,0,-1,-1,-1
